Course Number,Course Name,Department,Prerequisites,Corequesites,Description
AERN 15000 ,"INTRODUCTION TO AERONAUTICS
",AERN,none.,None,"Introduction to aeronautical and aerospace technology including historical development, underlying science
and technical applications. The past ,present and future social, economic, technical and political impact of
aviation are also explored."
AERN 15250 ,"FAA ORIENTATION
",AERN,none.,None,"Introduction to the Federal Aviation Administration with particular emphasis on its role and impact on air
traffic management and the National Airspace System (NAS). Course addresses the unique aspects and
requirements of federal employment, as well as federal regulations affecting flight operations and the FAA's
associated supporting agencies."
AERN 15300 ,"MATLAB® FOR AEROSPACE ENGINEERS
",AERN,none.,None,"Introduction to the Matlab® computing language, the industry-standard “first language” for engineers.
Algorithm coding and development, debugging, analysis, and interpretation."
AERN 15500 ,"INTORDUCTION TO AEROSPACE ENGINEERING
",AERN,MATH 12002.,None,"fundamentals of fluid mechanics, applied aerodynamics, propulsion systems, airplane performance, stability,
orbital motion, and launch vehicle performance."
AERN 15740 ,"ELEMENTS OF FLIGHT THEORY
",AERN,None,AERN 15741.,"Basic instruction in all areas which gives the student aeronautical knowledge required for a private pilot
certificate."
AERN 15741 ,"PRIVATE PILOT FLIGHT
",AERN,2.500 GPA. ,AERN 15740.,"Flight course designed to fulfill FAA requirements for private pilot certificate. This course may only be
repeatable twice. Student is required to spend 1.5 hours each day, five days a week, at the airport, until the
FAA minimum requirement of 30 hours of ground instruction has been attained. When not flying, the student
goes through personalized ground instruction with their flight instructor. Minimum FAA flight time
requirements towards the Private Pilot Certificate is 48 hours. Actual flight training may exceed 48 hours."
AERN 15742 ,"PRIVATE PILOT HELICOPTER FLIGHT
",AERN,2.500 cumulative GPA and TECH 15740. ,TECH 35101.,"Flight course designed to fulfill Federal Aviation Administration (FAA) requirements for the private pilot
helicopter certificate. This course may only be repeatable twice. Student is required to spend 1.5 hours each
day, five days a week, at the airport, until the FAA minimum requirements are attained. When not flying, the
student goes through personalized ground instruction with an assigned flight instructor. Minimum FAA flight
time requirements towards the Private Pilot Helicopter Flight Certificate is 40 hours. Actual flight training may
exceed 40 hours."
AERN 15743 ,"PRIVATE PILOT HELICOPTER FLIGHT ADD-ON
",AERN,2.0 cumulative GPA and AERN 15740 and 15741. ,"TECH35101. 
","Flight course designed to fulfill Federal Aviation Administration (FAA) requirements for the private pilot
helicopter certificate. This course may only be repeatable twice. Student is required to spend 1.5 hours each
day, five days a week, at the airport, until the FAA minimum requirements are attained. When not flying, the
student goes through personalized ground instruction with an assigned flight instructor. Minimum FAA flight
time requirements towards the Private Helicopter Add-On Flight Certificate is 30 hours. Actual flight training
may exceed 30 hours."
AERN 15745 ,"NON-PILOT ELEMENTS OF FLIGHT THEORY
",AERN,none.,None,"Basic instruction in areas to include: Federal Regulations, navigation, communication, airspace, weather, basic
aerodynamics, and aero-medical factors which give the student a foundation in aeronautics. This course does
not satisfy the Federal Aviation Regulation requirement for endorsement to take the Airman Knowledge Exam
for a the private pilot nor does it satisfy the Aircraft Dispatch minor."
AERN 25200 ,"STATICS
",AERN,MATH 12003 and PHY 23101.,None,"Forces and moments; equilibrium in two and three dimensions; multi-force members; equilibrium, centroids
and friction."
AERN 25250 ,"ELEMENTS OF AVIATION WEATHER
",AERN,none.,None,"Aviation weather provides a comprehensive look at the Earth's atmosphere, general patterns and specific
phenomena, and a focus on weather as related to flight."
