Course Number,Course Name,Department,Prerequisites,Corequesites,Description
ARTF 14000 ,"DRAWING I
",ARTF,None.,None,"Fundamental drawing and studio experiences; exploration of basic drawing ideas and media. Work produced in
class must be retained for later portfolio presentation in ARTF 24005."
ARTF 14001 ,"DRAWING II
",ARTF,"ARTF 14000, ART 10022, ART 10023 and ART 20024.",None,"Continued practice in drawing with particular emphasis upon dimensional representation and pictorial
structure. Work produced in this class must be retained for later portfolio presenation in ARTF 24005."
ARTF 14055 ,"SCULPTURE I
",ARTF,ARTF 14000 and ART 10023.,None,"An introduction to the basic concepts of three-dimensional form. Work produced in this course must be
retained for later portfolio presentation in ARTF 24005."
ARTF 14060 ,"PAINTING I
",ARTF,ARTF 14000 and ART 10022.,None,"Opaque, water-based media used to introduce fundamental form language and vocabulary of painting.
Emphasis upon structured study and effective use of colors. Work produced in class must be retained for later
portfolio presentation in ARTF 24005."
ARTF 24001 ,"DRAWING III
",ARTF,ARTF 14001.,None,"Emphasis on continued development of drawing with focus on nonfigurative representations of pictorial space.
Work produced in this course must be retained for later portfolio presentation in ARTF 24005."
ARTF 24005 ,"SOPHOMORE REVIEW:FINE ARTS
",ARTF,"ART 10022, ART10023, ARTF 14000, ARTF 14001, ARTF 14055, ARTF 14060, ARTH 22006, ARTH 22007, ARTF 24010 AND
ARTF 24040. 
",None,"Diagnostic review by fine arts faculty of portfolio of work selected from ""foundation"" courses. Student's
knowledge of art history is also examined. Student must receive a passing score (above average of C) to
continue in degree program. Action by faculty committee may include the assignment of additional studio work
over the normal graduation requirements in areas of apparent deficiencies."
ARTF 24010 ,"INTRODUCTION TO FINE ART PHOTOGRAPHY
",ARTF,"ARTF14000 and ART10022. 
",None,"Introductory studio/lecture course which introduces fine art photography with an aesthetic,contemporary
approach. Students learn traditional and digital photographic image-making applications and the historical
underpinnings of the photograph in modern art. Research paper and portfolio required. Work produced in this
class must be retained for later portfolio presentation in ARTF 24005."
ARTF 24040 ,"PRINTMAKING I
",ARTF,ARTF 14000 and ART 10022.,None,"Basic traditional and contemporary techniques of relief (woodcut, lino-cut, etc.) and intaglio printing (etching,
colography, etc.). Work produced in this class must be retained for later portfolio presentation in ARTF 24005."
ARTF 24055 ,"SCULPTURE II
",ARTF,"ARTF 14055, ART10022 and ART 20024. 
",None,Continuation of sculpture I with greater emphasis on materials and processes.
ARTF 24060 ,"PAINTING II
",ARTF,"ARTF 14060, ART 10023 andART 20024. 
",None,"Continuation of work begun in Painting I. Introduction to oil painting with emphasis upon direct painting from
observed sources and study of expressive capabilities of painting."
ARTF 34001 ,"DRAWING IV
",ARTF,ARTF 24001 and a grade of S in ARTF 24005.,None,"Further study and understanding of concepts and ideas which enable the student to understand and
professionally realize their drawings."
ARTF 34002 ,"INTRODUCTION TO FIGURE DRAWING
",ARTF,"ARTF14000, ARTF14001and ARTF 24001; and a grade of S in ARTF24005. 
",None,"(Repeatable for a total of 9 credit hours) Extensive studio practice of traditional and contemporary approaches
to the human figure. Critical analysis of the figure from the Renaissance through postmodernism. Students
work from a nude model."
