Course Number,Course Name,Department,Prerequisites,Corequesites,Description
BSCI 10001 ,"HUMAN BIOLOGY
",BSCI,None.,None,"Study of the scientific method and life's properties, emphasizing human biology. Topics include energy,
genetics, reproduction, development disease, nutrition and physical fitness in humans."
BSCI 10002 ,"LIFE ON PLANET EARTH
",BSCI,none.,None,"Explores the fascinating breadth of life on Earth including the unique ecology and survival strategies of
animals, plants and microbes in their natural habitats."
BSCI 10003 ,"LABORATORY EXPERIENCE IN BIOLOGY
",BSCI,None,None,"Introductory college-level laboratory in biology for non-majors. Two hours of laboratory per week.
Pre/corequisite: BSCI 10001 or 10002."
BSCI 10100 ,"ANATOMY FOR VETERINARY TECHNICIANS
",BSCI,None.,None,"Compare/identify anatomy and basic physiological functions of domestic animals: skeletal, muscles,
integumentary, special sense organs, respiratory, digestive, urinary, reproductive, mammary glands,
endocrine, nerves, circulatory, immune. Lecture 4 hours, laboratory 3 hours weekly."
BSCI 10110 ,"BIOLOGICAL DIVERSITY
",BSCI,None.,None,"Considered first course in biology majors' sequence. Examines the biodiversity of life from its origins to
present-day prokaryotes and eukaryotes; their behavior, ecology and reproduction. Three hours lecture and
two hours lab weekly. Field trips."
BSCI 10120 ,"BIOLOGICAL FOUNDATIONS
",BSCI,None.,None,"Considered second course in biology majors sequence. Examines organization of life from subcellular
biochemistry and molecular biology to genetics, bioenergetics and system homeostasis. Three-hour lecture and
three-hour lab weekly. Field trips."
BSCI 10195 ,"SPECIAL TOPICS IN BIOLOGY
",BSCI,special approval.,None,(Repeatable for credit)Selected subjects and/or themes in biology.
BSCI 11001 ,"ANATOMY FOR PHYSICAL AND OCCUPATIONAL THERAPY
",BSCI,None.,None,"This course covers the organization of the human body with emphasis on the structure and function of the
neuro-musculo-skeletal systems."
BSCI 11010 ,"ANATOMY AND PHYSIOLOGY I FOR ALLIED HEALTH
",BSCI,special approval.,None,"Anatomy and physiology to include organization of the human body, cells, tissues, organs and systems,
integumentary, skeletal, muscular and respiratory systems and overviews of the nervous and circulatory
system."
BSCI 11020 ,"ANATOMY AND PHYSIOLOGY II FOR ALLIED HEALTH
",BSCI,BSCI 11010 and special approval.,None,"Anatomy and physiology of the circulatory, digestive, urinary, nervous, endocrine and reproductive systems."
BSCI 16001 ,"HORTICULTURAL BOTANY
",BSCI,None.,None,"To provide students with an understanding of the basic anatomy and physiology and growth characteristics of
plants. Lecture two hours weekly, lab three hours weekly. Offered only at the Geauga and Salem campuses."
BSCI 20020 ,"BIOLOGICAL STRUCTURE AND FUNCTION
",BSCI,None.,None,"Basic design of human systems emphasizing the physiochemical and cellular bases of organ-system structure,
function and development. Lecture four hours, laboratory three hours weekly."
BSCI 20021 ,"BASIC MICROBIOLOGY
",BSCI,"BSCI 20020; or BSCI 10100 and 10110; or BSCI 11010 and 11020; or ATTR 25057 and 25058; or EXSC25057 and 25058; and CHEM 10050 or 10052 or 10054 or 10060. 
",None,Principles of microorganisms having a direct relationship on the health and well-being of humans.
