Course Number,Course Name,Department,Prerequisites,Corequesites,Description
CI 40093 ,"VARIABLE TITLE WORKSHOP IN CURRICULUM AND INSTRUCTION
",CI,Permission.,None,"(Repeatable for credit) (Cross-listed with CI 50093 and CI 70093) Variable topic workshop designed to
respond to curriculum trends and issues,and specialized needs."
CI 47095 ,"SPECIAL TOPICS IN CURRICULUM AND INSTRUCTION
",CI,special approval.,None,(Repeatable for credit)
CI 47096 ,"INDIVIDUAL INVESTIGATION IN CURRICULUM AND INSTRUCTION
",CI,special approval.,None,(Repeatable for credit)
CI 47195 ,"SPECIAL TOPICS IN CURRICULUM AND INSTRUCTION
",CI,special approval.,None,Student teaching.
CI 47330 ,"READING AND WRITING IN ADOLESCENCE/ADULTHOOD
",CI,Admission to advanced study.,None,"(Cross-listed with CI 57330) Understanding of literacy learning in adolescence and adulthood (ages 12-21)
with an emphasis on strategies for text learning, literacy in electronic environments and teaching students
who struggle as readers and writers."
CI 47501 ,"TEACHING MATHEMATICS IN EARLY AND MIDDLE GRADES
",CI,"Advanced standing, minimum C (2.000) in MATH14001 or 14002. 
",None,"Addresses pedagogical content knowledge for the teaching and learning of mathematics in grades K-9, based
on the national content and process standards."
CI 47502 ,"SCIENCE TEACHING IN EARLY AND MIDDLE GRADES
",CI,Admission to advanced study.,None,"(Cross-listed with CI 57502) Addresses pedagogical content knowledge for the teaching and learning of
science in grades K-9. In addition students examine how to best align science practice to state and national
standards."
CI 47503 ,"TEACHING SOCIAL STUDIES IN EARLY AND MIDDLE GRADES
",CI,"Admission toadvanced study. 
",None,"(Cross-listed with CI 57503) Addresses pedagogical content knowledge for the teaching and learning of social
studies in grades k-9,based on the national content and process standards."
CI 47504 ,"TEACHING READING AND WRITING IN MIDDLE GRADES
",CI,Admission to advanced study.,None,"(Cross-listed with CI 57504) Addresses pedagogical content knowledge for the teaching and learning of
reading and writing in grades 4-9, based on the national content and process standards."
CI 50093 ,"VARIABLE TITLE WORKSHOP IN CURRICULUM AND INSTRUCTION
",CI,"Graduate standing and specialapproval. 
",None,"(Repeatable for credit) (Cross-listed with CI 40093 and CI 70093) Variable topic workshop designed to
respond to curriculum trends and issues, and specialized needs."
CI 50095 ,"SPECIAL TOPICS: SEMINAR/WORKSHOP IN CURRICULUM AND INSTRUCTION
",CI,Graduate standing.,None,"Special topic: seminar workshop for international baccalaureate program,"
CI 53093 ,"VARIABLE TITLE WORKSHOP IN EXERCISE, LEISURE AND SPORT
",CI,Graduate standing.,None,"(Repeatable for credit) (Cross-listed with SRM 53093) Workshop in exercise, leisure and sport studies topics
vary. Maximum 4 hours may be applied to degree."
CI 55015 ,"PSYCHOLOGY OF COACHING
",CI,Graduate standing.,None,"(Cross-listed with PEP 45015) Factors affecting athletic performance emphasizing skill, motivation, personality
and practice conditions."
CI 55020 ,"CONTEMPORARY ATHLETIC COACHING
",CI,Graduate standing.,None,"A focus on the philosophy, skills, strategies and tactics of coaching within contemporary society."
CI 55051 ,"ELEMENTARY SCHOOL PHYSICAL EDUCATION METHODS
",CI,"Special approval; and graduate standing; and students in the Physical Education Teacher Education (PETE)concentration in the Curriculum and Instruction (CI) major within the Master of Education (MED) degree.
",usite: CI 55053.,"(Cross-listed with PEP 45051) Approaches to teaching in elementary school physical education. Focus on
establishing an environment for learning, planning standards based lessons, instructional effectiveness, and
assessment of student learning. Students are required to complete Bureau of Criminal Investigation and
Identification (BCII) and Federal Bureau of Investigation (FBI) background checks and submit the results to
authorized personnel at their assigned school-agency before the first day of field experience."
CI 55053 ,"ELEMENTARY SCHOOL PHYSICAL EDUCATION CONTENT
",CI,Special approval and graduate standing. ,CI 55051.,"(Cross-listed with PEP 45053) Physical education content for the elementary school child with emphasis on
developmentally appropriate learning in three domains. Students are required to complete Bureau of Criminal
Investigation and Identification (BCII) and Federal Bureau of Investigation (FBI) background checks and
submit the results to authorized personnel at their assigned school-agency before the first day of field
experience."
CI 55058 ,"SECONDARY SCHOOL PHYSICAL EDUCATION METHODS
",CI,Special approval and graduate standing. ,CI 55059.,"(Cross-listed with PEP 45058) Approaches to teaching in secondary physical education. Focus on management
of the learning environment, planning for learning outcomes in three domains, instructional effectiveness, and
sequential curriculum development. Students are required to complete Bureau of Criminal Investigation and
Identification (BCII) and Federal Bureau of Investigation (FBI) background checks and submit the results to
authorized personnel at their assigned school-agency before the first day of field experience."
CI 55059 ,"SECONDARY SCHOOL PHYSICAL EDUCATION CONTENT
",CI,Special approval andgraduate standing. ,CI 55058.,"(Cross-listed with PEP 45059) Introduction and development of content, standards-based curriculum models,
management and organizational skills related to sports and activities utilized in secondary school physical
education. Students are required to complete Bureau of Criminal Investigation and Identification (BCII) and
Federal Bureau of Investigation (FBI) background checks and submit the results to authorized personnel at
their assigned school-agency before the first day of field experience."
