Course Number,Course Name,Department,Prerequisites,Corequesites,Description
COMM 15000 ,"INTRODUCTION TO HUMAN COMMUNICATION
",COMM,None.,None,"An inquiry into the nature and function of human communication in interpersonal, group and public contexts."
COMM 20000 ,"FOUNDATIONS OF COMMUNICATION
",COMM,cumulative 2.000 GPA or better.,None,"The foundations of communication studies course serves as an introduction to the major. Provides an
introduction to communication studies faculty, research and the major concentrations of the school; highlights
possible careers in communication studies; and introduces possible ways students can supplement curriculum
efforts through involvement."
COMM 20001 ,"INTERPERSONAL COMMUNICATION
",COMM,None.,None,"Introduction to human interpersonal communication. Components and structures situations and contexts are
described nonevaluative focus with emphasis on informal experience."
COMM 21000 ,"COMMUNICATION GRAMMAR REVIEW
",COMM,none.,None,"Designed to increase grammar, punctuation, spelling and syntax skills and proficiency. Students must earn a
grade of C (2.000) or better in this course to fulfill the grammar requirement. If they fail to earn a C (2.000)
or better in COMM 21000 after three attempts, they are not permitted to continue in the communication
studies (COMM) program. Does not count toward communication studies (COMM) course requirements."
COMM 21008 ,"SOCIAL MEDIA STRATEGIES
",COMM,none.,None,"(Cross-listed with JMC 21008) Designed to help students understand and use social media in critical and
strategic ways that will improve their lives and careers. Helps students harness the power and potential of the
social Web, including strategies used to position and market organizations as well as individuals. Exposes
students to the latest social-media applications and to critical views of social media's impact on business,
society and culture. Students are also introduced to interaction perspectives of social media, which are
embedded within both the communication studies and the journalism and mass communication curriculum.
Students emerge from the class with a strategic plan designed to enhance their lives and their careers."
COMM 25464 ,"ARGUMENTATION
",COMM,COMM 15000.,None,Introduction to principles of oral and written argumentation.
COMM 25851 ,"COMMUNICATION FOR TEACHERS
",COMM,"IntegratedLanguage Arts (INLA) major. 
",None,"Principles, skills and responsibilities of oral communication as central to the process of teaching all grades and
subjects. Focuses upon speaking and listening with pupils peers and parents."
COMM 25863 ,"BUSINESS AND PROFESSIONAL COMMUNICATION
",COMM,None.,None,"Fundamentals of public and conference speaking,conducting meetings, electronic presentations, interviewing
and interpersonal relations as applied to business and organizational settings."
COMM 25902 ,"COMMUNICATION THEORY
",COMM,None.,None,"Study of the process of human communication. Emphasis on source, message, channel and receiver
dimensions of communication. Examination of major theories of communication and social influence."
COMM 26000 ,"CRITICISM OF PUBLIC DISCOURSE
",COMM,Sophomore standing.,None,"A critical examination of selected public speeches representing diverse viewpoints on a variety of historic and
contemporary issues, emphasizing methods of evaluating public oral communication and the role of
speechmaking in free societies."
COMM 26001 ,"PUBLIC COMMUNICATION IN SOCIETY
",COMM,none.,None,"Examines communication in public settings. Content includes issues in mass media, political communication
and political advertising, news, crisis communication, public opinion, and communication in executive,
legislative and judicial settings. Students explore the influence of mediated messages via application of mass
communication theories and constructs."
COMM 26501 ,"INTRODUCTION TO HEALTH COMMUNICATION
",COMM,none.,None,"Introduction to the roles of communication in health, health and risk behavior, health care, and health
promotion, including interpersonal, organizational and media contexts."
COMM 30000 ,"COMMUNICATION RESEARCH METHODS
",COMM,COMM 25902; cumulative GPA of 2.000 or better.,None,"Introduction to qualitative and quantitative research methods in communication. Students should complete
this course early in their program of study."
COMM 35550 ,"SMALL GROUP COMMUNICATION
",COMM,cumulative GPA of 2.000 or better.,None,An examination of group communication in social and family contexts throughout the life-span.
COMM 35600 ,"COMMUNICATION IN SMALL GROUPS AND TEAMS
",COMM,cumulative GPA of 2.000 or better.,None,"Focuses on the application and practice of group communication skills and techniques applied to goal-oriented
small group situations. The course explores communication theory and research about small groups and
teams, relating in group and teams, managing conflict in groups and teams, leadership in groups and teams,
and problem-solving in groups and teams."
COMM 35852 ,"INTERCULTURAL COMMUNICATION
",COMM,None.,None,Theory and application of communication between people of different cultures and different national systems.
COMM 35860 ,"INTERVIEWING
",COMM,None.,None,"Techniques, principles and practical skills for interviews most likely to occur in business environments; job
searches and selection interviews, information-gathering interviews, performance appraisals, counseling
interviews and persuasive interviews."
COMM 35864 ,"ORGANIZATIONAL COMMUNICATION
",COMM,"Minimum grade of C (2.000) in COMM 20000; and passthe Grammar Test with a 680 or better or have a minimum grade of C (2.000) in COMM 21000; and a
cumulative GPA of 2.000 or better. 
",None,"Application of communication theory to organizational settings. Exploration of communication structures
processes and methods in organizations."
COMM 35912 ,"GENDER AND COMMUNICATION
",COMM,none.,None,"Explores how gender is socially constructed in everyday communicative interactions and institutional contexts,
including close relationships, organizations, school settings and the media. In the process, this course
uncovers how the social construction of gender perpetuates power imbalances in society."
