Course Number,Course Name,Department,Prerequisites,Corequesites,Description
CPHY 60199 ,"THESIS I
",CPHY,Approval of adviser and graduate standing.,None,"Thesis students must register for a total of 6 hours, 2-6 hours in a single semester or distributed over two
semesters if desired."
CPHY 60299 ,"THESIS II
",CPHY,CPHY 60199 and graduate standing.,None,Thesis students must continually register each semester until all degree requirements are met.
CPHY 60498 ,"RESEARCH
",CPHY,Permission and graduate standing.,None,"Research or individual investigation. Credits earned may be applied toward meeting degree requirements if
approved."
CPHY 62241 ,"SOFT MATTER
",CPHY,Graduate standing.,None,"(Cross-listed with CPHY 72241) Lectures on soft materials, including binary fluid mixtures, polymers, colloids,
thermotropic and lyotropic liquid crystals. Structures, defects, and textures of phases with orientational and
partial translational order. Dynamics of phase transitions."
CPHY 62242 ,"CHARACTERIAZATION OF SOFT MATERIALS
",CPHY,graduate standing.,None,"(Cross-listed with CPHY 72242) Basic techniques in characterization using X-ray scattering, neutron scattering,
light scattering, NMR, optical microscopy, scanning electron microscopy, transmission electron and tunneling
electron microscopy and ellipsometry. Laboratory measurements, error analysis, cell fabrication."
CPHY 62245 ,"FUNDAMENTALS OF LIQUID CRYSTAL SCIENCE
",CPHY,graduate standing.,None,"Basic liquid crystals structures and their main physical properties, such as visco-elastic, electric, magnetic and
optical properties except the nature of their phase transitions. Also discussed is their interactions with
surfaces and the structural defects that they can form."
CPHY 62248 ,"LIQUID CRYSTAL OPTICS AND PHOTONICS
",CPHY,graduate standing.,None,"(Cross-listed with CPHY 72248) Optics of cholesterics, liquid crystalline photonic bandgap materials, nonlinear
optics of liquid crystals; optomechancial effects in liquid crystal elastomers."
CPHY 62249 ,"LABVIEW FOR DATA ACQUISITION AND INSTRUMENT CONTROL
",CPHY,graduate standing.,None,"(Cross-listed with CPHY 72249) Introduction to laboratory data acquisition and instrument control using
LabView Software."
CPHY 62335 ,"ADVANCED LIQUID CRYSTALLINE AND POLYMERIC MATERIALS
",CPHY,doctoral standing.,None,"(Cross-listed with CPHY 72335) Liquid crystals and polymers are soft matters of two important disciplines of
science and technology. They both have a similar history and are rich in physical and optical properties useful
for fundamental and applied research. This course introduce students to recent advances in liquid crystals and
polymers with emphasis on structure-property relationships, physical and optical properties, and their
applications."
CPHY 62640 ,"LIQUID CRYSTAL, POLYMER AND COLLOID COMPOSITES
",CPHY,graduate standing.,None,"(Cross-listed with CPHY 72640) Interdisciplinary science of systems consisting of liquid crystal, polymer and
colloid. Statistical physics of composite systems, mixing free energy, phase separation principle, phase
diagrams and phase separation dynamics. States, structures and free energies of liquid crystal, polymer and
colloidal systems. Polymer dispersed liquid crystals (PDLCs), polymer stabilized liquid crystals (PSCTs) and
their applications. Laboratory experiments on composite systems and fabrication of PDLC and PSCT light
shutters."
