Course Number,Course Name,Department,Prerequisites,Corequesites,Description
CS 10001 ,"COMPUTER LITERACY
",CS,None.,None,"Introduction to history, language, procedures, applications, abuses and impact of computers. Hands-on
experience with microcomputers. Not open to students with previous experience."
CS 10051 ,"INTRODUCTION TO COMPUTER SCIENCE
",CS,none.,None,"An introductory, broad and hands-on coverage of aspects of computer science, including algorithms, problem
solving, operating systems concepts, computer architecture, programming languages and modern applications.
Three-credit lecture with one-credit lab."
CS 10061 ,"INTRODUCTION TO COMPUTER PROGRAMMING
",CS,"MATH 11009 or 11010; orminimum SAT 480/ACT 20 and Compass Algebra score of 55; or minimum SAT 620/ACT 26 and Compass
Algebra score of 36. 
",None,"Emphasizes programming in a high-level language, includes structured programming, program design,
expressions, data control, arrays, records, strings and functions."
CS 13001 ,"COMPUTER SCIENCE I-PROGRAMMING AND PROBLEM SOLVING
",CS,"C (2.000) or betterin MATH 11009 or 11010. 
",None,"Computer science concepts including algorithm development and problem solving strategies focused on
procedural abstraction. High-level programming concepts including data types, expressions, program
structures, functions, parameter passing, scope, extent, arrays, introduction to recursion and an introduction
to object oriented-concepts. Course is three hours lecture and one hour lab."
CS 13401 ,"USER LEVEL COMPUTER SECURITY
",CS,none.,None,"Introduction to computer and network safety; detection and removal of viruses, detection and defense against
spyware and rootkits, firewall description and use, protection mechanisms against computer system hacking,
spam, identity theft and phishing, protecting wireless networks, safe computing. Includes many in-lecture
tutorials."
CS 19995 ,"SPECIAL TOPICS IN COMPUTER SCIENCE
",CS,Permission.,None,(Repeatable for credit)Special topics from all areas of computer science.
CS 23001 ,"COMPUTER SCIENCE II-DATA STRUCTURES AND ABSTRACTION
",CS,Minimum grade of C (2.000) in CS 13001. ,CS 23022.,"Computer science concepts and problem solving focusing on data structure and abstraction. Object-oriented
concepts and programming including encapsulation, information hiding, object design, generics, polymorphism
and an introduction to inheritance. Dynamic memory structures including dynamic arrays, pointers, linked-lists
and the use of recursion for problem solving. Abstract data types including stacks, queues, lists, trees and
graphs."
CS 23022 ,"DISCRETE STRUCTURES FOR COMPUTER SCIENCE
",CS,and minimum grade of C (2.000) in MATH 11009 or 11010.,None,"Discrete structures for computer scientists with a focus on: mathematical reasoning, combinatorial analysis,
discrete structures, algorithmic thinking, applications and modeling. Specific topics include logic, sets,
functions, relations, algorithms, proof techniques, counting, graphs, trees, Boolean algebra, grammars and
languages."
CS 27101 ,"INTRODUCTION TO WEB INTERFACE DESIGN
",CS,none.,None,"Introduction to principles for the design and implementation of user-centered website interfaces, website
interface evaluation, human computer interaction, effective data organization and manipulation and tools for
website creation."
CS 29995 ,"SPECIAL TOPICS IN COMPUTER SCIENCE
",CS,Permission.,None,(Repeatable for credit)Special topics from all areas of computer science.
CS 33006 ,"SOCIAL AND ETHICAL ISSUES IN COMPUTING
",CS,C (2.000) or better in CS 13001.,None,"Social issues, including historical and social context, professional responsibilities, risks and liabilities and
intellectual property."
