Course Number,Course Name,Department,Prerequisites,Corequesites,Description
CULT 20091 ,"PREPROFESSIONAL SEMINAR IN EDUCATIONAL STUDIES
",CULT,None.,None,"(Repeatable for credit)Introduction to the nature and scope of educational service delivery across settings,and
to the social and cultural foundations of educational policies and programs. Open to any university student
and to those considering alternative careers in education."
CULT 29535 ,"EDUCATION IN A DEMOCRATIC SOCIETY
",CULT,none.,None,"Students utilize readings, explore themes, broadly explore purposes of school in society and what knowledge,
dispositions and performances are necessary to be a successful teacher today."
CULT 39539 ,"INTRODUCTION TO THE PHILOSOPHY OF EDUCATION
",CULT,Junior standing.,None,"An introduction to the philosophical analysis of educational problems focusing on the goals of education and
the school's role in achieving these goals."
CULT 39595 ,"SPECIAL TOPICS IN CULTURAL FOUNDATIONS
",CULT,none.,None,"(Repeatable for credit)Directed reading and/or research of special interest or need to small groups of students
in cultural foundations. Planned with and directed by a faculty member. IP grade permissible."
CULT 39596 ,"INDIVIDUAL INVESTIGATION IN CULTURAL FOUNDATIONS
",CULT,special approval.,None,"(Repeatable for credit)Directed independent reading and/or research of special interest or need in student
program. Planned with and directed by a faculty member."
CULT 40093 ,"VARIABLE TITLE WORKSHOP IN CULTURAL FOUNDATIONS
",CULT,special approval.,None,"(Repeatable for credit) (Cross-listed with CULT 50093 and CULT 70093) Variable topics;designed to respond to
specialized needs of various groups within the context of trends issues and problems in the educational
foundations disciplines. S u graded."
CULT 49570 ,"SOCIAL FOUNDATIONS OF MULTICULTURAL EDUCATION
",CULT,none.,None,"Explores the history, social context, and issues in multicultural education (formal PK-12) in the U.S. Students
gain an appreciation of the challenges of equalizing opportunity of educational achievement, an understanding
that is essential for 21st century educational leadership."
CULT 50093 ,"VARIABLE TITLE WORKSHOP IN CULTURAL FOUNDATIONS
",CULT,Graduate standing and special approval.,None,"(Repeatable for credit) (Cross-listed with CULT 40093 and CULT 70093) Offered on request of school system.
Enrollment limited to teachers, administrators or supervisors who are employed in sponsoring system and who
are accepted to the university."
CULT 59570 ,"SOCIAL FOUNDATIONS OF MULTICULTURAL EDUCATION
",CULT,graduate standing.,None,"Explores the history, social context, and issues in multicultural education (formal PK-12) in the U.S. Students
gain an appreciation of the challenges of equalizing opportunity of educational achievement, an understanding
that is essential for 21st century educational leadership."
CULT 60199 ,"THESIS I
",CULT,Graduate standing and special approval.,None,"Thesis student must register for total of 6 hours, 2 to 6 hours in a single semester distributed over several
semesters if desired."
CULT 60299 ,"THESIS II
",CULT,CULT 60199. Graduate standing.,None,Thesis students must continue registration each semester until all degree requirements are met.
CULT 65530 ,"FOUNDATIONS OF EDUCATION AND HUMAN SERVICES
",CULT,Graduate standing.,None,"Inquiry into the assumptions and implications of educational policies and practices in education and human
service settings through the application of historical, philosophical and sociological perspectives."
CULT 69521 ,"PROFESSIONAL PRACTICE IN A MULTICULTURAL SOCIETY
",CULT,graduate standing.,None,"Interdisciplinary inquiry into issues of pluralism and its influence on professional practice in education and
human service settings. Cross-cultural interaction will be analyzed; reflection on developing culturally
responsive professional practice."
CULT 69522 ,"ETHICS IN PROFESSIONAL PRACTICE
",CULT,graduate standing.,None,"An examination of ethics in schooling and other educational settings through foundational study and issue
analysis; strong case study and professional application emphasis."
