Course Number,Course Name,Department,Prerequisites,Corequesites,Description
DAN 17001 ,"STUDIO MODERN I
",DAN,None.,None,Practice of basic modern dance technique. Open to all university students.
DAN 17002 ,"STUDIO MODERN DANCE II
",DAN,DAN 17001.,None,"Exploration of modern dance technique foundations and improvisation with emphasis on the movement and
performing qualities of modern dance. Open to all university students."
DAN 17004 ,"STUDIO JAZZ I
",DAN,None.,None,Practice of basic jazz techniques. Open to all university students.
DAN 17005 ,"STUDIO JAZZ II
",DAN,DAN 17004.,None,"Continuation of jazz dance technique foundations with emphasis on more advanced dance combinations. Open
to all university students."
DAN 17007 ,"STUDIO TAP I
",DAN,None.,None,Basic tap steps and combinations with varying sound intensities and rhythms. Open to all university students.
DAN 17008 ,"STUDIO TAP II
",DAN,DAN 17007.,None,Continuation of tap dance technique foundations with emphasis on more advanced dance combinations.
DAN 17009 ,"STUDIO TAP III
",DAN,DAN 17008.,None,"(Repeatable for a maximum of 8 credit hours) Advanced tap dance techniques with emphasis on clarity, speed
and performance skills."
DAN 17010 ,"STUDIO BALLET I
",DAN,None.,None,"Introduction to the foundations of ballet placement, vocabulary and movement for the beginner. Open to all
university students."
DAN 17011 ,"STUDIO BALLET II
",DAN,DAN 17010.,None,"Continuation of ballet technique foundations with emphasis on more advanced dance combinations. Open to all
university students."
DAN 17016 ,"STUDIO SWING DANCE I
",DAN,None.,None,"(Repeatable for a maximum of 2 credit hours) Practice of basic swing dance movements with emphasis on
social partnering skills. Open to all students."
DAN 17049 ,"FUNDAMENTALS OF BALLET AND MODERN DANCE
",DAN,DAN 17001 and 17010.,None,"Introduction to intensive exploration of ballet and modern dance technique for nonmajors with special
emphasis on alignment, body awareness and movement vocabulary."
DAN 17050 ,"INTRODUCTION TO DANCE
",DAN,Dance major and special approval.,None,"Overview of modern dance as a performing art. Specifically focusing on preparation, basic knowledge and
career choices."
DAN 17051 ,"MODERN DANCE TECHNIQUE I-A
",DAN,Dance major and special approval.,None,"Development of skill acquisition in basic technique, understanding and appreciation for the creative nature of
dance through exposure to improvisational experiences."
DAN 17052 ,"BALLET I-A
",DAN,"Dance major andspecial approval. 
",None,Ballet techniques: pre-barre; beginning barre and beginning center work.
DAN 17053 ,"PRINCIPLES OF DANCE MECHANICS I
",DAN,Dance major and special approval. ,DAN 17051 or 17052.,The study and application of alignment and basic movement principles to dance techniques.
