Course Number,Course Name,Department,Prerequisites,Corequesites,Description
IAKM 41096 ,"INDIVIDUAL INVESTIGATION IN INFORMATION ARCHITECTURE, INFORMATION USE
",IAKM,Permission of instructor.,None,"OR KNOWLEDGE MANAGEMENT
(Repeatable for credit)Research or individual investigation for baccalaureate level students at or above the
junior level."
IAKM 60001 ,"INFORMATION ARCHITECTURE AND KNOWLEDGE MANAGEMENT IN CONTEXT
",IAKM,Graduate standing.,None,"(Cross-listed with IAKM 80001) Overview of the Information Architecture and Knowledge Management (IAKM)
program and its concentrations. Basic skills and understandings in information literacy, organization of
knowledge, information sources and searching. Information sciences, systems, and professionals in the
information society."
IAKM 60002 ,"KNOWLEDGE ORGANIZATION STRUCTURES, SYSTEMS AND SERVICES
",IAKM,graduate standing.,None,"Introduction to various types of knowledge organization systems/services/structures (KOS) used in the
networked environment. Understanding of the functional, philosophical, logical and linguistic fundamentals of
KOS. Explanation of design options, features of KOS, and procedures to be used in the thesaurus, taxonomy
and ontology construction."
IAKM 60101 ,"INFORMATION ARCHITECTURE
",IAKM,graduate standing.,None,"Introduction to the fundamental concepts and practices of information architecture (IA). Students develop
practical skills for comparing, analyzing, critiquing and designing information architectures. Major topics
include organization, navigation, labeling, search and other core IA concepts. Students learn to create
blueprints, wireframes, process flows and other documents used to communicate an information architecture
design."
IAKM 60102 ,"INFORMATION AND VISUAL DESIGN
",IAKM,graduate standing.,None,"This course provides a cultural and technological context for understanding the information design process.
Topics include: basic design and typographic principles, aesthetics and information design, functional
integration of visual and verbal elements, creation and use of information graphics visualization of quantitative
information and visual navigation systems."
IAKM 60103 ,"RESEARCHING THE USER EXPERIENCE
",IAKM,graduate standing.,None,"Design research seeks to understand user needs, goals and tasks. Deals with research methods for human-
centered design of information-rich artifacts and experiences. Covers interviews, surveys, diary studies and
other methods applicable to the formative stages of the design process. Students learn to distill research
findings into audience segments, user profiles, personas, scenarios and other documents that model user
behavior."
IAKM 60104 ,"USABILITY I
",IAKM,graduate standing.,None,"Provides a conceptual and practical overview of the processes and methods of usability testing, such as Think
Aloud protocols, performance measurements and eye-tracking analysis. Actual usability testing is performed,
using quantitative and qualitative methods and employing current and emerging software tools to facilitate
data collection and analysis."
IAKM 60105 ,"INFORMATION TECHNOLOGIES
",IAKM,graduate standing.,None,"(Cross-listed with IAKM 80105) Covers four aspects of information technology: essential technology concepts,
the making of software, the social consequences of information technology and the role of non-programmers
in technology design. Topics include operating systems, networks, search engines, markup languages, social
software, dynamic languages, cloud computing, open source software, technology trends and the history of
computing."
IAKM 60110 ,"CONTENT MANAGEMENT SYSTEMS
",IAKM,IAKM 60105 or 80105; and graduate standing.,None,"(Cross-listed with IAKM 80110) This course provides an overview of the concepts and practices of Content
Management (CM) and Content Management Systems (CMS), including understanding the parts and branches
of a CMS criteria for selecting a CMS, CMS configuration, and evaluating and implementing CMS software."
IAKM 60111 ,"ONLINE BRANDING
",IAKM,graduate standing.,None,"(Cross-listed with IAKM 80111) This course will focus on the strategies needed to advance brands through
effective online experiences including web sites, intranets extranets and emerging web technologies. Students
will also learn how to extend the brand through personalization, localization and other segmentation
techniques."
IAKM 60112 ,"ADVANCED INFORMATION ARCHITECTURE
",IAKM,IAKM 60101 or 80101; and graduate standing.,None,"Web site design from emerging directions, such as the separation of content from presentation with e.g., the
use of Cascading Style Sheets (CSS) for formatting web-based documents. The course includes considerations
of making web sites compliant with federal regulations or other standards and validation for various markup
guidelines."
IAKM 60113 ,"USER AND TASK ANALYSIS
",IAKM,"IAKM 60120 or IAKM 80120 with aminimum grade of C (2.000); and IAKM 60121 or IAKM 80121 with a minimum grade of C (2.000); and IAKM
60103 or IAKM 80103 with a minimum grade of C (2.000); and graduate standing. 
",None,"In order to design and develop effective user interfaces, task analysis process and theory are explored and
applied via principles drawn from anthropology, ethnography, cognitive psychology, document and instruction
systems design and market research. Practical techniques and methodologies are presented to improve
interface design through all phases of the design process."
IAKM 60114 ,"USABILITY II
",IAKM,IAKM 60104 or 80104; and graduate standing.,None,"Provides students with an understanding of qualitative and quantitative research methods appropriate for
conducting advanced studies of human interaction with computers. In addition, students learn how to
evaluate, purchase, implement and operate equipment for usability labs in a manner consistent with research
methods."
IAKM 60120 ,"USER EXPERIENCE DESIGN PRINCIPLES AND CONCEPTS
",IAKM,graduate standing.,None,"(Slashed with IAKM 80120) Students explore the context in which User Experience Design exists and the
various methods employed by designers in various fields related to design research, the generation of ideas
and implementation of designs. Students are introduced to methods of design evaluation and to the
conceptual framework of the related curricula."
IAKM 60121 ,"USER EXPERIENCE DESIGN IN PRACTICE
",IAKM,graduate standing.,None,"Students learn and employ methods for engaging in creative problem solving. Introduce students to design
research methods and current research on human behavior as it applies to user experience design. A core set
of design deliverables are examined. Students begin to develop individual portfolio materials."
IAKM 60301 ,"FOUNDATIONAL PRINCIPLES OF KNOWLEDGE MANAGEMENT
",IAKM,graduate standing.,None,"This course covers an introduction to: historical roots for knowledge and knowledge management;
theories/definitions of knowledge; theories, applications tools and practices of KM; Knowledge Management
Life-Cycle Framework and Models; significant issues in KM-- best practices, culture, economics, strategy,
intellectual capital, sustainable innovation."
IAKM 60302 ,"FOUNDATIONS OF DOCUMENT MANAGEMENT
",IAKM,IAKM 60301 and graduate standing.,None,"Covers three main themes: Principles, which covers the document and records management conceptual
framework, relationships with information policy, definitions and industry standards; Practices, which covers
the management and procedural framework for effective planning and implementation of document and
records management solutions; Technologies, which provides a business-oriented analysis of the nature of the
enabling information systems available to support effective document and records management solutions."
