Course Number,Course Name,Department,Prerequisites,Corequesites,Description
JMC 12001 ,"ELEMENTARY PHOTOGRAPHY
",JMC,None.,None,"Introduction to fundamentals and techniques of still and motion picture photography. Terminal course for
students who do not have photography requirements."
JMC 20001 ,"MEDIA, POWER AND CULTURE
",JMC,none.,None,"Fosters critical understanding of mass media in their historical, ideological, economic and cultural contexts.
Examines what forces influence media and how media influence consumers."
JMC 20003 ,"INTRODUCTION TO MASS COMMUNICATION
",JMC,Journalism and mass communication (JMC) major.,None,"Introduction to various fields of mass communication with a particular emphasis on evolution of new media
technologies. History of technological and cultural change leading to the present media forms and
consideration of new media."
JMC 20004 ,"MEDIA WRITING
",JMC,None,None,"Introduces students to variety of writing skills used in various media professions and demonstrates how
writing types vary by audience. Incorporates grammar skills as part of the writing process. Pre/corequisite:
JMC major or minor."
JMC 20005 ,"FUNDAMENTALS OF MEDIA MESSAGES
",JMC,"Communication studies (COMM) major or fashion merchandising (FM) or community healtheducation (CHED) major. 
",None,"Working with messages for print, broadcast, electronic and new media outlets. Course may not be taken for
credit nor applied toward any requirements by a journalism and mass communication (JMC) major."
JMC 20006 ,"MULTIMEDIA TECHNIQUES
",JMC,JMC major.,None,"Introduction to basic elements of multimedia journalistic storytelling, including the creation of audio, video,
slideshows and multimedia packages for distribution via the Internet."
JMC 20008 ,"AUDIENCE ANALYSIS AND RESEARCH
",JMC,"2.000 cumulative GPA; minimum grade of C- (1.700) inJMC 20001 or JMC 20003; and minimum grade of C- (1.700) in JMC 20004 or JMC 26001; and a journalism
and mass communication (JMC) major or minor. 
",None,"An overview of the principles used to understand, interpret and design audience research. This includes
terminology methodologies of syndicated research, audience ratings analysis and psychographic lifestyle data.
A GPA of 2.700 is required in the major."
JMC 20009 ,"VIDEO AUDIO PRODUCTION AESTHETICS
",JMC,none.,None,"Study of basic video and audio production aesthetics; analysis of film, television and radio through creative
use of images and sound to create meaning."
JMC 20011 ,"VIDEO AUDIO FUNDAMENTALS
",JMC,"2.000 overall GPA; andJMC 20009; and journalism and mass communication (JMC) major, or art education (ARTE) or visual
communication design (VCD) major. 
",None,Introduction to beginning digital video and audio acquisition and editing.
JMC 21001 ,"PRINCIPLES OF ADVERTISING
",JMC,None.,None,"Advertising history, purposes, techniques, media and research; analysis of functions of advertising
organizations."
JMC 21005 ,"ADVERTISING MESSAGING
",JMC,"2.000cumulative GPA; minimum grade of C- (1.700) in JMC 20001 or JMC 20003; and minimum grade of C-
(1.700) in JMC 20004 and JMC 21001; and advertising (ADV) major or minor. 
",None,"Introduces students to the history and development of 19th- to 21st-century advertising practices, along with
a strong emphasis on college level writing skills. A GPA of 2.700 is required in the major."
JMC 21008 ,"SOCIAL MEDIA STRATEGIES
",JMC,none.,None,"(Cross-listed with COMM 21008) Designed to help students understand and use social media in critical and
strategic ways that will improve their lives and careers. Helps students harness the power and potential of the
social Web, including strategies used to position and market organizations as well as individuals. Exposes
students to the latest social-media applications and to critical views of social media's impact on business,
society and culture. Students are also introduced to interaction perspectives of social media, which are
embedded within both the communication studies and the journalism and mass communication curriculum.
Students emerge from the class with a strategic plan designed to enhance their lives and their careers."
JMC 22000 ,"PHOTOGRAPHY BASICS
",JMC,"2.000 overall GPA;integrated language arts (INLA), electronic media (ELMD) or news (NEWS) major. 
",None,"Fundamentals of b/w and color photography and digital manipulation software. Introduction of basic themes of
journalistic photography including flash photography. Student furnishes 35mm or APS camera with flash.
Disposable cameras not acceptable. A GPA of 2.700 is required in the major."
JMC 22001 ,"PHOTOGRAPHY
",JMC,art education (ARTE) or visual journalism (VJNL) major.,None,"Basic camera and digital techniques to provide a better understanding of photography as a creative and
journalistic skill."
JMC 22002 ,"VIDEOGRAPHY BASICS
",JMC,"journalism and mass communication (JMC) or integrated language arts (INLA) or visualcommunication and design (VCD) major. 
",None,"Instruction in basic camcorder videographyvideo editing techniques to provide understanding of processes as
creativejournalistic skills and as practical application of knowledge acquired in the prerequisite class."
JMC 22003 ,"VIDEOGRAPHY BASICS II
",JMC,journalism and mass communication (JMC) major or minor. Pre- or,JMC 22002 with a grade of C- (1.700) or better.,"Emphasis on video editing for broadcast news and electronic media production applications using computer
video editing skills."
JMC 22004 ,"VISUAL STORYTELLING
",JMC,"2.000cumulative GPA; JMC 22001 or VCD 28000; and journalism and mass communication (JMC) or visual
communication design (VCD)major. 
",None,"Technical and digital skills needed to produce photos that communicate. Course will stress narrative work,
detailed caption information and reporting. A GPA of 2.700 is required in the major."
JMC 23030 ,"BASIC VIDEO PRODUCTION
",JMC,"2.000 overall GPA; and minimum grade of C- (1.700) in JMC 20001 or JMC 20003; and minimumgrade of C- (1.700) in JMC 20004 and JMC 22002; and journalism and mass communication (JMC) major. 
",None,Theoretical and practical application of program production for video. A GPA of 2.700 is required in the major.
JMC 23031 ,"BASIC AUDIO PRODUCTION
",JMC,"2.000 overall GPA; and a grade of C- (1.700) or better in JMC 20001 or JMC 20003;and a grade of C- (1.700) or better in JMC 20004 and 22002; and journalism and mass communication (JMC)
major or minor. 
",None,"Theoretical and practical application of program production for audio production. A GPA of 2.700 is required in
the major."
JMC 26001 ,"MULTIMEDIA NEWSWRITING
",JMC,major or minorin journalism and mass communication (JMC) or major in integrated language arts (INLA). Pre-/or ,None,Theory and practice in writing basic print and electronic news and feature stories.
JMC 26005 ,"MULTIMEDIA STORYTELLING
",JMC,"2.000 cumulative GPA; and a grade of C- (1.700) in COMM 21000 andJMC 20006 and JMC 26001;and journalism (JNL), news (NEWS), public relations (PR) or visual journalism
(VJNL) major. 
",None,"Multimedia as story telling tools. Developing the multimedia mindset. Using different delivery platforms and
understanding deadlines of various media forms. Formatting stories for webmobile delivery. Learning different
multimedia formats. Using multimedia in breaking news situations. Creating multimedia features and
packages. Stand alone vs. complementary stories. Learning more about capturing and using video, audio and
still photos. Ethical and legal issues surrounding online news reporting and presentation. A GPA of 2.700 is
required in the major."
JMC 26007 ,"PRINT BEAT REPORTING
",JMC,"2.000overall GPA; and JMC 26001 and JMC 26005 and COMM 21000 with a grade of C- (1.700) or better; and
journalism and mass communication (JMC) major. 
",None,"Gathering and writing news: interviewing techniques, cultivating sources, developing beats, meeting deadlines.
Includes campus reporting for Daily Kent Stater. A GPA of 2.700 is required in the major."
JMC 26008 ,"BROADCAST BEAT REPORTING
",JMC,"2.000overall GPA; and JMC 26001 and JMC 26005 and COMM 21000 with a grade of C- (1.7) or better; and a
journalism and mass communication (JMC) major. 
",None,"Writing news, developing sources and beats, meeting deadlines as they relate to electronic media. Includes
reporting campus news for daily broadcasts. A GPA of 2.700 is required in the major."
JMC 28001 ,"PRINCIPLES OF PUBLIC RELATIONS
",JMC,None.,None,"Explores strategic role and function of public relations in business, nonprofit public institutions and society.
Covers public relations practice from development to present."
JMC 30004 ,"WRITING FOR VIDEO AND AUDIO MEDIA
",JMC,"cumulative GPA of 2.000; and grade of C- (1.700) or better in JMC 20009 or JMC 20004; andjournalism and mass communication (JMC) major. 
",None,"Application of standard writing styles and formats in the electronic media. Writing practice in commercials,
continuity, promotions and introductory scriptwriting techniques. A GPA of 2.700 is required in the major."
JMC 30034 ,"PROGRAMMING FOR ELECTRONIC MEDIA
",JMC,"2.000 overall GPA; and a grade of C- (1.700) or better in JMC 20004; and journalism and masscommunication (JMC) major. 
",None,"Background analysis of radio,TV, cable and Internet programming and the relationship to audience needs,
interests, expectations and audience measurement procedures. A GPA of 2.700 is required in the major."
JMC 31002 ,"ADVERTISING COPYWRITING
",JMC,"2.000 cumulative GPA;minimum grade of C- (1.700) in JMC 20004 and21001 and 31011; and a journalism and mass communication (JMC) major. 
",None,"Examination and practice in various forms of advertising copywriting and their applications. A GPA of 2.700 is
required in the major."
JMC 31003 ,"ADVERTISING MEDIA PLANNING
",JMC,"2.000 cumulative GPA; minimum grade ofC- (1.700) in JMC 20004 and 20008 and 21001; and a journalism and mass communication (JMC) major. 
",None,"Analysis, selection and scheduling of advertising media. Examination of advertising research, technique and
application. A GPA of 2.700 is required in the major."
JMC 31011 ,"CREATIVE ADVERTISING STRATEGIES
",JMC,"2.000 overall GPA; and a grade of C- (1.700) orbetter in JMC 20004 and JMC 21001. 
",None,"Ad majors learn problem-solving techniques, which they will apply to business and creative proposals designed
to promote products and or services. Development of good, clear writing skills is a key component of the
course. A GPA of 2.700 is required in the major."
JMC 32001 ,"PHOTOJOURNALISM I
",JMC,"2.000 overall GPA; and minimum C- (1.700) in JMC 22004 and JMC 22001 and JMC 26001 and VCD 37000;and journalism and mass communication (JMC) major 
",None,"Production of photographs for newspapers, magazines and online news media. A laboratory course
emphasizing color and black and white photography. A GPA of 2.700 is required in the major."
JMC 32002 ,"PHOTOJOURNALISM II
",JMC,"2.000 overall GPA and JMC 32001 with a grade of C- (1.700) or better and a journalism andmass communication (JMC) major. 
",None,"(Repeatable once for credit) Continuation of JMC 32001. Advanced news and feature photography for
newspapers, magazines and online including a collaborative project. A GPA of 2.700 is required in the major."
JMC 32004 ,"ADVANCED PHOTOGRAPHY
",JMC,"2.750 overall GPA; and JMC 22001 and 32002 and journalism and masscommunication (JMC) major. 
",None,"Use of specialized equipment, materials and techniques. Student furnishes own view camera. Special
equipment furnished."
JMC 32005 ,"VIDEO FOR STILL PHOTOGRAPHERS
",JMC,"JMC major; and2.000 overall GPA; and minimum grade of C- (1.700) in JMC 22004 and JMC 26001. 
",None,"Teaches video skills for photojournalists, including interviewing, establishing a narrative, editing, and how
video is paired with the written story. A GPA of 2.700 is required in the major."
JMC 33024 ,"PERFORMANCE FOR ELECTRONIC MEDIA
",JMC,2.750 overall GPA and JMC 20003 with a grade of C- (1.700)or better.,None,Development of effective communication techniques in performance situations for electronic media.
JMC 33032 ,"AUDIO SET-UP AND MIXING
",JMC,"cumulative GPA of 2.000; JMC 20011 and JMC 23031 with agrade of C- (1.700) or better; and a journalism and mass communication (JMC) major. 
",None,"Production of in-studio audio programming units,with laboratory unit required as part of course. A GPA of
2.700 is required in the major."
JMC 33033 ,"LOCATION SOUND RECORDING
",JMC,"cumulativeGPA of 2.000; JMC 20011 or JMC 23031 with a grade of C- (1.700) or better; and a journalism and mass
communication (JMC) major. 
",None,"A study of the theory and craft of location sound recording,providing analysis and practice of remote location
dialogue, sound effects and music recording. A GPA of 2.700 is required in the major."
JMC 33036 ,"TELEVISION ENGINEERING
",JMC,"cumulative GPA of 2.000; MATH11009; and JMC 23030 with a grade of C- (1.700) or better and JMC 23031 with a grade of C- (1.700) or
better; and a journalism and mass communication (JMC) major. 
",None,"Introduction to basic electronic media technology and systems, providing knowledge and vocabulary to allow
communication with broadcast engineers. Overview of radio/TV operations and legal viewpoint. Prep for SBE
operators' cert. exam. A GPA of 2.700 is required in the major."
JMC 33042 ,"STUDIO TELEVISION
",JMC,"cumulative GPA of 2.000; JMC 20011 or JMC 23030 with a grade of C- (1.700) or better; andJMC 30004 with a grad of C- (1.700) or better; and a journalism and mass communication (JMC) major. 
",None,"Study of all positions of a live television program including technical directing, floor directing, graphics, digital
playback, and audio engineering. Two hours lecture two hours lab. A GPA of 2.700 is required in the major."
JMC 33043 ,"DIGITAL CINEMATOGRAPHY
",JMC,"cumulative GPA of 2.000;and JMC 20011 or JMC 23030 with a grade of C- (1.700) or better; and JMC 30004 witha grade of C- (1.700)
or better; and journalism and mass communication (JMC) major. 
",None,"Course focuses on digital cinematography techniques for shooting documentary and narrative fiction. Two
hours lecture two hours lab. A GPA of 2.700 is required in the major."
JMC 33092 ,"STUDENT MEDIA PRACTICUM
",JMC,"cumulative GPA of 2.000;and JMC 20001 or JMC 20003 with a grade of C- (1.700) or better; and sophomore standing and special
approval. 
",None,"(Repeatable for a maximum of 3 credit hours)Performance of assigned activities in radio or television under
student media supervision. A GPA of 2.700 is required in the major."
JMC 34038 ,"MEDIA SALES AND SALES MANAGEMENT
",JMC,"2.000 overall GPA; andJMC 30034 or 31003 either with a grade of C- (1.700) or better; and journalism and mass communication
(JMC) major. 
",None,"Selling techniques in electronic and print media;sales policies procedures rate card structure sales proposals
and related promotional aspects.A GPA of 2.700 is required in the major."
JMC 36005 ,"COPYEDITING
",JMC,"2.000 overall GPA; and COMM 21000 and JMC 26001 witha grade of C- (1.700) or better. 
",None,"Improving the writing of other journalists and writing headlines. Intensive review of AP style and grammar. A
GPA of 2.700 is required in the major."
JMC 38002 ,"PUBLIC RELATIONS CASE STUDIES
",JMC,"2.000 overall GPA; and minimum grade ofC- (1.700) or better in JMC 26001 and JMC 28001. 
",None,"Explores the process and the practice of public relations through review and analysis of actual case studies.
Students also learn pr process by planning and preparing their own case study projects for a real world client
organization. A GPA of 2.700 is required in the major."
