Course Number,Course Name,Department,Prerequisites,Corequesites,Description
JUS 12000 ,"INTRODUCTION TO JUSTICE STUDIES
",JUS,None.,None,"Surveys the U.S. criminal justice system and its component institutions and processes, including overviews of
policing, corrections, courts, and their inter-relations in the criminal justice system. An overview is also
provided of the nature and measurement of crime, patterns of offending and victimization, and criminal justice
responses to offending and victimization. Historical and emerging issues are introduced including a variety of
insights related to effective, professional and ethical practices in criminal justice."
JUS 22100 ,"BASIC INTERVIEWING
",JUS,JUS 12000.,None,"Foundation of basic interviewing principles including communication models,question format, distortions, topic
control, inhibitors, facilitators, listening, types of interviews and practical exercises."
JUS 22300 ,"POLICE ROLE
",JUS,JUS 12000.,None,"Systematic analysis of the police role. An examination of the related research with an emphasis on divergent
perspective and development of conceptual models."
JUS 22301 ,"THE INVESTIGATIVE PROCESS
",JUS,JUS 12000.,None,"An examination of established investigative processes, techniques employed in conducting a systematic
investigation and legal implications."
JUS 26701 ,"CORRECTIONS
",JUS,JUS 12000.,None,"Course topics include history of corrections, punishment, community corrections, correctional institutions,
correctional administration, issues in corrections, and future trends of corrections."
JUS 26704 ,"ISSUES IN LAW AND SOCIETY
",JUS,none.,None,"General treatment of the legal system with special emphasis on its origin, structure and functional
consequences on issues and problems in modern society."
JUS 27095 ,"SPECIAL TOPICS JUSTICE STUDIES
",JUS,none.2.000 OR ,None,"(Repeatable for a maximum of 6 credit hours)Intensive analysis of issues significant and current in the field
which are not covered in regular courses."
JUS 27311 ,"VICTIMOLOGY
",JUS,JUS 12000.,None,"Patterns of victim-offender relationship and process of victimization. Role of victims in criminal process.
Problems of adjustment to victimization and issues in victim compensation."
JUS 32200 ,"POLICE AND COMMUNITY
",JUS,"JUS 12000 and 22300; andsophomore standing. 
",None,"An examination of the rights of individuals, citizen involvement, the police as members of the community, and
the development implementation and evaluation of related programs."
JUS 32400 ,"RESEARCH METHODS IN JUSTICE STUDIES
",JUS,JUS 12000 and junior standing.,None,"Scientific approaches to the study of criminal justice. Survey of methods and designs used in criminal justice
research; uses of research in criminal justice. Exercises included."
JUS 32500 ,"CRISIS INTERVENTION
",JUS,"JUS 12000; and JUS 22300 or27311; and sophomore standing. 
",None,"Crisis intervention situations in criminal justice are considered. The service role of criminal justice personnel,
community resources and skill development are also considered."
JUS 33200 ,"CRIMINAL LAW
",JUS,JUS 12000.,None,"Developmental backgrounds and principles of criminal law; structure, functions of criminal law; rules of
criminal liability and procedural requisites in criminal proof. Case analysis included."
JUS 33300 ,"DEVELOPMENT OF JUSTICE IN AMERICA
",JUS,JUS 12000 and sophomore standing.,None,"Course focuses on the evolution of the criminal justice process from its establishment in the United States to
the present."
JUS 33400 ,"CRIME AND JUSTICE IN POPULAR CULTURE
",JUS,JUS 12000 and sophomore standing.,None,"Crime and criminal justice as they are socially constructed and portrayed in popular culture including
television, news and entertainment, popular film and other media of popular culture. Critical analysis of
relations between popular culture, media institutions, crime and justice. Role of popular culture media in
shaping public opinions about crime and justice, and in turn the relevance of public opinion for understanding
criminal justice politics and policy."
JUS 34200 ,"CRIMINAL PROCEDURES AND EVIDENCE
",JUS,JUS 12000 or PLST 18000.,None,"This course focuses on the use of evidence and the legal procedures followed in the processing of criminal
cases. Case analysis and writing assignments required."
JUS 34311 ,"YOUTH AND THE JUSTICE SYSTEM
",JUS,JUS 12000.,None,"Analysis of situations involving the legal rights of children and youths which demand intervention by justice
institutions or service agencies."
JUS 36702 ,"CRIMINOLOGY
",JUS,"JUS 12000 orSOC 12050; and junior standing. 
",None,"Examines crime from the legal and social viewpoints; including extent and patterns of criminal behavior.
Special emphasis on theoretical explanations of criminal behavior and crime rates."
JUS 36703 ,"JUVENILE DELINQUENCY
",JUS,JUS 12000 and 36702.,None,"Social and personal factors in juvenile delinquency; operation of juvenile justice system; prevention and
control of delinquency."
JUS 37091 ,"SEMINAR IN CRITICAL ISSUES IN JUSTICE
",JUS,JUS 12000 and sophomore standing.,None,"(Repeatable for credit)Intense analysis of issues significant and current in the justice field which are not
covered in regular courses."
