Course Number,Course Name,Department,Prerequisites,Corequesites,Description
MCLS 10001 ,"INTRODUCTION TO STRUCTURAL CONCEPTS FOR LANGUAGE STUDENTS
",MCLS,None.,None,"Prepares students for successful study of a foreign language; includes introduction to basic grammatical
concepts such as use of verb tenses, personal pronouns, etc., as well as strategies for learning a foreign
language efficiently."
MCLS 10095 ,"SPECIAL TOPICS IN ELEMENTARY FOREIGN LANGUAGE STUDY
",MCLS,special approval.,None,"(Repeatable for credit) Study of a foreign language at the elementary level (Elementary I or II) or
intermediate level (Intermediate I or II) as determined appropriate by the department. No proficiency needed
for work at the Elementary I level; proficiency equivalent of Elementary I for work at the Elementary II level,
at Elementary II for the Intermediate I level, and at Intermediate I for the Intermediate II level."
MCLS 20000 ,"GLOBAL LITERACY AND CULTURAL AWARENESS
",MCLS,none.,None,"Introduction to dimensions of cultural identity and parameters of cultural expression, with a focus on fostering
cultural awareness skills. By exploring the ways in which culture shapes us, students gain a better
understanding of the dynamics shaping their world, the world of others, and their respective places in it.
Discussion of real-world critical incidents, authentic cultural ethnographies, and case studies provide students
with concrete examples and contexts to solve problems linked to encounters with persons of different
linguistic and cultural backgrounds."
MCLS 20091 ,"VARIABLE CONTENT SEMINAR IN GLOBAL LITERACY: CASE STUDIES
",MCLS,none.,None,"(Repeatable for credit) In-depth study of the interaction between two or more cultures of the world, focusing
on the impact of linguistic and other cultural differences. Topics will vary."
MCLS 21417 ,"MULTICULTURALISM IN TODAY'S GERMANY
",MCLS,None.,None,"This course examines how issues of diversity have shaped German culture and traces the country's
transformation into a postnational, multicultural society. Taught in English; knowledge of German not
necessary."
MCLS 28404 ,"THE LATIN AMERICAN EXPERIENCE
",MCLS,None.,None,"An introduction to various aspects of contemporary Latin American societies and cultures. Taught in English;
knowledge of a foreign language is not necessary."
MCLS 30420 ,"FOREIGN LANGUAGES AND CULTURE STUDIES
",MCLS,None.,None,"Examines the anthropological, linguistic and cultural dimensions involved in language interactions. Students
acquire the skills necessary to analyze language and culture “in action” from verbal and non-verbal
perspectives, and to identify and reflect on the distinctive viewpoints of other cultures and speakers of other
languages. Interactive lectures, discussions and application activities build on students' current linguistic and
cultural competence."
MCLS 30660 ,"ORIENTATION TO SECOND LANGUAGE PEDAGOGY
",MCLS,Special approval.,None,"Theories of human development and learning, second language acquisition research and second language
methodology form the basis for classroom practices. Peer-teaching and 30 hours of field experience required."
MCLS 39597 ,"INTRADEPARTMENTAL COLLOQUIUM
",MCLS,None.,None,"(Repeatable for credit)Permits students to explore areas of special interest not usually covered in standard
departmental courses, e.g. movies and literature, women in literature."
MCLS 40093 ,"VARIABLE TITLE WORKSHOP IN MODERN AND CLASSICAL LANGUAGE STUDIES
",MCLS,Departmental special approval.,None,"(Repeatable for credit)Workshops individually designed to provide instruction and training in specific areas of
modern and classical language studies."
MCLS 40095 ,"SELECTED TOPICS
",MCLS,"Seniorstanding. 
",None,(Repeatable for credit when topic varies)Topic to be announced in the schedule of classe.
