Course Number,Course Name,Department,Prerequisites,Corequesites,Description
MUS 11110 ,"MUSIC FUNDAMENTALS
",MUS,none.,None,"Introduction to the pitch and rhythmic aspects of music. Emphasis on aural skills and music notation. Prepares
students for MUS11111, Music Rudiments. No credit toward graduation for music majors or minors."
MUS 11111 ,"MUSIC RUDIMENTS
",MUS,"Music Theory Placement Test, score of 01.",None,"Introduction to the pitch and rhythmic aspects of music. Emphasis on aural/oral skills and music notation. No
credit toward graduation for music majors or minors."
MUS 11121 ,"THEORY
",MUS,"Music Theory Placement Test, score of 02.",None,"Basic elements of music--harmonic, melodic, rhythmic--studied through analysis, composition, keyboard and
ear training. Diatonic materials emphasized."
MUS 11122 ,"THEORY
",MUS,"MUS 11121 with a grade ofC (2.00) or better. 
",None,"Continuation of basic elements of music--harmonic, melodic, rhythmic-- studied through analysis, composition,
keyboard, singing and ear training. Chromatic materials emphasized."
MUS 17011 ,"PIANO CLASS FOR NONMUSIC STUDENTS
",MUS,None.,None,"Development of basic skills required in playing piano, including familiarity with the keyboard and music
notation."
MUS 17012 ,"PIANO CLASS FOR NONMUSIC STUDENTS
",MUS,MUS 17011.,None,"Development of basic skills required in playing piano, including familiarity with the keyboard and music
notation."
MUS 17111 ,"PIANO CLASS
",MUS,Special approval.,None,"Preparatory piano. Credit not acceptable on music major sequences. Piano literature and functional elements
of sight-reading, transposition, harmonization and improvisation."
MUS 17112 ,"PIANO CLASS
",MUS,"MUS 17111 with a grade of C(2.000) or better. 
",None,"Preparatory piano. Credit not acceptable on music major sequences. Piano literature and functional elements
of sight-reading, transposition, harmonization and improvisation."
MUS 18611 ,"SINGER'S DICTION I
",MUS,Music (MUS) or music education (MUED) major.,None,"Foundational training and performance practice in phonetics and singing diction for the English, American,
Ecclesiastical Latin and Italian vocal repertoire."
MUS 18612 ,"SINGER'S DICTION II
",MUS,"Music (MUS) major and MUS 18611 with a gradeof C (2.000) or better. 
",None,"Foundational training and performance practice in phonetics and singing diction for the vocal repertoire of
French, German and selected other languages."
MUS 20295 ,"SPECIAL TOPICS IN MUSIC
",MUS,Music (MUS) major.,None,"(Repeatable for credit)Academic study in areas not offered adequately in the music curriculum. Topic areas are
of special interest to the faculty member."
MUS 21113 ,"MUSIC PRODUCTION I
",MUS,none.,None,"A practical introduction to digital audio production, study of basic computer assisted recording, editing and
music production."
MUS 21114 ,"MUSIC PRODUCTION II
",MUS,MUS 21113 and 21221 with minimum C (2.000) grade.,None,"A practical study of computer assisted composition and arranging covering MIDI, sequencing, synthesis,
sampling and video synchronization."
MUS 21121 ,"MUSIC THEORY TO 1750
",MUS,MUS 11122 with a grade of C (2.000) or better.,None,"Study of Western musical style from Gregorian chant through the Baroque period. Emphasis on aural,
compositional, written and keyboard approaches as appropriate to medieval, Renaissance and Baroque music."
MUS 21122 ,"MUSIC THEORY FROM 1750 TO 1900
",MUS,MUS 21121with a grade of C (2.000) or better.,None,"Study of Western musical style from the early classical to the late Romantic period. Emphasis on aural,
compositional, written and keyboard approaches as appropriate to classical and Romantic music."
MUS 21221 ,"AUDIO RECORDING I
",MUS,minimum grade of C (2.000) in MUS 21113.,None,"A study of basic live and studio recording fundamentals and techniques, including signal flow, microphones
and recording equipment."
MUS 21222 ,"AUDIO RECORDING II
",MUS,MUS 21221 with minimum C (2.000) grade.,None,"A study of multi-track miking and recording techniques, session setup and management, and elements
required for the reference mix."
MUS 21341 ,"COMMERCIAL MUSIC THEORY AND COMPOSITION
",MUS,Minimum grade of C (2.000) in MUS 11121 and 11122.,None,"Application of the knowledge gained from Music Theory (MUS 11121 and 11122) to the study of popular
music through practical applications, particularly with regard to composition and improvisation."
MUS 22111 ,"THE UNDERSTANDING OF MUSIC
",MUS,none.,None,"A listening approach for the understanding of Western art music, folk and jazz. Particular attention is paid to
musical styles forms and compositional techniques as related to music history."
MUS 22121 ,"MUSIC AS A WORLD PHENOMENON
",MUS,none.,None,"An introduction to music as a world phenomenon. Study of selected art, folk and popular musics from world
cultures through live performances, tapes, films, video tapes and readings."
MUS 22131 ,"SURVEY OF ROCK MUSIC HISTORY
",MUS,none.,None,"A survey of Rock Music History from the 1950s through the twentieth century to today. Emphasis is on
recognizing music literature, prominent artists and music styles, as well as related cultural events. Modern
media, especially the Internet, is an integral component of the course."
MUS 23241 ,"MUSIC TEACHING AS A PROFESSION
",MUS,Music (MUS) or music education (MUED) major.,None,"Basic teaching strategies and techniques; an overview of music teaching as a career; diversity, integration,
curriculum technology, classroom management, legal issues, personal skills and portfolio. Twenty (20) field
hours required."
MUS 25011 ,"UNIVERSITY CHORUS
",MUS,Special approval.,None,"(Repeatable for credit) Choral ensemble which studies and performs sacred and secular music for mixed
voices. Activities include performance on and off campus."
MUS 25225 ,"UNIVERSITY BAND
",MUS,None.,None,"(Repeatable for credit) Study and performance of music literature for wind band appropriate for music majors
and non-majors."
MUS 25311 ,"CHAMBER MUSIC
",MUS,Permission.,None,(Repeatable for credit) The study and performance of music for small ensembles.
MUS 25312 ,"WORLD MUSIC ENSEMBLE
",MUS,none.,None,"The World Music Ensemble teaches performance and cultural etiquette associated with traditional and popular
world music genres, e.g., African drumming. Specific traditions studied include areas of specialization of
instructors andor advanced student participants."
MUS 27111 ,"PIANO CLASS
",MUS,"MUS17112 with a grade of C (2.000) or better. 
",None,Continuation of piano classes. Credit acceptable on music major and minor sequences.
MUS 27112 ,"PIANO CLASS
",MUS,"MUS27111with a minimum grade of C (2.000). 
",None,Continuation of piano classes. Credit acceptable on music major and minor sequences.
MUS 31111 ,"ADVANCED SIGHT SINGING
",MUS,MUS 21122.,None,"Advanced sight singing and ear training. Sight singing in five clefs emphasizing vocal and instrumental works
from various periods including contemporary."
MUS 31113 ,"MUSIC PRODUCTION III
",MUS,"Minimum grade of C (2.000) in 21114; and musictechnology (MUST) major. 
",None,"Continuation of Music Production II. Advanced sequencing, synthesis and audio editing techniques as applied
to music production. Focus is on arranging."
MUS 31114 ,"MUSIC PRODUCTION IV
",MUS,"Minimum grade ofC (2.000) in MUS 31113; and music technology (MUST) major. 
",None,"Continuation of Music Production III. Arranging for acoustic and electronic instruments as applied to music
production. Development of MIDI programming skills and use of sample sets."
MUS 31121 ,"WESTERN MUSIC SINCE 1900
",MUS,"MUS 21122 and MUS 32212, both with C (2.000) minimum grade.",None,"Class meets three hours per week. The study of western art music since 1900 from historical and theoretical
viewpoints. Emphasis on aural listening music composition and written skills as well as intellectual
understanding."
MUS 31211 ,"COMPOSITION
",MUS,music (MUS) or music education (MUED) major.,None,"(Repeated for credit) original composition for instrumental and vocal solos and small ensembles using shorter
musical forms."
MUS 31221 ,"AUDIO RECORDING III
",MUS,"Minimumgrade of C (2.000) in MUS 21222; and music technology (MUST) major. 
",None,"A study of the elements, functions and techniques of digital audio multi-track mixing."
MUS 31222 ,"AUDIO RECORDING IV
",MUS,"Minimum grade of C (2.000) in MUS 31221; and music technology (MUST)major. 
",None,"A detailed study of the tools, techniques and critical listening decisions required in creating a professional
digital audio mix."
MUS 32211 ,"MUSIC HISTORY TO 1750
",MUS,"MUS22111 (music major section) with a grade of C (2.000) or better; and junior standing. 
",None,A survey of Western music history from early Christian chants through the Baroque style.
MUS 32212 ,"MUSIC HISTORY 1750 TO 1900
",MUS,"MUS 22111 (music majorsection); and MUS 32211 with a grade of C (2.000) or better and junior standing. 
",None,A survey of Western music history of the 18th and 19th centuries.
MUS 33211 ,"ELEMENTARY AND SECONDARY GENERAL MUSIC
",MUS,"grade of C (2.000) orbetter in MUS 23241; and music (MUS) or music education (MUED) major; and junior standing. 
",None,"Kodaly, Orff, Dalcroze and current strategies appropriate for early childhood K-12 general music classrooms.
Emphasis on teaching diverse learners, including special student populations. Clinical experience in the
teaching of general music in the schools. Forty (40) field hours required."
MUS 33212 ,"TEACHING SKILLS IN MUSIC EDUCATION:GENERAL/INSTRUMENTAL
",MUS,Music (MUS) major and junior standing. ,MUS 33211 or MUS 43231.,Clinical experience in the teaching of general and instrumental music. Fifteen field hours required.
MUS 33213 ,"TEACHING SKILLS IN MUSIC EDUCATION:CHORAL/ORCHESTRAL
",MUS,MUS 33212; and music (MUS) or music education (MUED) major; and junior standing. ,"MUS33231 or MUS 43211. 
",Clinical experience in the teaching of choral and instrumental music. Fifteen field hours required.
