Course Number,Course Name,Department,Prerequisites,Corequesites,Description
RIS 34003 ,"RADIATION THERAPY PRINCIPLES/PRACTICE I
",RIS,radiologic and imaging sciences (RIS) major.,RIS 34030.,"An overview of cancer, radiation therapy and its physical and technical aspects. Includes the
roles/responsibilities of the therapist, treatment parameters, documentation and delivery of patient care,
education and procedures."
RIS 34004 ,"RADIATION THERAPY PATIENT MANAGEMENT
",RIS,radiologic and imaging sciences (RIS) major.,"RIS34030. 
","Provides the basic concepts in patient assessment and evaluation. Includes communication skills, infection
control, nutrition, medications, exams ,emergencies, patient transfer techniques, medical ethics and law as
applied to radiation therapy."
RIS 34008 ,"RADIATION THERAPY PHYSICS I
",RIS,radiologic and imaging sciences (RIS) major. ,RIS 34030.,"Introduction to radiation therapy physics, including the fundamentals of atomic structure, radiation properties,
radiation production, radiation quality, interactions of radiation with matter and principles of radiation
detectors."
RIS 34030 ,"RADIATION THERAPY CLINICAL EDUCATION I
",RIS,radiologic and imaging sciences (RIS) major and special approval.,None,"Observation and supervised clinical education with emphasis on administering radiation therapy treatments
and patient care."
RIS 34040 ,"PATIENT MANAGEMENT IN DIAGNOSTIC MEDICAL SONOGRAPHY
",RIS,radiologic and imaging sciences (RIS) majors.,RIS 34045.,"Methods of patient management in diagnostic medical sonography are examined with emphasis on patient
communication, clinical assessment, medical legal aspects, medical records, emergencies, pharmacology,
safety issues, ethics and critical thinking."
RIS 34042 ,"ABDOMINAL SONOGRAPHY I
",RIS,radiologic andimaging sciences (RIS) major. ,RIS 34045.,"Anatomy, physiology and pathology of the abdomen; instrumentation and scanning techniques; normal and
abnormal sonographic appearances of abdominal structures will be presented."
RIS 34044 ,"ULTRASOUND PHYSICS AND INSTRUMENTATION
",RIS,radiologic and imaging sciences (RIS) major.,"RIS34045. 
","Ultrasound principles to include interaction of sound with matter, propagation of sound in tissue, physical
units, transducer parameters, image storage and display, quality assurance, bioeffects, image artifacts and
physical principles of doppler."
RIS 34045 ,"ULTRASOUND CLINICAL EDUCATION I
",RIS,radiologic imaging science (RIS) major and special approval.,None,"Provides clinical education and experience at a lab and clinical site to allow students the opportunity to
practice skills necessary to obtain high quality sonographic images, to alter protocols on patients and to
identify image quality problems. Content includes sonography of the liver, gallbladder, pancreas and spleen."
RIS 34052 ,"ABDOMINAL SONOGRAPHY II
",RIS,RIS 34042 and radiologic and imaging science (RIS) major.,None,"Continuation of RIS 34042; anatomy, physiology and pathology of the abdomen; instrumentation and
sonographic scanning techniques; normal and abnormal sonographic appearance of abdominal structures will
be presented."
RIS 34060 ,"ULTRASOUND CLINICAL EDUCATION II
",RIS,RIS 34045. ,RIS 34052.,"Provides clinical education and experience at a clinical site to allow students the opportunity to practice skills
necessary to obtain high quality sonographic images, to alter protocols based on patients and to identify
image quality problems. Content includes sonography of the abdominal vessels, kidneys, adrenal glands,
lymphatics and gynecologic pelvis."
RIS 34062 ,"OBSTETRICS AND GYNECOLOGY SONOGRAPHY I
",RIS,RIS 34045 and radiologic and imaging sciences (RIS) major.,None,"Anatomy and pathophysiology of the non-pregnant female pelvis; instrumentation and scanning techniques;
normal and abnormal sonographic appearances; and findings of the female reproductive tract are covered."
RIS 34065 ,"ULTRASOUND CLINICAL EDUCATION III
",RIS,RIS34062. ,RIS 44072.,"Provides clinical education and experience at clinical sites to allow students the opportunity to practice skills
necessary to obtain high quality sonographic images, to alter protocols based on patients and to evaluate
image quality. Content includes first, second and third trimester obstetric sonography."
RIS 34082 ,"SMALL PARTS SONOGRAPHY
",RIS,RIS 34083 and radiologic and imaging sciences (RIS) major.,None,"Anatomy and pathophysiology of superficial structures; instrumentation and scanning techniques; normal and
abnormal sonographic appearances of superficial structures; correlation with laboratory findings and other
imaging modalities are presented."
RIS 34083 ,"SECTIONAL ANATOMY IN MEDICAL IMAGING
",RIS,"radiologic and imaging sciences(RIS) major; and BSCI 11000 and 11020 or 20020. 
",None,"Presentation of sectional anatomy of the body in the transverse (axial), sagittal and coronal planes as seen in
medical images in CT, MRI and diagnostic medical sonography."
RIS 34084 ,"COMPUTED TOMOGRAPHY AND MAGNETIC RESONANCE IMAGING SECTIONAL ANATOMY
",RIS,radiologic and imaging science (RIS) major and special approval.,None,"I
Presentation of sectional anatomy of the human body in computed tomography and magnetic resonance
imaging. Includes orientation of organs and structures and pathological processes present in images."
RIS 34086 ,"COMPUTED TOMOGRAPHY AND MAGNETIC RESONANCE IMAGING SECTIONAL ANATOMY
",RIS,RIS 34084 and radiologic and imaging science (RIS) majors.,None,"II
Presentation of sectional anatomy of the human body in computed tomography and magnetic resonance
imaging. Includes orientation of organs and structures and pathological processes present in images as seen in
the extremities."
RIS 41095 ,"SPECIAL TOPICS IN RADIOLOGIC AND IMAGING SCIENCES
",RIS,Radiologic and imaging sciences (RIS) major.,None,"(Repeatable for credit)Courses will consist of various topics in medical imaging designed to enhance learning
outcomes."
RIS 44000 ,"INTRODUCTION TO RADIOLOGIC AND IMAGING SCIENCES
",RIS,"RIS majors and specialapproval. 
",None,"An introduction to radiology patient care techniques and clinical procedures for freshman entry students
admitted to the RIS major in nuclear medicine and radiation therapy."
RIS 44001 ,"PATIENT MANAGEMENT IN NUCLEAR MEDICINE
",RIS,Radiologic and imaging science (RIS) majors and specialapproval. ,RIS 44002 and RIS 44005 and RIS 44006 and RIS 44011.,"Provides the student with a working knowledge of a health care facility's function, basic patient care skills,
emergency care, patient communications and professionalism. Interactions and care of diverse populations will
also be addressed. Course enables the student to provide appropriate care for the patient while undertaking
any nuclear medicine procedure."
RIS 44002 ,"NUCLEAR MEDICINE PROCEDURES I
",RIS,radiologic and imagingscience (RIS) major and special approval. ,RIS 44001 and 44005 and 44006 and 44011.,"An anatomical and physiological review of the skeletal, cardiovascular, gastrointestinal, endocrine,
genitourinary, respiratory, lymphatic and central nervous organ systems. Basic nuclear medicine imaging
procedures as related to the above listed organ systems is covered."
RIS 44005 ,"NUCLEAR MEDICINE CLINICAL EDUCATION I
",RIS,radiologic and imaging science (RIS) major and special approval. ,"RIS44001 and 44002 and 44006 and 44011. 
","Students acquire clinical experience in nuclear medicine procedures and patient care at the assigned clinical
education site. Includes an orientation to program and policies, observations of procedures, patient
management, radiopharmacy, radiation safety, quality control and equipment orientation. competency testing
begins."
RIS 44006 ,"NUCLEAR MEDICINE PHYSICS AND INSTRUMENTATION I
",RIS,radiologic and imaging science (RIS) major and special approval. ,"RIS 44001 and44002 and 44005 and 44011. 
","Explores the concepts of the physical principles of nuclear physics including radioactive decay and interactions
with matter. Radiation detector and laboratory equipment applications, functions and limitations is included."
RIS 44009 ,"RADIATION THERAPY PRINCIPLES AND PRACTICE II
",RIS,RIS 34003. ,RIS 44053.,"Examines the multidisciplinary treatment approaches. Consists of advanced topics in therapy, chemotherapy,
immunotherapy, and surgery for combined modalities, for benign conditions, for emergencies and for
managing side effects."
RIS 44010 ,"NUCLEAR MEDICINE CLINICAL EDUCATION II
",RIS,RIS 44005; radiologic and imaging sciences (RIS) major and special approval.,RIS 44012 and 44014 and 44017.,"Continuation of Clinical Education I. Instructed at both the clinical education sites and Salem Campus, with
particular emphasis on clinical procedures covered in RIS 44002 (Nuclear Medicine Procedures I) and RIS
44012 (Nuclear Medicine Procedures II). Clinical correlation for Radiopharmacy rotations and RIS 44014
(Nuclear Medicine Physics and Instrumentation II) included. Competency testing continues; proficiency testing
begins."
RIS 44011 ,"NUCLEAR MEDICINE RADIOPHARMACY
",RIS,usite: radiologic and imaging science (RIS) major. ,"RIS44001 and RIS 44002 and RIS 44005 and RIS 44006. 
","Course includes the methodologies, calculations and basic properties of radiopharmaceuticals.
Radiopharmaceutical chemistry is applied. Localization methods, quality control and radiation safety issues are
examined. Non-radioactive interventional drugs, radiopharmacy management and governing rules and
regulations are also explored."
