Course Number,Course Name,Department,Prerequisites,Corequesites,Description
RUSS 12201 ,"ELEMENTARY RUSSIAN I
",RUSS,None,RUSS 12211.,An introduction to the Russian language in the context of Russian cultures.
RUSS 12202 ,"ELEMENTARY RUSSIAN II
",RUSS,RUSS 12201 and 12211. ,RUSS 12212.,A continuation of the introduction to the Russian language in the context of Russian cultures.
RUSS 12211 ,"ELEMENTARY RUSSIAN I RECITATION
",RUSS,None,RUSS 12201.,"Reinforces material presented in Elementary Russian I (RUSS 12201). Must be taken with Elementary Russian
I."
RUSS 12212 ,"ELEMENTARY RUSSIAN II RECITATION
",RUSS,RUSS 12201 and 12211. ,RUSS 12202.,"Reinforces material presented in Elementary Russian II (RUSS 12202). Must be taken together with
Elementary Russian II."
RUSS 22201 ,"INTERMEDIATE RUSSIAN I
",RUSS,RUSS 12202. ,RUSS 22211.,"Continued development of speaking, listening, reading and writing skills using a variety of cultural materials."
RUSS 22202 ,"INTERMEDIATE RUSSIAN II
",RUSS,RUSS 22201. ,RUSS 22212.,Continuation of RUSS 22201.
RUSS 22211 ,"INTERMEDIATE RUSSIAN I RECITATION
",RUSS,RUSS 12202 and 12212. ,RUSS 22201.,"Reinforces material presented in Intermediate Russian I (RUSS 22201). Must be taken together with
Intermediate Russian I."
RUSS 22212 ,"INTERMEDIATE RUSSIAN II RECITATION
",RUSS,RUSS 22201 and 22211. ,RUSS 22202.,"Reinforces material presented in Intermediate Russian II (RUSS 22202). Must be taken with Intermediate
Russian II."
RUSS 32201 ,"INTENSIVE RUSSIAN GRAMMAR
",RUSS,RUSS 22202 .,None,A systematic approach to Russian grammar and syntax.
RUSS 32211 ,"COMPOSITION AND CONVERSATION
",RUSS,RUSS 22202.,None,Introduction to advanced oral and written discourse strategies in Russian.
RUSS 32215 ,"RUSSIAN PHONETICS AND DICTION
",RUSS,RUSS 22202.,None,"Study of the Russian sound system with special emphasis on pronunciation and intonation. Application of the
international phonetic alphabet to Russian."
RUSS 32231 ,"TRANSLATION PRACTICE:RUSSIAN
",RUSS,None,TRST 30230.,"Translation practice with Russian texts using principles and techniques learned in the lecture class. To be
taken concurrently with TRST 30230."
RUSS 32240 ,"CONVERSATION FOR BUSINESS AND SPECIAL PURPOSES:RUSSIAN
",RUSS,RUSS 32211.,None,"Introduction to the special vocabulary of business and other special subject areas; introduces the concept of
language for special purposes and emphasizes the use of special vocabulary in conversations in business and
other settings."
RUSS 32303 ,"MODERN WRITERS
",RUSS,RUSS 22202.,None,Reading and analysis of modern Russian plays and stories.
RUSS 32325 ,"RUSSIAN POETRY AND FOLKLORE
",RUSS,RUSS 32303.,None,Reading and analysis of major poems and introduction to folklore.
RUSS 32421 ,"RUSSIAN CIVILIZATION
",RUSS,RUSS 32303.,None,A survey of Russian history and intellectual life.
RUSS 32501 ,"RUSSIAN LITERATURE IN ENGLISH
",RUSS,"Sophomorestanding. 
",None,"This course is designed as a survey of major authors, movements and works of nineteenth and twentieth
century Russian literature in English translation. No knowledge of Russian required."
RUSS 42093 ,"VARIABLE TITLE WORKSHOP IN RUSSIAN LANGUAGE AND LITERATURE
",RUSS,Departmental special approval.,None,"(Repeatable for credit)Workshops individually designed to provide instruction and training in specific areas of
Russian studies."
RUSS 42095 ,"SPECIAL TOPICS IN RUSSIAN LANGUAGE AND LITERATURES
",RUSS,"Seniorstanding. 
",None,(Repeatable for credit when topic varies)Topic to be announced in schedule of classes.
RUSS 42096 ,"INDIVIDUAL INVESTIGATION
",RUSS,"6hours of upper-division Russian (RUSS) courses and special approval of the department chairperson. 
",None,(Repeatable for credit)Independent investigation of problems in Russian language or literature.
