Course Number,Course Name,Department,Prerequisites,Corequesites,Description
SPSY 60093 ,"VARIABLE TITLE WORKSHOP IN SCHOOL PSYCHOLOGY
",SPSY,Grading standing and special approval.,None,(Repeatable for credit)
SPSY 60094 ,"COLLEGE TEACHING
",SPSY,Graduate standing.,None,"(Repeatable for credit) (Cross-listed with EPSY 70094 and SPED 70094 and SPSY 70094) Discusses major
aspects of teaching in higher education, including such topics as students philosophy of teaching, principles of
adult learning, instructional strategies, students assessment and others."
SPSY 60162 ,"DEVELOPMENTAL ASSESSMENT
",SPSY,Graduate standing.,None,"Reviews the educational, family and regulatory forces that influence success at each significant transition for
preschool, kindergarten and primary grade children. 24 clinical/field hours."
SPSY 60165 ,"PRINCIPLES OF SOCIAL LEARNING
",SPSY,"Graduatestanding. 
",None,"The main focus is to provide students with an understanding of behavioral and social learning principles within
the context of the school psychologist's professional practice. 19 clinical/field hours."
SPSY 60191 ,"SEMINAR:SCHOOL PSYCHOLOGY
",SPSY,"Graduate standing andspecial approval. 
",None,(Repeatable for credit)Seminar in school psychology. Varied topics.
SPSY 67592 ,"FIELD EXPERIENCE IN EDUCATION FOR SCHOOL PSYCHOLOGISTS
",SPSY,graduate standing and school psychology (SPSY) major.,None,"This field experience provides students with the opportunity to observe various school and educational settings
that reflect the typical work scope for school psychologists. Required for those students in school psychology
who do not have teaching certificates and have not spent extensive time in public schools. Students are
required to complete Bureau of Criminal Investigation and Identification (BCII) and Federal Bureau of
Investigation (FBI) background checks and submit the results to authorized personnel at their assigned
""school-agency"" before the first day of the semester in which student teaching internship will take place."
SPSY 67692 ,"PRACTICUM I IN SCHOOL PSYCHOLOGY
",SPSY,"Graduate standing andschool psychology (SPSY) major. 
",None,"(Repeatable for credit) (Cross-listed with SPSY 77692) This course provides students with experience, support,
and opportunities for reflection related to the foundational domains of the practice of school psychology and
ongoing professional development. Students are required to complete Bureau of Criminal Investigation and
Identification (BCII) and Federal Bureau of Investigation (FBI) background checks and submit the results to
authorized personnel prior to the beginning of any field-based activities."
SPSY 67792 ,"PRACTICUM II IN SCHOOL PSYCHOLOGY
",SPSY,"SPSY 67692 or SPSY 77692 and graduate standing; and school psychology (SPSY)major. 
",None,"(Repeatable for credit) (Cross-listed with SPSY 77792) Provides students with applied experience and
professional development related to foundational domains of school psychology practice. Students are required
to complete Bureau of Criminal Investigation and Identification (BCII) and Federal Bureau of Investigation
(FBI) background checks and submit the results to authorized personnel prior to beginning any field-based
activities."
SPSY 67892 ,"ADVANCED PRACTICUM IN SCHOOL PSYCHOLOGY
",SPSY,"SPSY 67792; and special approval; and graduate standing; and schoolpsychology (SPSY) major. 
",None,"(Repeatable for credit) (Cross-listed with SPSY 77892) Provides students with advanced applied experience in
educational, mental health, or behavioral health settings. 60 clock hours per credit hour. Students are
required to complete Bureau of Criminal Investigation and Identification (BCII) and Federal Bureau of
Investigation (FBI) background checks and submit the results to authorized personnel prior to beginning any
field-based activities."
SPSY 67912 ,"ROLE OF THE SCHOOL PSYCHOLOGIST
",SPSY,Graduate standing.,None,"Study of role and functions of school psychologists in American education. Includes history of school
psychology and future orientation. Five clinical/field hours."
