Course Number,Course Name,Department,Prerequisites,Corequesites,Description
THEA 11000 ,"THE ART OF THE THEATRE
",THEA,None.,None,"Using the life-centered nature of theatre as a medium of analysis, this course is designed to develop critically
engaged audience members who are aware of the impact, significance and historical relevance of the
interconnection between culture and theatre performance."
THEA 11100 ,"MAKING THEATRE: CULTURE AND PRACTICE
",THEA,special approval.,None,"Overview of theatre practices through creative experiential learning. The focus and course content combines
practical and cultural experiences and culminates with a performance event that provides a solid foundation in
the artistic process and an identity for the first-year theatre student."
THEA 11303 ,"THE ART OF ACTING
",THEA,Special approval.,None,"General introduction to acting: the actor's instrument, sensory awareness, personal and group response,
objectives and tactics. Basic scene work."
THEA 11521 ,"GRAPHICS FOR THE THEATRE
",THEA,special approval.,None,"An introduction to computer software currently used by professional theatre designers and technicians. These
applications include image processing software, computer-aided design software and 3D visualization software."
THEA 11722 ,"FUNDAMENTALS OF PRODUCTION I: SCENERY, STAGECRAFT AND SOUND
",THEA,special approval.,None,"An introduction to professional theatre production principles and practices in the areas of scenery, stagecraft
and sound."
THEA 11723 ,"FUNDAMENTALS OF PRODUCTION LABORATORY I: SCENERY
",THEA,special approval. ,THEA 11722.,Practice in theatre production techniques in the area of scenery.
THEA 11724 ,"FUNDAMENTALS OF PRODUCTION LABORATORY II: PROPS AND SCENIC ART
",THEA,specialapproval. ,THEA 11722.,Practice in theatre production techniques in the area of properties and scenic art.
THEA 11732 ,"FUNDAMENTALS OF PRODUCTION II: COSTUMES, LIGHTING AND PROJECTIONS
",THEA,special approval.,None,"An introduction to professional theatre production principles and practices in the areas of costumes, lighting
and projections."
THEA 11733 ,"FUNDAMENTALS OF PRODUCTION LABORATORY III: COSTUMES
",THEA,uisiste: special approval. ,THEA 11732.,Practice in theatre production techniques in the area of costumes.
THEA 11734 ,"FUNDAMENTALS OF PRODUCTION LABORATORY IV: LIGHTING, SOUND AND
",THEA,specialapproval. ,THEA 11732.,"PROJECTIONS
Practice in theatre production techniques in the area of lighting, sound and projections."
THEA 13092 ,"BACHELOR OF FINE ARTS FRESHMAN PRACTICUM: DESIGN AND TECHNOLOGY
",THEA,"special approval; and Bachelor of Fine Arts in Theatre Studies (THEA) major with aconcentration in Design and Technology (DT). 
",None,"(Repeatable for credit) Practical experience at the freshman level in theatre and dance production. S/U
Grading."
THEA 20202 ,"MUSIC THEORY FOR MUSICAL THEATRE I
",THEA,special approval.,None,"Study the basic principles and applications of music theory as it may apply to the work of a professional
singing actor. It will begin by gaining a thorough understanding of the rudiments of music and progress to
studying the objective and subjective aspects of music and its structure, principally pertaining to the world of
musical theatre. The course is intended to establish fundamental concepts to be further explored in Music
Theory for Theatre II."
