Course Number,Course Name,Department,Prerequisites,Corequesites,Description
CADT 21092 ,"ANIMATION AND GAME DESIGN PRACTICUM
",CADT,none.,None,(Repeatable for a maximum of 6 credit hours) Supervised work experience. One credit hour for 50 work hours.
CADT 22000 ,"ADVANCED CAD
",CADT,IERT 12005.,None,"The use of advanced concepts and techniques of computer-aided drafting and design and related productivity
 improvement tools for two-and three-dimensional drawings."
CADT 22001 ,"CAD:ARCHITECTURE
",CADT,IERT 12005.,None,"Comprehensive study of the use of a popular computer-aided drafting package for architectural design,
 including systems management methods and project planning concept."
CADT 22002 ,"CAD:CIVIL APPLICATIONS
",CADT,None.,None,A course on the use of computer-aided drafting and design for civil engineering applications.
CADT 22003 ,"SOLID MODELING
",CADT,none.,None,"struction given in the best usage approaches for parametric design philosophy through a hands-on, practice-
intensive curriculum. Students acquire the knowledge needed to complete the process of designing models
from
 conceptual sketching, through to solid modeling, assembly design and drawing production."
CADT 22004 ,"COMPUTER ANIMATION AND GAMING
",CADT,CADT 22007 and CADT 22008.,None,"3D modeling and computerized techniques. Introduction to the basic concepts, terminology and techniques of
 3D modeling, lighting, shading, imaging and animation."
CADT 22005 ,"MULTIMEDIA AND GAME DESIGN
",CADT,none.,None,"Covers the creation of interactive multimedia presentations. Development
of flowcharts, roughs and interactive
 navigation systems. Integration of images, animation, video, sound and custom code for the creation of an
 interactive multimedia presentation."
CADT 22007 ,"3-D MODELING PROJECT
",CADT,CADT 22005.,None,A guided project course in 3-D modeling for computer animation and game design.
CADT 22008 ,"PROJECT IN TEXTURE AND MATERIAL CREATION
",CADT,CADT 22007.,None,A guided project course in texture and material creation for computer animation and game design.
CADT 22009 ,"APPLIED ENGINEERING SOFTWARE
",CADT,none.,None,"A course on the use of the computer as a problem solving tool for applications in engineering and
 manufacturing. Emphasis is on the use of
productivity software training on the use of the software applicable to
 engineering problems using hands-on workshop formats."
CADT 22095 ,"SPECIAL TOPICS IN COMPUTER ANIMATION AND GAME DESIGN TECHNOLOGY
",CADT,none.,None,(Repeatable for credit) Special topics in Computer Animation and game design. Repeated registration permitted.
