Course Number,Course Name,Department,Prerequisites,Corequesites,Description
CCS 00005 ,"COLLEGE ORIENTATION
",CCS,"Career andCommunity Studies (CCS) major; and special approval.
",None,"This course introduces students to the expectations and responsibilities
of being a college student. Students will
 be provided with valuable information of the resources and activities available at Kent State. Students will
 explore personal values, skills, abilities, and beliefs, and learn how to set academic goals that will guide them
 throughout their college experience. Satisfactory/unsatisfactory (S/U) graded."
CCS 00010 ,"PERSONAL EXPLORATION I: NUTRITION AND PHYSCIAL FITNESS
",CCS,Career and Community Studies (CCS) major.,None,"This course focuses on the importance of nutrition and physical exercise
in order to take care of and to improve
 upon one’s personal health needs."
CCS 00015 ,"ACADEMIC EXPERIENCE I: DISABILITY AWARENESS
",CCS,Career and Community Studies (CCS) major.,None,"This course promotes development of self-awareness through identifying personal strengths and needs, and
 self-advocacy skills through various methods of communication. Students will learn of their rights,
responsibilities, and of the disabilities laws that help them to advocate for necessary supports."
CCS 00020 ,"TECHNOLOGY LABORATORY I
",CCS,Career and Community Studies (CCS) major.,None,"This course is an introduction to the uses of Flashline, BlackBoard Learn, and Microsoft Word to enhance
 student academic performance."
CCS 00025 ,"FINANCIAL LITERACY I
",CCS,Career and Community Studies (CCS) major.,None,"This introductory course will provide the student with an opportunity to
develop attitudes and skills to achieve
 personal financial wellness and
satisfaction. Topics include setting up a budget, identifying where one
might
 save money in daily living, calculating wages and understanding federal, state, and local taxes."
CCS 00030 ,"PHYSICAL EDUCATION I
",CCS,Career and Community Studies (CCS) major.,None,"Students will participate in a sport or physical fitness activity in order to learn more about the topic of interest
 and to increase personal
health. Students will practice appropriate personal and social skills, and demonstrate
 abilities to manage course responsibilities."
CCS 00035 ,"HEALTH AND WELLNESS I: PERSONAL SOCIAL SKILLS
",CCS,Career and Community Studies (CCS) major.,None,"Effective communication enhances personal, family, and community health.
Select personal and social skills are
 presented in order to improve the
health of the student. The student will participate in activities that allow them
 to practice and perform skills both in and outside of the classroom. The student creates a portfolio of course
 assignments for evaluation."
CCS 00105 ,"INTRODUCTION TO CAREER EXPLORATION
",CCS,"Career and Community Studies (CCS)major.
",None,"Students begin the exploration process that helps them to become aware of their specific abilities, interests,
 and needs, and how these relate to their future life work."
CCS 00110 ,"PERSONAL EXPLORATION II: INDEPENDENT LIVING AND LEISURE EDUCATION
",CCS,Career and Community Studies (CCS) major.,None,"This course focuses on two different but related topics. The first half of the semester is designed to provide
 college students with the opportunity to explore and develop personal leisure values, and expand their leisure
 interests. During the second half of the semester, students will practice various independent living skills in order
 to become more responsible adults."
CCS 00115 ,"ACADEMIC EXPERIENCE II: SELF-DETERMINATION
",CCS,"Career and Community Studies (CCS)major.
",None,"This course will provide students with opportunities to recognize and develop skills that can help them to
 increase success in all areas of their lives. Persons who are more self-determined often experience academic,
 employment, community living and personal satisfaction."
