Course Number,Course Name,Department,Prerequisites,Corequesites,Description
MATH 00020 ,"PRE-ALGEBRA
",MATH,ALEKS math single assessment score of 0-9.,None,"Properties of whole numbers, fractions, decimals, percents, signed numbers and order of operations. Mental
 math and elementary algebraic thinking skills are emphasized and use of calculators is not allowed. Course does
 not count toward graduation."
MATH 00021 ,"BASIC ALGEBRA I
",MATH,None,None,"Includes operations on integers, fractions, decimals and percents, properties of real numbers. Introduction to
 variables, first degree equations and problem-solving with formulas. Equations and inequalities in one variable,
 linear equations, rate of change and slope, graphing in
the cartesian plane. Course does not count toward
 graduation. Pre/corequisite: minimum C (2.000) in MATH 00020;or ALEKS math assessment minimum score of
 10."
MATH 00022 ,"BASIC ALGEBRA II
",MATH,"minimum C (2.000) gradein MATH 00021; or ALEKS math assessment
 minimum score of 25.
",None,"Introduction to functions, systems of linear equations, exponents, polynomial operations, scientific notation.
 Factoring polynomials, solving quadratics by factoring, radicals and rational exponents. Course
does not count
 toward graduation."
MATH 00023 ,"BASIC ALGEBRA III
",MATH,"minimum C grade in MATH 00006 orMATH 00022; or minimum 35 ALEKS math assessment score.
",None,"Zeros of functions, rational expressions and equations, problem-solving with rational expressions, intermediate
 factoring techniques. Quadratics: functions, graphs, equations, inequalities, ""quadratic type""
equations and
 problem-solving. Course does not count toward graduation."
MATH 00024 ,"BASIC ALGEBRA IV
",MATH,"minimum C (2.000) grade in MATH 00023; or ALEKS math assessment minimumscore of 45.
",None,"Advanced factoring techniques, rational functions, radical equations, absolute value equations and inequalities.
 Exponential and logarithmic functions: introduction, graphing, problem-solving. Course does not count toward
 graduation."
MATH 10041 ,"INTRODUCTORY STATISTICS
",MATH,"Minimum 22 math ACT score; or minimum 520math SAT score; or minimum 35 ALEKS math assessment score; or minimum C grade in MATH 00022; or any
 higher-level MATH course.
",None,"An introduction to statistical thinking and statistical methods. Emphasis is on statistical literacy, conceptual
 understanding and active
learning in the classroom."
MATH 10771 ,"BASIC MATHEMATICAL CONCEPTS I PLUS
",MATH,"Minimum 22 ACT mathematics sub score; or minimum 520 SAT mathematics subscore; or
 minimum ALEKS math placement assessment score of 35; or MATH 00022 with a minimum grade of C (2.000).
",None,"Development of the real number system and its sub-systems, open sentences, numeration systems, modular
 arithmetic and some number theory
concepts. Additional concepts covered: place value, logic, sets, algebra
 concepts, and problem solving. Students cannot earn credit toward a degree for both this course and MATH
 14001."
MATH 10772 ,"MODELING ALGEBRA PLUS
",MATH,"Minimum 22ACT mathematics
 sub score; or minimum 520 SAT mathematics sub score; or
minimum ALEKS math placement assessment score
 of 35; or a minimum grade
of C (2.000) in MATH 00022.
",None,"Study of algebra arising in the context of real-world applications, including linear, polynomial, exponential and
 logarithmic models. Includes a review of factoring and functions. Intended for students not planning to take
 calculus. No credit earned for this course if student already earned credit for MATH 11010. Students cannot
 earn credit toward
a degree for both this course and MATH 11009."
MATH 10773 ,"ALGEBRA FOR CALCULUS STRETCH I
",MATH,"Minimum 22 ACT mathematics sub score; or minimum 520 SATmathematics sub score; or minimum ALEKS math placement assessment score of 35; or MATH 00022 with a
 minimum grade of C (2.000).
",None,"Study of functions in general, factoring, negative and rational exponents; polynomial functions, including
 quadratic functions; and sequences and series. No credit earned for this course if a student already earned
 credit for MATH 12001. Students cannot earn credit toward
a degree for both this course and either MATH
 11010 or MATH 10775."
MATH 10774 ,"ALGEBRA FOR CALCULUS STRETCH II
",MATH,MATH 10773 with a minimum grade of C (2.000).,None,"Continuation of Math 10773. Study of rational expressions and functions,
exponential and logarithmic functions,
 and conic sections. No credit earned for this course if student already earned credit for MATH 11011 or MATH
 12001. Students cannot earn credit toward a degree for both this
course and either MATH 11010 or MATH
 10775."
