Course Number,Course Name,Department,Prerequisites,Corequesites,Description
PH 10000 ,"EXPLORING CAREERS IN PUBLIC HEALTH
",PH,none.,None,"Provides an overview of the diverse career opportunities available in the field. Explores various public health
issues from the perspectives of public health professionals from the core disciplines in public health: social
 behavioral sciences, environmental health, health policy and management, epidemiology and biostatistics.
 Students learn about how
public health professionals approach issues and the types of professional roles and
 activities they bring to addressing each issue."
PH 10001 ,"INTRODUCTION TO PUBLIC HEALTH
",PH,none.,None,"An overview of the evolution and practices of the dynamic field of public health in the United States and
 globally. Students are introduced
to the structure and functions of public health organizations and public health
 practice."
PH 10002 ,"INTRODUCTION TO GLOBAL HEALTH
",PH,none.,None,"An overview of the biological, social and environmental contributors to health and diseases in populations
 around the world, including case studies of selected infectious diseases, nutritional deficiencies and health
 effects of environmental change."
PH 10195 ,"SPECIAL TOPICS IN PUBLIC HEALTH
",PH,none.,None,(Repeatable for credit) Subject varies depending on the emerging issue.
PH 20000 ,"PUBLIC HEALTH PROFESSIONAL PRACTICE I
",PH,sophomore standing.,None,"Professional development course designed to expose future public health leaders to the diverse field of public
 health and develop attainable career goals. Student will begin the development of personal goals and a
portfolio
 of work that will build during the entire program. The understanding of public health as a profession will be
fostered."
PH 20001 ,"ESSENTIALS OF EPIDEMIOLOGY
",PH,none.,None,"Students are introduced to the strategies adopted by public health professionals to study distribution and
 identification of important biologic, social and environmental determinants of diseases and health-related states
 in specific populations."
PH 20010 ,"INTRODUCTION TO PUBLIC HEALTH INFORMATICS
",PH,none.,None,"Provides an overview of informatics principles applied in public health settings. Issues addressed include
 definitions, approaches, competencies, applications and the national health information network. Topical areas
 are digital literacy, electronic communication, system development, information use, project management,
 procurement, accountability, research, data standards, databases, human resource management, and
 confidentiality and security."
PH 20015 ,"ZOMBIE OUTBREAK
",PH,none.,None,"Teaches the basic survival skills necessary to protect you, your family,
and the public from a variety of natural
 and manmade “apocalypses”. Students apply the basics of emergency Public
Health management to a zombie
 outbreak."
PH 20195 ,"SPECIAL TOPICS IN PUBLIC HEALTH
",PH,none.,None,(Repeatable for credit) Subject varies depending on the emerging issue.
PH 30000 ,"PUBLIC HEALTH PROFESSIONAL PRACTICE II
",PH,"PH 20000;and junior standing.
",None,"Professional development course designed to further prepare future public health leaders to the diverse field of
 public health. The career portfolio will be further developed. Career goals will be re-evaluated and the strategies
 for goal attainment reassessed. The understanding of public health as a profession will be further developed.
 Graduate or professional education as an option will be discussed in greater detail."
PH 30002 ,"INTRODUCTORY BIOSTATISTICS
",PH,"MATH 11008 or 11009 or 11010 or 11012 or 12002 or 12011 or 12012 or 14001 or 14002 or CS 10051 or PHIL21002.
",None,"An introduction to statistical methodology in the field of public health. Students learn the statistical skills to read
 scientific articles, understand the statistical methods used and interpret the results on their own."
PH 30004 ,"PUBLIC HEALTH RESEARCH
",PH,"PH 30002;and ENG 21011 or HONR 10297.
",None,"Approaches involved in defining public health problems and steps involved in conducting research about these
 problems. Students are introduced to how to evaluate published public health research."
PH 30005 ,"SOCIAL AND BEHAVIORAL SCIENCE THEORIES IN PUBLIC HEALTH
",PH,none.,None,"An overview of the contributions of the social and behavioral sciences to human health behavior, including
 application of studies in the area of health promotion, health protection and disease prevention in public health."
PH 30006 ,"INTRODUCTION TO ENVIRONMENTAL HEALTH AND SAFETY
",PH,none.,None,"Introduction: the environment at risk; environmental epidemiology, environmental toxicology, environmental
 policy and regulation, watershed
management, safe drinking water, wastewater management, vector-born and
 zoonotic disease, air quality, solid and hazardous waste, food protection, radiation safety and injury prevention,
 occupational health and safety, total worker health, the built environment."
PH 30007 ,"PREVENTION AND CONTROL OF DISEASES
",PH,none.,None,"Provides an overview of concepts involved in biological mechanisms of disease at cell, individual and community
 levels, provides insight into strategies used in preventing and controlling diseases at the population
and/or
 community level within this framework."
PH 30009 ,"ENVIRONMENTAL HEALTH AND SAFETY REGULATIONS AND POLICY
",PH,PH 30006.,None,"Develops a framework for understanding the regulatory structure of environmental and occupational health and
 safety regulations and policy in the U.S. Federal, state, and local levels of government are reviewed as well as
 major agencies and regulations."
PH 30012 ,"COMMUNICABLE DISEASES
",PH,PH 20001 and 30007.,None,"A survey of communicable diseases of global public health significance, including the epidemiology and forensics
 associated with disease transmission, vaccination strategies and practices, and human responses to infectious
 disease. Students are introduced to infectious disease pathogens and the practices and procedures for their
 surveillance, handling and control."
PH 30014 ,"STRATEGIES FOR PREVENTION IN PUBLIC HEALTH
",PH,"PH30007
",None,"Provides a review of population strategies for health promotion and disease prevention from a social-ecological
 perspective, highlighting the importance of evidence-based, equitable, and ethical approaches."
PH 30015 ,"UNITED STATES HEALTH CARE SYSTEM
",PH,none.,None,"Provides an overview of the U.S. healthcare delivery system, including operations, stakeholders and the role of
 government with a particular emphasis on public health’s role in health care. Students gain an understanding of
 inpatient and outpatient services, the various roles of
healthcare professionals, private and public financing and
 the impact of managed care. The primary focus is the public health system."
PH 30033 ,"PUBLIC HEALTH POLICY AND DECISION-MAKING
",PH,none.,None,"An introductory survey of the formulation to implementation of public health policies for various public health
 issues, and the use of practical administrative tools such as strategic planning, use of economic evaluation tools
 and decision analysis."
PH 30040 ,"PUBLIC HEALTH LABORATORY SAFETY, SECURITY AND EMERGENCY PREPAREDNESS
",PH,PH 30006 and 30012.,None,"Safe operations within the public health laboratory require specific knowledge and skills sets. Upon completion
 of this course, the student will (1) understand the public health laboratory infrastructure; (2) work safely and
 responsibly with equipment and reagents to investigate laboratory-based public health problems; (3) define the
 laws, policies and guidance documents related to public health laboratory activities; and (4) respond to
 simulated laboratory safety and security emergencies."
PH 30101 ,"SOLID AND HAZARDOUS WASTE MANAGEMENT
",PH,PH 30006.,None,"Solid and hazardous waste programs and practices are explored. Pollution
prevention, safety, sanitation
 practices, sustainability concepts, management, and regulations pertinent to solid and hazardous waste such as
 RCRA, are discussed and studied. Consumption, garbage handling, landfill design and disposal, sustainability
 concepts, reuse, recycling,
composting and other waste strategies are presented. Hazardous waste and
 materials issues in the environment are introduced; such as HW disposal, TSD Facilities, underground storage
 tanks, “Superfund”, brownfields and related issues."
PH 30102 ,"AIR QUALITY AND POLLUTION CONTROL
",PH,PH 30006.,None,"Basic survey of air pollution and its control. The respiratory system and the bodies response to air pollutants of
 different types is reviewed
and related illnesses such as asthma are studied. The Clean Air Act, NESHAPS and
 related regulations are surveyed. Ambient air quality standards, the effect of climate and other air pollution
 concepts are reviewed. Measurement and control methods for both particulate and gaseous contaminants are
 surveyed."
