Course Number,Course Name,Department,Prerequisites,Corequesites,Description
SPA 10002 ,"INTRODUCTION TO COMMUNICATION DISORDERS AND DIFFERENCES
",SPA,none.,None,"An introduction to communication disorders and differences using a) case
studies via film and video review and
 critique, b) lecture, and c) class discussions. Covers speech, language, swallowing and hearing disorders and
 cultural and linguistic differences in communication."
SPA 33101 ,"HEARING SCIENCE
",SPA,"admittance into theSPA Professional Phase (minimum 3.000 cumulative GPA at 60 credits).
",None,"Acoustics, psychoacoustics, bioacoustics, anatomy and physiology of the ear."
SPA 34102 ,"APPLIED PHONETICS
",SPA,None.,None,"Basic principles of speech production and phonetic transcriptions of English with the international phonetic
alphabet; emphasis on general American dialect."
SPA 34103 ,"ANATOMY AND PHYSIOLOGY OF SPEECH
",SPA,"admittance intothe SPA
 Professional Phase (minimum 3.000 cumulative GPA at 60 credits).
",None,"Functional anatomy and physiology of the respiratory, phonatory, articulatory and neural systems as they are
 used in speech production by
talkers with normal and abnormal speech."
SPA 34104 ,"SPEECH AND LANGUAGE ACQUISITION
",SPA,"SPA 34102 or ENG 31001; and admittance into the SPA ProfessionalPhase (minimum 3.000 cumulative GPA at 60 hours).
",None,"Normal development and linguistic analysis of language systems including
phonology, morphology, syntax,
 semantics, and pragmatics."
SPA 34105 ,"PHONEMIC BASES OF SPEECH AND LANGUAGE
",SPA,None.,None,"Fundamental processes related to production and perception of spoken language,with parallels to writing and
 reading particular application to
normal and hearing impaired children and adolescents. For nonmajors only."
SPA 34106 ,"ARTICULATORY AND PHONOLOGICAL DISORDERS
",SPA,"SPA 34102 and SPA34104; and admittance into the SPA Professional Phase (minimum 3.000 cumulative GPA at 60 credits).
",None,Assessment and remediation of disorders of articulation and phonology.
SPA 34107 ,"LANGUAGE DISORDERS IN CHILDREN AND ADOLESCENTS
",SPA,"SPA 34104;and admittance into the SPA Professional Phase (minimum 3.000
cumulative GPA at 60 credits).
",None,"Introduction to assessment and intervention procedures associated with language disorders in children and
 adolescents."
SPA 34210 ,"SPEECH AND LANGUAGE DEVELOPMENT
",SPA,none.,None,"Normal development and linguistic analysis of language systems including
phonology, morphology, syntax,
 semantics, and pragmatics. This course is for non-SPA majors."
SPA 43402 ,"AUDIOMETRY
",SPA,"SPA 33101 with minimum C (2.000) grade and special approval; and admittance into the SPAProfessional Phase (minimum 3.000 cumulative GPA at 60 credits).
",None,"Measurement of human hearing by pure-tone and speech audiometry; evaluation of middle ear function by
 immittance audiometry; screening techniques; pathologies of the conductive and sensorineural systems."
SPA 43403 ,"CLINICAL PREPARATION IN AUDIOLOGY
",SPA,special approval and admittance into the SPA Professional Phase(minimum 3.000 cumulative GPA at 60 hours). ,SPA 43402.,"Exercises and practical experiences in audiometric procedures, test interpretation, counseling and management
 of the hearing impaired."
SPA 43404 ,"AURAL REHABILITATION
",SPA,"SPA 33101 and 34102 and 43402 (Speech Pathology andAudiology majors) or 43600 (Education of Hearing Impaired majors); and admittance into the SPA Professional
 Phase (minimum 3.000 cumulative GPA
at 60 credits).
",None,"Basic principles,variables and techniques for understanding, evaluating and improving receptive communication
 of hearing impaired individuals."
SPA 43600 ,"FUNDAMENTALS OF EDUCATIONAL AUDIOLOGY
",SPA,Junior standing.,None,"Auditory development and function/dysfunction; auditory assessment and family counseling; selection and
 fitting of personal and classroom amplification; care and maintenance of amplification systems; collaboration of
 professionals in audiology and education; communication
approaches according to varying levels of hearing
 loss; classroom environments conducive to auditory and academic learning."
SPA 44096 ,"INDEPENDENT STUDY:SPEECH PATHOLOGY AND AUDIOLOGY
",SPA,"Senior standing and speech pathology andaudiology (SPA) major and special approval.
",None,"(Repeatable for credit)Readings and/or research on problems approved by chairman of department in
 consultation with student's adviser and project director."
SPA 44110 ,"SPEECH SCIENCE
",SPA,"SPA 34102 and SPA 34106; and admittanceinto the
 SPA Professional Phase (minimum 3.000 cumulative GPA at 60 credits).
",None,"Consideration of physiological and acoustic characteristics of normal speech production and perception with
 implications for speech and hearing disorders."
