Course Number,Course Name,Department,Prerequisites,Corequesites,Description
ACCT 23020 ,"INTRODUCTION TO FINANCIAL ACCOUNTING
",ACCT,none.,None,"(Equivalent to ACTT 11000) Introduction to the basic concepts and standards underlying financial accounting.
Topics to be covered include revenue recognition, receivables, inventory, long-lived assets, liabilities and
stockholders' equity. The impact of transactions on the accounting equation and financial statements (balance
sheet, income statement, and cash flows) is emphasized."
ACCT 23021 ,"INTRODUCTION TO MANAGERIAL ACCOUNTING
",ACCT,ACCT 23020 or ACTT 11000.,None,"(Equivalent to ACTT 11001) Introduction to managerial accounting concepts and tools that can be used to
support decision-making in organizations. Includes coverage of cost systems, cost behavior, cost-volume-profit
analysis, relevant costs, and budgets."
ACCT 33000 ,"FUNDAMENTAL TAX PROCEDURES
",ACCT,"Cumulative 2.500 GPA; and ACCT 23020 or ACTT 11000; and ACCT 23021 or ACTT 11001; not open toaccounting (ACCT) majors. 
",None,Nontechnical presentation of federal income tax laws and regulations as they relate to individuals.
ACCT 33001 ,"CORPORATE ACCOUNTING I
",ACCT,"cumulative 2.500 GPA; and minimum B- (2.700) grade in ACCT 23021 or ACTT 11001 and ACCT 23020 or ACTT11000; and minimum C (2.000) in ENG 21011, COMM 15000 and MATH 11010; and MATH 11012 or MATH
12002 and accounting (ACCT) major or minor. 
",None,"Review of the accounting cycle; financial statement preparation, accounting for sales, receivables, inventory,
current liabilities and long-term assets. Professional accounting research skills are emphasized."
ACCT 33004 ,"INTRODUCTION TO ACCOUNTING SYSTEMS
",ACCT,"cumulative 2.500 GPA; and MIS 24053; and MATH 11012or MATH 12002; and a minimum B- (2.700) grade in ACCT 23021 or ACTT 11001 and ACCT 23020 or ACTT
11000; and minimum C (2.000) in ENG 21011, COMM 15000 and MATH 11010; and accounting (ACCT) major or
minor. 
",None,"Overview of accounting information systems with emphasis on internal controls. The course explores how the
integrity and efficiency of business process are supported by information systems. Interpersonal skills and
computer applications are emphasized."
ACCT 33010 ,"COST ACCOUNTING
",ACCT,"cumulative 2.500 GPA;and accounting (ACCT) major or minor; and ACCT 33001 and ACCT 33004 both with a minimum grade of C
(2.000). 
",None,"Cost accounting for manufacturing and service organizations including cost determination, cost analysis, costing
systems, cost-volume-profit analysis, budgeting, cost allocation, activity-based costing, capital investment, and
performance measurement. Computer application skills are emphasized."
ACCT 33012 ,"CORPORATE ACCOUNTING II
",ACCT,"cumulative 2.500 GPA; and accounting(ACCT) major and minor; and ACCT 33001 and ACCT 33004 both with a minimum grade of C (2.000). 
",None,"Accounting for long-term liabilities, debt and equity investments, leases, pensions and other post-retirement
benefits, income tax allocation, owners' equity, and statement of cash flows. Professional accounting research
skills and written communication skills are emphasized."
ACCT 33061 ,"FINANCIAL REPORTING ISSUES AND ANALYSIS
",ACCT,"cumulative 2.500GPA; and ACCT 23021 or ACTT 11001; not open to accounting (ACCT) majors. 
",None,"Financial analysis and interpretation of issues relative to the balance sheet, income statement and cash flow
statement. Topics include assets, liabilities, owner's equity, intercorporate investments, revenue and expense
recognition, and ratio analysis. Cannot be counted towards accounting major."
ACCT 33063 ,"COST CONTROL AND ANALYSIS FOR MANAGEMENT
",ACCT,"cumulative 2.500 GPA; and ACCT 23021 or ACTT 11001; notopen to accounting (ACCT) majors. 
",None,"An in-depth study of cost accounting, focusing on the use of cost accounting information in planning, control,
and decision-making. Topics include cost terminology, costing systems, cost-volume-profit analysis, budgeting,
cost allocation, activity-based costing, variance analysis, ethics, and performance measurement. Cannot be
counted towards accounting major."
ACCT 43010 ,"PRINCIPLES OF AUDITING AND CONTROL
",ACCT,"cumulative 2.500 GPA; and senior standing; and accounting (ACCT) major; and ACCT 33010 and ACCT 33012both with a minimum grade of C (2.000). 
",None,"Integration of conceptual and practical aspects of auditing, importance of strong internal controls is stressed.
Ethical decision making, written and verbal communication and interpersonal skills are emphasized."
ACCT 43013 ,"ADVANCED MANAGEMENT ACCOUNTING
",ACCT,"cumulative 2.500 GPA; and seniorstanding; and accounting (ACCT) major; and ACCT 33010 and ACCT 33012 both with a minimum grade of C
(2.000). 
",None,"(Slashed with ACCT 53013) Advanced contemporary topics relating to the use of accounting information in
managerial decision-making. Topical coverage varies from budgeting, cost behavior, corporate governance,
executive compensation, tax strategies to sticky costs. Accounting research, verbal and written communication,
ethical decision-making, and analytical skills are emphasized."
