Course Number,Course Name,Department,Prerequisites,Corequesites,Description
BMS 40196 ,"INDIVIDUAL INVESTIGATION IN BIOMEDICAL SCIENCES
",BMS,"A minimum overall grade point average of 2.750; and departmental and faculty mentor approvalsrequired. 
",None,"(May be repeated for up to 6 credit hours) Research study under the direction of a BMS faculty mentor.Students
majoring in biology (BSCI), biotechnology (BTEC), chemistry (CHEM), integrated life sciences (ILS) and physics
(PHY) majors are eligible to enroll in this course, but must have 18 credit hours in their major completed."
BMS 50701 ,"CLINICAL NEUROANATOMY
",BMS,Graduate standing; and special approval.,None,"(Slashed with BMS 70701; Cross-listed with PSYC 43001, PSYC 53001, and PSYC 73001) This course examines
the anatomical organization of the human brain, emphasizing functional aspects of various neural systems,
neuroimaging, and topics of clinical relevance. A conceptual understanding of central nervous system
organization and memorization of specific neural structures and pathways, as well as knowledge of the impact of
structure and systems dysfunction is required."
BMS 50702 ,"CURRENT TECHNIQUES IN BEHAVIORAL NEUROSCIENCE
",BMS,"Graduate standing; andspecial approval. 
",None,"(Slashed with BMS 70702; Cross-listed with PSYC 43002, PSYC 53002, and PSYC 73002) This course details
current and advanced techniques used in behavioral neuroscience research. Emphasis is placed on
understanding the theory behind each technique, and its use in understanding the neural mechanisms of
behavior. Detailed protocols for each technique will also be covered."
BMS 50703 ,"NEURAL MECHANISMS OF LEARNING AND MEMORY
",BMS,Graduate standing.,None,"(Slashed with BMS 70703; Cross-listed with PSYC 43003, PSYC 53003, and PSYC 73003) Examines the neural
and molecular mechanisms underlying learning and memory formation. Cellular mechanisms of learning,
including long-term potentiation and basic electrophysiology in invertebrate and mammalian preps are covered.
Transcriptional and post-translational modifications required for learning and memory formation, genomic
signaling and protein synthesis. The course covers structural changes of neurons associated with memory
formation, and the different behavioral methods for studying memory."
BMS 60120 ,"LABORATORY TECHNIQUES IN BIOMEDICAL SCIENCES
",BMS,Special approval and graduate standing.,None,"(Repeatable once for credit) Minimum of two laboratory rotations per semester by arrangement with individual
faculty members."
BMS 60196 ,"INDIVIDUAL INVESTIGATION
",BMS,"Special approval andgraduate standing. 
",None,"(Repeatable for a maximum of 6 credit hours) (Cross-listed with BMS 70196) Directed investigation under
supervision of faculty member in biomedical sciences and with prior approval."
BMS 60198 ,"RESEARCH
",BMS,Special approval of adviser and graduate standing.,None,"(Repeatable for credit)Research for master's level graduate students. Credits earned may be applied toward
degree requirements if department approves."
BMS 60199 ,"THESIS I
",BMS,Special approval of adviser and graduate standing.,None,"Thesis students must register for a minimum of 6 hours, 2 to 6 hours in a single semester distributed over
several semesters if desired."
BMS 60220 ,"HUMAN MICROSCOPIC ANATOMY
",BMS,BSCI 5/70517 or special approval of instructor. Graduate standing.,None,"(Cross-listed with BMS 70220) Morphological basis for normal and disturbed functions; structure-function
relationships in human microscopic anatomy. Lectures, special laboratory and learning techniques using human
tissues."
BMS 60251 ,"THEORY AND PRACTICE OF CLONING AND GENETIC ENGINEERING
",BMS,"BSCI 5/70158 andCHEM 5/70247 or BMS 6/70268. Graduate standing. 
",None,"(Cross-listed with BMS 70251) Recent advances in the development and understanding of genetic
engineering,genomic DNA organization and gene therapy will be discussed."
