Course Number,Course Name,Department,Prerequisites,Corequesites,Description
CMGT 10001 ,"INTRODUCTION TO CONSTRUCTION MANAGEMENT
",CMGT,none.,None,"Serves to introduce the basic terms, concepts, procedures and current trends in the construction industry."
CMGT 11044 ,"CONSTRUCTION SAFETY
",CMGT,none.,None,"The theories and principles of construction safety and health applied to real-world setting. Upon completion of
course materials and required attendance hours, students receive their OSHA 30 certification."
CMGT 11071 ,"CONSTRUCTION MATERIALS AND METHODS I
",CMGT,none.,None,"An introduction to principles of building construction including preparation for the structures and environmental
control sequences. Includes a more detailed and systematic look at wood light frame construction."
CMGT 21071 ,"CONSTRUCTION MATERIALS AND METHODS II
",CMGT,none.,None,"Ties together steel and concrete structural systems and the integration of building service systems with a focus
on the construction and detailing of building enclosure systems."
CMGT 22200 ,"CONSTRUCTION DOCUMENT READING
",CMGT,none.,None,"The reading and understanding of the drawings that are used to communicate information about commercial and
residential buildings."
CMGT 25000 ,"PRINCIPLES OF L.E.E.D.
",CMGT,none.,None,"Review LEED as it applies to the construction industry with a focus on preparation for the LEED Green Associate
exam."
CMGT 31015 ,"CONSTRUCTION TECHNOLOGY
",CMGT,none.,None,"This course provide basic concepts and practices of the construction industry, including estimating, materials,
tools, techniques and production of residential construction."
CMGT 31023 ,"CONSTRUCTION SURVEYING
",CMGT,CMGT 22200.,None,"The study of surveying including fieldwork using state of the art equipment and its relationship to the
construction documents."
CMGT 31033 ,"MECHANICAL SYSTEMS
",CMGT,none.,None,An overview of mechanical systems in commercial and residential buildings.
CMGT 31040 ,"ELECTRICAL SYSTEMS FOR CONSTRUCTION MANAGERS
",CMGT,none.,None,An overview of electrical systems in commercial and residential buildings.
CMGT 31044 ,"ADVANCED CONSTRUCTION SAFETY AND MANAGEMENT
",CMGT,CMGT 11044.,None,"This course will build on the Construction Safety course to enable the student to be able to properly manage the
construction safety techniques and practices learned in the OSHA 30 hour course. Further, this course will
provide the student with the opportunity to learn how to utilize management skills to lead and implement an
effective construction safety program."
CMGT 31045 ,"CONSTRUCTION RISK MANAGEMENT
",CMGT,none.,None,"This course provides an in-depth study of various risks associated with construction projects and how those risks
impact the construction industry. Topics of discussion include analytical and management techniques used to
identify, analyze and respond to risks. Students will review actual legal case studies and develop written opinion
papers."
CMGT 31046 ,"INTRODUCTION TO INSURANCE AND WORKER'S COMPENSATION
",CMGT,none.,None,"This course will introduce the students to construction related insurance products and worker's compensation
practices and policies. Further, students will understand the legal, management and costing implications
associated with each of these both prior to and during a construction project."
CMGT 32001 ,"PROPOSAL DEVELOPMENT AND ANALYSIS
",CMGT,"CMGT 10001 andspecial approval. 
",None,"(Repeatable twice for credit) Create and combine Project Management, Safety, and Quality Control plans and
prepare quantity takeoffs and schedule for a construction project, in the form of a construction proposal and
presentation. Further analysis will be done on general construction proposals."
