Course Number,Course Name,Department,Prerequisites,Corequesites,Description
DSCI 10010 ,"SOCIETY, CULTURE AND THE DIGITAL SCIENCES
",DSCI,none.,None,"A survey course intended to give a broad understanding of society, culture and the digital sciences. Students
understand not only the impact of digital sciences on culture and society, but also the impact of culture and
society on the development and adoption of digital sciences. Topics include relationship and identify formation
and maintenance, the relationship between digital science and race, gender, culture and globalization."
DSCI 10310 ,"MY STORY ON THE WEB
",DSCI,none.,None,"A first course in understanding the web's impact on our private and public lives. Introductory course that
enables students to establish a web presence and persona by the end of the semester. Through the storytelling
initiative and creating these sites, students investigate web site design, storytelling, multimedia, intellectual
property, ethical considerations and social media."
DSCI 10410 ,"INFORMATION ETHICS AND SOCIAL RESPONSIBILITY
",DSCI,none.,None,"Investigates ethical and social responsibility issues related to information technology including the application of
ethical theories to information technology; potential tensions between ethical and legal norms as well as those
between competing ethical values; professional codes of ethics; access and control of intellectual property;
issues of privacy including those raised by the US Patriot Act; network security and user protections (e.g.
viruses, protecting minors, cyberbullying); and the digital divide, outsourcing and green computing."
DSCI 13210 ,"DESIGN PROCESSES AND PRINCIPLES
",DSCI,none.,None,"Introduction to the discipline of design, including general design models and procedures, rational and creative
models of design, and design as problem solving. Specific design contexts are introduced including information
design, graphics and visual design, architectural design and educational design."
DSCI 15310 ,"COMPUTATIONAL THINKING AND PROGRAMMING
",DSCI,none.,None,"Introductory, broad, and hands-on coverage of basic aspects of computational thinking with emphasis on
problem solving using the Python programming language."
DSCI 19995 ,"SPECIAL TOPICS IN DIGITAL SCIENCES
",DSCI,none.,None,"(Repeatable for credit)Analysis of significant and current issues in digital sciences not covered in regular courses.
Offered when opportunities and resources permit; the topic is announced when the course is scheduled."
DSCI 23410 ,"COGNITION IN TECHNOLOGY
",DSCI,none.,None,"Introduction to the basics in human cognition as they affect technology and as technology affects human
cognition. Addresses designing technologies to fit and enhance cognition, augmenting cognition with technology,
and cognitive tools, as well as the impact of technology on various cognitive processes. Leverages both
traditional and online course delivery."
DSCI 26010 ,"TELECOMMUNICATION INFRASTRUCTURE
",DSCI,none.,None,"Provides an overview of communications infrastructure for public switched telephone networks, wireless
networks, and local area networks. Other topics covered include network routing, LAN concepts and
technologies, VoIP, and PBX."
DSCI 29995 ,"SPECIAL TOPICS IN DIGITAL SCIENCES
",DSCI,none.,None,"(Repeatable for credit)Analysis of significant and current issues in digital sciences not covered in regular courses.
Offered when opportunities and resources permit; the topic is announced when the course is scheduled."
DSCI 31010 ,"ENTERPRISE ARCHITECTURE
",DSCI,sophomore standing.,None,"Enterprise architecture facilitates the alignment of IT and IS investment decisions with business goals.
Enterprise architecture is increasingly used in the industry as a result of the continued emergence of new
technologies and ongoing pressures to reengineer business processes to achieve improved efficiency and greater
customer focus. Enterprise architecture identifies the main components of an organization and the ways in which
these components work together. The components include performance and strategy, people, business
capabilities, applications, technology, knowledge and information, as well as financial and other resources."
DSCI 33310 ,"HUMAN-COMPUTER INTERACTION
",DSCI,sophomore standing.,None,"A survey course intended to provide a broad foundation of HCI principles, concepts, and techniques relevant to
multiple digital science concentrations. Focuses on understanding HCI through fundamental design concepts and
applying these to a range of interface design problems. Covers the spectrum of a user-centered design process
(research, sketching, prototyping, evaluation, etc). Balances a broad conceptual understanding of HCI with
detailed interface design issues."
DSCI 34410 ,"DIGITAL INFORMATION MANAGEMENT AND PROCESSING
",DSCI,sophomore standing.,None,"Introduces students to the discipline of information management and processing methods and tools that are
available to support effective management of information within organizations. Aims to provide a pragmatic
foundation of principles, practices and technologies that can be applied within commercial and government
organizations to help improve information management."
DSCI 39995 ,"SPECIAL TOPICS IN DIGITAL SCIENCES
",DSCI,none.,None,"(Repeatable for credit)Analysis of significant and current issues in digital sciences not covered in regular courses.
Offered when opportunities and resources permit; the topic is announced when the course is scheduled."
DSCI 40910 ,"CAPSTONE IN DIGITAL SCIENCES
",DSCI,"DSCI 41510 and TECH 46411; and MIS 44043 or CS 33007; and seniorstanding. 
",None,"Provides an integrative experience, bringing together components of the required coursework in the major.
Students work in project teams with students from upper-division project courses in programs affiliated with the
School of Digital Sciences."
DSCI 41510 ,"PROJECT MANAGEMENT AND TEAM DYNAMICS
",DSCI,DSCI 15310 or CS 13001 or CS 13012 or MIS 24065; and junior standing.,None,"Introduces students to the basic elements of project management as it relates to software development and the
corporate environment. Although not formally endorsed by The Project Management Institute, the course aligns
with the project management lifecycle approach endorsed in The Project Management Book of Knowledge."
DSCI 41610 ,"DIGITAL SYSTEMS SECURITY
",DSCI,DSCI 15310 or CS 13001 or CS 13012 or MIS 24065; and junior standing.,None,"Provides students with an understanding of the techniques, approaches, strategies, and computer security
tactics that are used to ensure computer-related assets are protected from potential cyber compromise and are
integrated with the business function. This course does not focus on the technical aspects of security (e.g.,
details of the operating system, data structures, or networks) but instead focuses more on computer security in
a business context."
DSCI 49910 ,"EMERGING TECHNOLOGIES IN DIGITAL SCIENCES
",DSCI,junior standing.,None,"(Cross-listed with DSCI 59910) Explores new and emerging technologies in the digital sciences, examining each
technology from multiple viewpoints representative of the interdisciplinary nature of the digital sciences."
DSCI 49992 ,"INTERNSHIP IN DIGITAL SCIENCES
",DSCI,junior standing and special approval.,None,"(Repeatable for a maximum of 6 credit hours) A credit-bearing work experience with educational outcomes,
utilizing and enhancing a student's academic learning in practical occupational situations. The student is
expected to complete pre-determined assignments, which may include a weekly journal, final paper, or
experience report. Satisfactory/unsatisfactory (S/U) graded. In-progress (IP) mark permissible."
