Course Number,Course Name,Department,Prerequisites,Corequesites,Description
EPI 50013 ,"CLINICAL EPIDEMIOLOGY BASICS
",EPI,BST 52019 and EPI 52017; and graduate standing.,None,"(Slashed with PH 40013) The purpose of this course is to develop an understanding of clinical research, Good
Clinical Practices, research environments, and methods used in clinical research. The student will gain an
understanding of the use of clinical investigation from the product development stage to the application of
investigations in contract research organization. Ethical implications and regulatory issues will be examined."
EPI 50014 ,"CLINICAL TRIALS MANAGEMENT
",EPI,"BST 52019, EPI 52017 and EPI 63019; and graduate standing.",None,"(Slashed with PH 40014) This course will further examination of the Good Clinical Practices guidelines. Students
will learn how to conduct and manage clinical trials, understand clinical trials data, develop instruments and
protocols, recognize quality control and data issues, know approaches to recruitment, retention, and participant
assessment, identify adverse events and measurement of response variables, and acquire skill in study close-out
procedures."
EPI 50015 ,"SCIENTIFIC WRITING FOR CLINICAL RESEARCH
",EPI,graduate standing.,None,"(Slashed with PH 40015) Clinical researchers must be able to demonstrate skill in scientific writing to
communicate findings to the science community and the general population. This course will allow students to
develop proficiency in scientific reading, conducting presentations, and writing. It will include examination of the
science literature in clinical trials research."
EPI 50017 ,"PHARMACOEPIDEMIOLOGY
",EPI,"BST 52019 andEPI 52017; and graduate standing. 
",None,"(Slashed with PH 40017) This course is an introduction to the field of pharmacoepidemiology.
Pharmacoepidemiology uses epidemiology methods to understand medication use and distribution at the
population level. The class will examine risk-benefit and epidemiology approaches to examining medication use
and therapeutic trials. Drug and device manufacturing to market will be explored."
EPI 50018 ,"REGULATORY AFFAIRS IN CLINICAL RESEARCH
",EPI,EPI 52017.,None,"(Slashed with PH 40018) Students will develop an understanding of the researcher and organization
responsibility in research and development of clinical trials products. Students will understand regulations from
the government and industry, privacy concerns, liability, and ethical issues related to clinical trials research.
Examples from the field will be explored in detail."
EPI 50196 ,"INDIVIDUAL INVESTIGATION IN EPIDEMIOLOGY
",EPI,graduate standing and special approval.,None,"(repeatable for maximum 6 credits) Individual graduate investigation or research in areas related to
epidemiology."
EPI 52017 ,"FUNDAMENTALS OF PUBLIC HEALTH EPIDEMIOLOGY
",EPI,"graduatestanding. 
",None,"(Slashed with EPI 72017) Introduces principles, methods, and application of epidemiology. Covers the history of
epidemiology, concepts of disease causation and prevention, measures of disease frequency and excessive risk,
epidemiologic study designs, causal inference, outbreak investigation and screening. Provides experience with
calculation of rate standardization, measures of disease frequency, association, and impact, and sensitivity and
specificity of screening tests. Highlights applications of epidemiology to understanding of disease etiology,
transmission, pathogenesis, and prevention, evaluation and public policy development."
EPI 52028 ,"METHODS OF EVIDENCE BASED PUBLIC HEALTH
",EPI,graduate standing.,None,"(Slashed with EPI 72028) Explores tools and techniques used to quantitatively determine the effectiveness of
public health interventions in the social sciences."
EPI 60191 ,"VARIABLE CONTENT SEMINAR IN EPIDEMIOLOGY
",EPI,Graduate standing.,None,"(Repeatable for credit) (Cross-listed with EPI 80191) Seminar on current and important topics in epidemiology.
Subject matter varies depending on the topic."
EPI 60192 ,"PRACTICUM EXPERIENCE IN EPIDEMIOLOGY
",EPI,graduate standing and special approval.,None,"Observational and participation in public health activities of a public health agency, hospital or other approved
organization. The student completes the field experience with joint supervision from the university and approved
organization or agency."
