Course Number,Course Name,Department,Prerequisites,Corequesites,Description
EXPH 50612 ,"EXERCISE LEADERSHIP FOR THE OLDER ADULT
",EXPH,Graduate standing.,None,"(Cross-listed with EXSC 40612) Designed to provide the students with a knowledge base in exercise leadership
in the senior population and includes special populations. Students participate in the leading supervision and
evaluation of the participant within the exercise program. They also assist in the collection of functional fitness
data."
EXPH 51000 ,"EXERCISE IMPLEMENTATION: AN EXERCISE INTERVENTION PROGRAM
",EXPH,"usite: EXPH 55080 and graduatestanding. 
",None,"(Repeatable for credit) Students will participate in leading, supervising and developing plans for individuals who
want to reduce cardiovascular risk factors through structured exercise."
EXPH 53093 ,"VARIABEL TITLE WORKSHOP IN EXERCISE SCIENCE AND EXERCISE PHYSIOLOGY
",EXPH,graduate standing,None,"(Repeatable for credit) (Cross-listed with EXSC 43093) Workshop in exercise science or physiology, topics vary."
EXPH 55065 ,"EXERCISE TESTING
",EXPH,graduate standing.,None,"(Cross-listed with EXSC 45065) Lecture and laboratory experiences dealing with the administration and
interpretation of exercise tests."
EXPH 55070 ,"ELECTROCARDIOGRAPHY FOR THE EXERCISE PHYSIOLOGIST
",EXPH,Graduate standing and special approval.,None,"(Cross-listed with EXSC 45070) Designed to provide students with the knowledge base in electrocardiography.
Studetns work on interpretting the 12-lead electrocardiogram with clinical case studies to enhance the
knowledge base of the exercise specialist."
EXPH 55080 ,"PHYSIOLOGY OF EXERCISE
",EXPH,Graduate standing.,None,"(Cross-listed with EXSC 45080) Physiological bases of muscular activity with special attention to general effects
of exercise on body function. Laboratory included."
EXPH 60610 ,"PHYSIOLOGY OF AGING:IMPLICATIONS FOR HUMAN BEHAVIOR
",EXPH,"graduatestanding. 
",None,"(Cross-listed with EXPH 70610) Examine physiological changes which accompany advancing age. Special
attention is paid to the effect of these changes on sensory motor and cognitive behavior."
EXPH 63050 ,"RESEARCH PROCESS IN ATHLETIC TRAINING AND EXERCISE PHYSIOLOGY
",EXPH,graduate standing.,None,"(Cross-listed with EXPH 73050) The research process and statistical concepts applied to athletic training and
exercise physiology."
EXPH 63051 ,"QUANTITATIVE AND RESEARCH METHODS IN ATHLETIC TRAINING AND EXERCISE
",EXPH,EXPH 63050 and graduate standing.,None,"PHYSIOLOGY
(Cross-listed with EXPH 73051) Research design and statistical methods applied to exercise, physiology and
athletic training."
EXPH 63052 ,"ADVANCED RESEARCH DESIGN AND STATISTICS IN EXERCISE PHYSIOLOGY
",EXPH,EXPH 63051 and graduate standing.,None,"(Cross-listed with EXPH 73052) Advanced topics in research design and statistical analysis with computer
applications in exercise physiology."
EXPH 63095 ,"RESEARCH SEMINAR
",EXPH,Graduate standing.,None,"(Repeatable for credit) (Cross-listed with ATTR 63095 and ATTR 73095 and EXPH 73095 and SRM 63095 and
SRM 73095) Presentation and discussion of research by faculty and students. A total of 2 credits may be applied
toward degree requirements."
EXPH 63096 ,"INDIVIDUAL INVESTIGATION IN EXERCISE PHYSIOLOGY
",EXPH,graduate standing and special approval.,None,"(Repeatable for a maximum of 6 credit hours) (Cross-listed with EXPH 73096) Independent study completed
under the supervision of a faculty member. Written approval of supervising faculty member and School Director
required prior to registration."
EXPH 63098 ,"RESEARCH
",EXPH,Graduate standing.,None,"(Repeatable for credit) (Cross-listed with ATTR 63098 and SRM 63098 and EXPH 83098) Research or individual
investigation."
EXPH 63193 ,"VARIABLE TITLE WORKSHOP IN EXERCISE PHYSIOLOGY
",EXPH,graduate standing,None,(Repeatable for credit)Workshop in exercise physiology; topics vary. Maximum 4 hours applied to the degree.
EXPH 63195 ,"SPECIAL TOPICS IN EXERCISE PHYSIOLOGY
",EXPH,graduate standing.,None,"(Repeatable for credit) (Cross-listed with EXPH 73195) Selected and varied topics of relevance in exercise
physiology."
EXPH 63199 ,"THESIS I
",EXPH,Graduate standing.,None,"(Cross-listed with ATTR 63199 and SRM 63199)Thesis students must register for a total of 6 hours, 2 to 6 hours
in a semester distributed over several semesters if desired."
EXPH 63299 ,"THESIS II
",EXPH,EXPH 63199 and graduate standing.,None,"(Cross-listed with ATTR 63299 and SRM 63299)Thesis students must continue registration each semester until
all degree requirements are met."
EXPH 65075 ,"MUSCLE FUNCTION AND EXERCISE
",EXPH,graduate standing.,None,"(Cross-listed with EXPH 75075) Characteristics of skeletal muscle related to contraction during exercise,
strength, elasticity, fatigue, and training. Electromyograph analysis of muscle function emphasized."
EXPH 65076 ,"ENVIRONMENTAL STRESS AND EXERCISE
",EXPH,graduate standing.,None,"(Slashed with EXPH 75076) Effects of heat, cold, pressure, pollution and psychological stress upon physiological
responses to exercise. Lecture and laboratory."
EXPH 65080 ,"PHYSIOLOGICAL BASIS OF EXERCISE AND SPORT
",EXPH,graduate standing.,None,"(Cross-listed with EXPH 75080) Application of physiological concepts to human performance. Includes role of
testing, training strength and endurance, nutritional considerations, environmental influences and,adapted
exercise programs."
EXPH 65081 ,"ENERGY METABOLISM AND BODY COMPOSITION
",EXPH,graduate standing.,None,"(Cross-listed with EXPH 75081) Measurement of metabolic response to exercise. Topics include ergometry
spirometry energy expenditure body composition and performance correlates of strength power and endurance."
EXPH 65082 ,"CARDIO-RESPIRATORY FUNCTION
",EXPH,graduate standing.,None,"(Cross-listed with EXPH 75082) Measurement of the cardiovascular-respiratory response to exercise. Includes
resting spirometry, lung function during exercise, electrocardiography, blood pressure, PWC testing and exercise
prescription."
EXPH 65083 ,"EXERCISE ENERGY METABOLISM
",EXPH,"graduatestanding. 
",None,"(Cross-listed with EXPH 75083) Energy transformations during exercise. Emphasis on controlling mechanisms
that regulate the anabolic and catabolic responses to both acute and chronic exercise."
EXPH 65084 ,"CARDIOVASCULAR-RESPIRATORY DYNAMICS DURING EXERCISE
",EXPH,graduate standing.,None,"(Cross-listed with EXPH 75084) Responses of the cardiovascular and respiratory systems to exercise. Use of
noninvasive methods to measure cardio-respiratory function emphasized. Lecture and laboratory."
EXPH 65086 ,"NEUROBIOLOGY OF MOVEMENT AND EXERCISE
",EXPH,graduate standing.,None,"(Cross-listed with EXPH 75086) Provide students with knowledge to understand the role of the muscular and
nervous systems in human movement and exercise. Motor disorders and rehabilitation techniques will also be
discussed. Lecture and laboratory."
EXPH 65192 ,"INTERNSHIP IN EXERCISE PHYSIOLOGY
",EXPH,graduate standing and special approval.,None,"(Repeatable for a maximum of 8 credit hours) (Cross-listed with EXPH 75192) Field experience in exercise
physiology programs and testing in Kent State University adult fitness program or cooperating agencies."
EXPH 70610 ,"PHYSIOLOGY OF AGING:IMPLICATIONS FOR HUMAN BEHAVIOR
",EXPH,"doctoralstanding. 
",None,"(Cross-listed with EXPH 60610) Examine physiological changes which accompany advancing age. Special
attention is paid to the effect of these changes on sensory motor and cognitive behavior."
EXPH 73050 ,"RESEARCH PROCESSES IN ATHLETIC TRAINING AND EXERCISE PHYSIOLOGY
",EXPH,doctoral standing.,None,"(Cross-listed with EXPH 63050) The research process and statistical concepts applied to athletic training and
exercise physiology."
EXPH 73051 ,"QUANTITATIVE AND RESEARCH METHODS IN ATHLETIC TRAINING AND EXERCISE
",EXPH,EXPH 73050 and doctoral standing.,None,"PHYSIOLOGY
(Cross-listed with EXPH 63051) Research design and statistical methods applied to exercise physiology and
athletic training."
EXPH 73052 ,"ADVANCED RESEARCH DESIGN AND STATISTICS IN EXERCISE PHYSIOLOGY
",EXPH,EXPH 63051 or EXPH 73051 and doctoral standing.,None,"(Cross-listed with EXPH 63052) Advanced topics in research design and statistical analysis with computer
applications in exercise physiology."
EXPH 73095 ,"RESEARCH SEMINAR
",EXPH,Doctoral standing.,None,"(Repeatable for credit) (Cross-listed with ATTR 63095 and ATTR 73095 and EXPH 63095 and SRM 63095 and
SRM 73095) Presentation and discussion of research by faculty and students. A total of 2 credits may be applied
toward degree requirements."
EXPH 73096 ,"INDIVIDUAL INVESTIGATION IN EXERCISE PHYSIOLOGY
",EXPH,doctoral standing and special approval.,None,"(Repeatable for a maximum of 6 credit hours) (Cross-listed with EXPH 63096) Independent student completed
under the supervision of a faculty member. Written approval of supervising faculty member and School Director
required prior to registration."
EXPH 73195 ,"SPECIAL TOPICS IN EXERCISE PHYSIOLOGY
",EXPH,doctoral standing.,None,"(Repeatable for a maximum of 6 credit hours) (Cross-listed with EXPH 63195) Selected an varied topics of
relevance in exercise physiology."
EXPH 75004 ,"BIOMECHANICS
",EXPH,Doctoral standing.,None,"(Cross-listed with ) Survey of biomechanics, with particular emphasis on skeletal muscle mechanics."
EXPH 75075 ,"MUSCLE FUNCTION AND EXERCISE
",EXPH,doctoral standing.,None,"(Cross-listed with EXPH 65075) Characteristics of skeletal muscle related to contraction during exercise,
strength, elasticity, fatigue and training. Electromyograph analysis of muscle function emphasized."
EXPH 75076 ,"ENVIRONMENTAL STRESS AND EXERCISE
",EXPH,doctoral standing.,None,"(Slashed with EXPH 65076) Effects of heat, cold, pressure, pollution and psychological stress upon physiological
responses to exercise. Lecture and laboratory."
EXPH 75080 ,"PHYSIOLOGICAL BASIS OF EXERCISE AND SPORT
",EXPH,doctoral standing.,None,"(Cross-listed with EXPH 65080) Application of physiological concepts to human performance. Includes role of
testing, training, strength and endurance, nutritional considerations, environmental influences, and adapted
exercise programs."
EXPH 75081 ,"ENERGY METABOLISM AND BODY COMPOSITION
",EXPH,doctoral standing.,None,"(Cross-listed with EXPH 65081) Measurement of metabolic response to exercise. Topics include ergometry,
spirometry, energy expenditure, body composition and performance correlates of strength, power and
endurance."
EXPH 75082 ,"CARDIO-RESPIRATORY FUNCTION
",EXPH,doctoral standing.,None,"(Cross-listed with EXPH 65082) Measurement of the cardiovascular-respiratory response to exercise. Includes
resting spirometry, lung function during exercise, electrocardiography, blood pressure, PWC testing and exercise
prescription."
EXPH 75083 ,"EXERCISE ENERGY METABOLISM
",EXPH,"doctoralstanding. 
",None,"(Cross-listed with EXPH 65083) Energy transformations during exercise. Emphasis on controlling mechanisms
that regulate the anabolic and catabolic responses to both acute and chronic exercise."
EXPH 75084 ,"CARDIOVASCULAR-RESPIRATORY DYNAMICS DURING EXERCISE
",EXPH,doctoral standing.,None,"(Cross-listed with EXPH 65084) Responses of the cardiovascular and respiratory systems to exercise. Use of
noninvasive methods to measure cardio-respiratory function emphasized. Lecture and laboratory."
