Course Number,Course Name,Department,Prerequisites,Corequesites,Description
FR 13201 ,"ELEMENTARY FRENCH I
",FR,None.,None,An introduction to the French language in the context of Francophone cultures.
FR 13202 ,"ELEMENTARY FRENCH II
",FR,FR 13201.,None,A continuation of the introduction to the French language in the context of Francophone cultures.
FR 23201 ,"INTERMEDIATE FRENCH I
",FR,FR 13202.,None,"Continued development of speaking, listening, reading and writing skills using a variety of cultural materials."
FR 23202 ,"INTERMEDIATE FRENCH II
",FR,FR 23201.,None,Continuation of FR 23201.
FR 33095 ,"SELECTED TOPICS IN FRENCH
",FR,"FR33211. 
",None,(Repeatable for a maximum of 9 credit hours)Topic to be announced in the schedule of classes.
FR 33211 ,"FRENCH CONVERSATION
",FR,FR 23202.,None,"A course designed to enhance students' oral proficiency through instruction in facilitating conversation and the
discussion of culture-based texts."
FR 33212 ,"FRENCH COMPOSITION
",FR,FR 23202; and special approval. ,FR 33214,"A course designed to develop writing and reading skills, and in particular to prepare students to read and write
about French literature."
FR 33214 ,"FRENCH COMPOSITION EXTENDED
",FR,FR 23202 and special approval. ,FR 33212,"Designed to develop writing and reading skills, and in particular to prepare students to read and write about
French literature."
FR 33215 ,"FRENCH PHONETICS AND DICTION
",FR,FR 33211.,None,"Study of sounds of French language and their relation to spelling; application of international phonetic alphabet
to French. Study augmented by recordings."
FR 33231 ,"TRANSLATION PRACTICE:FRENCH
",FR,None,TRST 30230.,"Translation practice with French texts using principles and techniques learned in the lecture class. To be taken
concurrently with TRST 30230."
FR 33240 ,"CONVERSATION FOR BUSINESS AND SPECIAL PURPOSES:FRENCH
",FR,FR 33211.,None,"Introduction to the special vocabulary of business and other special subject areas;introduces the concept of
language for special purposes and emphasizes the use of special vocabulary in conversations in business and
other settings."
FR 33335 ,"INTRODUCTION TO FRENCH THEATRE
",FR,FR 33212.,None,"Evolution of French dramatic literature from the middle ages to the present. Readings of representative works
with lectures analyses. In French."
FR 33336 ,"INTRODUCTION TO FRENCH POETRY
",FR,FR 33212.,None,"Evolution of French poetry from the middle ages to the present. Readings of representative works with lectures
analyses. In French."
