Course Number,Course Name,Department,Prerequisites,Corequesites,Description
HIED 46525 ,"CAREERS IN HIGHER EDUCATION
",HIED,None.,None,"Familiarize students with the history of higher education; philosophies of higher education, financial, legal and
political issues facing higher education; and the careers available in colleges and universities."
HIED 66492 ,"INTERNSHIP IN HIGHER EDUCATION ADMINISTRATION
",HIED,graduate standing.,None,"(Repeatable for a maximum of 12 credit hours) (Cross-listed with HIED 76492) Field-based internship of at least
150 clock hours, as approved by the program area faculty. Specific topics are outlined and shared at meetings
prior to beginning internship."
HIED 66521 ,"EMPLOYMENT LAW
",HIED,"Major in Higher Education and Student Personnel (EAHE) or EducationalAdministration-Higher Education (EDHE) and graduate standing. 
",None,"(Cross-listed with HIED 76521) Study of public and private sector bargaining law and all terms and conditions of
employment."
HIED 66558 ,"ADVANCED EDUCATIONAL LEADERSHIP
",HIED,HIED 66657; and graduate standing.,None,"(Slashed with HIED 86558) This advanced leadership seminar is designed to provide the opportunity for
students to gain additional knowledge and skills in educational leadership, to improve research writing and
teaching skills; to share and discuss leadership knowledge and insights with their peers and to defend their work
before their peers."
HIED 66594 ,"INTERNSHIP IN COLLEGE TEACHING
",HIED,"Graduate standing and at least 12 hours inhigher education. 
",None,"(Repeatable for credit) (Cross-listed with HIED 76594) Application of course and lesson planning; instructional
and evaluation skills under faculty supervision; lecturing, guiding group performance and evaluating
performances. Arrangements made on individual basis."
HIED 66595 ,"SPECIAL TOPICS IN HIGHER EDUCATION ADMINISTRATION
",HIED,graduate standing.,None,(Repeatable for credit)Specialized offerings in response to emerging or selected program needs.
HIED 66596 ,"INDIVIDUAL INVESTIGATION IN HIGHER EDUCATION ADMINISTRATION
",HIED,graduate standing and special approval.,None,(Repeatable for credit)Projects as assigned.
HIED 66598 ,"RESEARCH IN HIGHER EDUCATION ADMINISTRATION
",HIED,graduate standing and special approval.,None,(Repeatable for credit)Projects as assigned.
HIED 66600 ,"HISTORY OF HIGHER EDUCATION
",HIED,Graduate standing.,None,"(Cross-listed with CULT 69567 and CULT 79567 and HIED 76600) Overview and exploration of history of higher
education in the United States. Survey course covers ancient and medieval European antecedents but focuses
largely on American higher education from the seventeenth through the 20th century. Students explore changes
in student body curricula and purposes of higher education in the U.S. in the context of American culture."
HIED 66601 ,"THE PRIVATE LIBERAL ARTS COLLEGE
",HIED,"major in Higher Education and Student Personnel (EAHE) or EducationalAdministration-Higher Education (EDHE) or special approval from the instructor and graduate standing. 
",None,"(Cross-listed with HIED 76601) Explores a unique type of institution in American higher education, the private
liberal arts college. Identifies common themes and challenges across institutions as well as the nature of specific
examples of institutions."
HIED 66651 ,"STUDENT AFFAIRS FUNCTIONS IN HIGHER EDUCATION
",HIED,Graduate standing.,None,"(Cross-listed with HIED 76651) Study of the history, philosophy, practices and organization of student affairs
functions in higher education."
HIED 66652 ,"LAW AND HIGHER EDUCATION
",HIED,Graduate standing.,None,"(Cross-listed with HIED 76652) Provides for the examination of major legal aspects of the administration of
institutions of higher learning."
HIED 66653 ,"COLLEGE STUDENT DEVELOPMENT:THEORY AND PRACTICE
",HIED,Graduate standing.,None,"(Cross-listed with HIED 76653) Study of theories concerning the development of college students and other
adults,and principles for translating theory into practice."
HIED 66654 ,"STUDENTS AND THE COLLEGE ENVIRONMENT
",HIED,"HIED 6/76653 and special approval ofinstructor and graduate standing. 
",None,"(Cross-listed with HIED 76654) Study of the impact of different types of students and college environments on
each other,within the context of a changing society."
HIED 66655 ,"CASE STUDIES IN HIGHER EDUCATION ADMINISTRATION
",HIED,HIED 66652 and 66653 and 66657 and graduate standing.,None,"(Cross-listed with HIED 76655) Study of management responsibilities and leadership issues of student affairs
administrators."
HIED 66656 ,"HIGHER EDUCATION CURRICULUM
",HIED,Graduate standing.,None,"(Cross-listed with HIED 76656) Introduces perspectives on curriculum development, implementation and
assessment in higher education and addresses theoretical, historical, political and contemporary perspectives on
higher education curriculum."
HIED 66657 ,"LEADERSHIP IN EDUCATION ORGANIZATIONS
",HIED,"major in Higher Education and Student Personnel (EAHE) or EducationalAdministration-Higher Education (EDHE) and graduate standing. 
",None,"(Cross-listed with HIED 76657) By learning to appraise their own leadership styles,students improve their
leadership effectiveness and explore the relationship between leadership and college and university
effectiveness."
HIED 66658 ,"THE COMMUNITY COLLEGE
",HIED,graduate standing.,None,"A study of the foundations, structure, programs and issues of community college education in the United States."
HIED 66660 ,"FACULTY ROLES AND RESPONSIBILITIES
",HIED,graduate standing.,None,(Cross-listed with HIED 76660) A study of faculty roles and responsibilities in American higher education.
HIED 66662 ,"POLITICS AND POWER IN ORGANIZATIONS
",HIED,graduate standing.,None,"(Cross-listed with HIED 76662) This course is designed to provide a conceptual framework for understanding the
multifaceted processes of policy making that take place in both ""internal"" and ""external"" settings."
HIED 66663 ,"STATUS OF WOMEN IN HIGHER EDUCATION
",HIED,graduate standing.,None,"Provides a comprehensive overview of the historical, contemporary, and scholarly perspectives on women
students, faculty, administrators, and staff. We explore why and how women and men experience higher
education differently, by drawing on historical, cultural, and psychological contexts, feminist theoretical and
research perspectives, and scholarly contributions. As we do, we amplify voices from across identity groups,
observing that there is not a homogeneous “woman in higher education.” Likewise, we are sensitive to how
consideration of context, recognition of power, other dimensions of identities, and desire to change society and
the academy have fueled and shaped feminist study of the history and condition of women in higher education.
Not only explores these issues through various media in class, but students also have the opportunity to
investigate a problem of their choice in order to bring the content to life."
HIED 66664 ,"SERVICE LEARNING IN HIGHER EDUCATION
",HIED,graduate standing.,None,"Examines the concepts, debate, and principles of practice of service-learning in U.S. higher education. Focus is
on developing knowledge about service-learning and enhancing skills and competencies for designing service-
learning opportunities in higher education, and involves an active, experiential component. Additionally, as a
class, we investigate (problem-based) service-learning along a continuum of action to discern how it contributes
to individual's civic efficacy."
HIED 66665 ,"TECHNOLOGY, SYSTEMS AND DATA IN HIGHER EDUCATION ADMINISTRATION
",HIED,graduate standing.,None,"(Slashed with HIED 76665) Exploration of technology, systems, and data analysis essential to the practice of
higher education administration. Students will examine and apply tools used for the organization, analysis, and
dissemination of information including but not limited to ERP systems, learning management systems, web
applications for data collection, and office productivity software. Students will perform tasks typically requested
of administrators related to budget or workload management, managing lists and or rosters, exploring trend
data for decision-making, and generating charts, tables and other data for reporting needs. Survey design and
construction using online applications will be a significant component of this course. Moderate experience with
office productivity software is strongly advised."
HIED 66666 ,"FINANCIAL MANAGEMENT IN HIGHER EDUCATION
",HIED,graduate standing.,None,"(Cross-listed with HIED 76666) This course is designed to provide students of higher education with the
knowledge of financial issues, sources of funds, economics of education, financial roles of professional and
academic administrators, and the financial mangagement skills as applicable to institutions of higher education."
HIED 66667 ,"BUSINESS ADMINISTRATION IN HIGHER EDUCATION
",HIED,"HIED 6/76657and graduate standing. 
",None,"(Cross-listed with HIED 76667) This course introduces students to the administrative and business management
of institutions of higher education. The course covers topics such as institutional planning, space management,
insurance matters, personnel administration, purchasing and facility management."
HIED 66669 ,"ADMINISTRATION OF STUDENT DISABILITY SERVICES IN HIGHER EDUCATION
",HIED,Graduate standing.,None,"(Cross-listed with HIED 76669) Understanding the legal and practical issues regarding the
identification,accommodation and matriculation of students with disabilities into colleges and universities."
