Course Number,Course Name,Department,Prerequisites,Corequesites,Description
HONR 10096 ,"INDIVIDUAL HONORS WORK
",HONR,"Specialapproval of department. 
",None,(Repeatable for credit)Directed independent study for freshmen in any department.
HONR 10197 ,"FRESHMAN HONORS COLLOQUIUM I
",HONR,"Admitted to theHonors College. 
",None,"(Repeatable for credit)Required of all honors freshmen in lieu of College Writing. Stresses exploration, discussion
and communication of ideas expressed in works related to theme of colloquium."
HONR 10297 ,"FRESHMAN HONORS COLLOQUIUM II
",HONR,Admitted to the Honors College.,None,(Repeatable for credit)Continuation of HONR 10197.
HONR 13597 ,"COLLOQUIUM: THE WESTERN IDENTITY
",HONR,admitted to the Honors College and special approval.,None,"(Repeatable for credit)Focuses on Western and non-Western cultures from a comparative perspective, in order
to identify both different and shared values and to see how one's own culture shapes one's perspective,
ideology, and values."
HONR 20096 ,"INDIVIDUAL HONORS WORK
",HONR,"Specialapproval of department. 
",None,(Repeatable for credit)Directed independent study for sophomores in any department.
HONR 20197 ,"SOPHOMORE COLLOQUIUM
",HONR,Admitted to the Honors College.,None,"(Repeatable for credit)One-semester course or two-semester sequence exploring interdisciplinary ideas and
issues related to a single theme, by means of readings, discussion and individual papers and projects."
HONR 20297 ,"SOPHOMORE COLLOQUIUM
",HONR,Admitted to the Honors College.,None,(Repeatable for credit)See HONR 20197.
HONR 30096 ,"INDIVIDUAL HONORS WORK
",HONR,"Special approvalof department. 
",None,(Repeatable for credit)Directed independent study for juniors in any department.
HONR 30197 ,"JUNIOR COLLOQUIUM
",HONR,Admitted to the Honors College.,None,"(Repeatable for credit)One-semester course or two-semester sequence for juniors or seniors exploring
interdisciplinary ideas and issues related to single theme, by means of readings, discussion and individual papers
and projects."
HONR 30297 ,"JUNIOR COLLOQUIUM
",HONR,Admitted to the Honors College.,None,(Repeatable for credit)See HONR 30197.
HONR 40085 ,"SENIOR HONORS PORTFOLIO
",HONR,Senior standing.,None,"Construction of a senior portfolio, consisting of a collection of artifacts and a reflective essay interpreting the
student's growth during the college years."
HONR 40096 ,"INDIVIDUAL HONORS WORK
",HONR,"Prior specialapproval of instructor and special approval of and preregistration with Honors College. 
",None,(Repeatable for credit)Directed independent study for seniors in any department.
HONR 40099 ,"SENIOR HONORS THESIS/PROJECT
",HONR,Special approval of department.,None,(Repeatable for credit) Thesis or creative project.
HONR 40197 ,"SENIOR COLLOQUIUM
",HONR,Admitted to the Honors College.,None,"(Repeatable for credit)One-semester course or two-semester sequence exploring interdisciplinary ideas and
issues related to single theme, by means of readings, discussion and individual papers and projects."
HONR 40297 ,"SENIOR COLLOQUIUM
",HONR,Admitted to the Honors College.,None,(Repeatable for credit)See HONR 40197.
