Course Number,Course Name,Department,Prerequisites,Corequesites,Description
KBT 22092 ,"PRACTICUM I:DESIGN/TECHNOLOGY
",KBT,Freshman and sophomore standing only.,None,"(Repeatable for a maximum of 12 credit hours)Practical experience in theatre production under faculty
supervision. Available for lower division students only."
KBT 22192 ,"PRACTICUM I:PERFORMANCE
",KBT,"Freshman andsophomore standing only. 
",None,"(repeatable for a total of 12 hours) practical experience in theatre performance under faculty supervision.
Available for lower division students only. Repeatable for a total of 12 hours."
KBT 41096 ,"INDIVIDUAL STUDY:THEATRE
",KBT,Permission.,None,(repeatable for a total of 12 hours) selected research topics in theatre.
KBT 41992 ,"THEATRE PRODUCTION INTERNSHIP
",KBT,"Juniorstanding and special approval. 
",None,"(Repeatable for a maximum of 12 credit hours)Intensive advanced training in practical aspects of production.
Periodic seminars, laboratory sessions and performance in Porthouse Theatre Company."
KBT 42092 ,"PRACTICUM II:DESIGN TECH
",KBT,Junior and senior standing only.,None,"(Repeatable for a maximum of 12 credit hours)Advanced practical experience in theatre production under faculty
supervision. Available for upper division students only."
KBT 42192 ,"PRACTICUM II:PERFORMANCE
",KBT,Junior and senior standing.,None,"(Repeatable for a maximum of 12 credit hours)Advanced practical experience in theatre performance under
faculty supervision. Available for upper division students only."
KBT 60199 ,"M.F.A.. THESIS
",KBT,Special approval of adviser. Graduate standing.,None,(Repeatable for credit)Students must register for course during the semester of their MFA thesis project.
KBT 60992 ,"PROFESSIONAL THEATRE INTERNSHIP I
",KBT,graduate standing and special approval.1.000 OR ,None,"(Cross-listed with THEA 60992) (Repeatable once for credit) Intensive advanced training in practical aspects of
production. Periodic seminars, laboratory sessions and performance in the Porthouse Theatre Company."
KBT 61096 ,"INDIVIDUAL INVESTIGATION:THEATRE AND DRAMA
",KBT,Special approval and graduate standing.,None,"(Repeatable for a maximum of 6 credit hours)Independent study of an area or problem approved by divisional
graduate coordinator in consultation with project director."
KBT 61992 ,"PROFESSIONAL THEATRE INTERNSHIP II
",KBT,special approval and graduate standing.1.000 OR ,None,"Intensive advanced training in practical aspects of production. Periodic seminars, laboratory sessions and
performance in Porthouse Theatre Company. Satisfactory/unsatisfactory (S/U) graded. In-progress (IP) mark
permissible."
KBT 62092 ,"PRACTICUM:DESIGN/TECHNOLOGY
",KBT,Graduate standing.,None,"(Repeatable for credit)Practical experience for the graduate student in theatre design and technology under
faculty supervision."
KBT 62192 ,"PRACTICUM:PERFORMANCE
",KBT,special approval and graduate standing.,None,"(Repeatable for a maximum of 12 credit hours; cross-listed with THEA 62192)Practical experience for the
graduate student in theatre performance under faculty supervision. SU grading, IP permissible."
KBT 62992 ,"THEATRE PRODUCTION INTERNSHIP
",KBT,"Specialapproval of adviser. Graduate standing. 
",None,"(Repeatable for a maximum of 12 credit hours)Intensive advanced training in practical aspects of production.
Periodic seminars, laboratory sessions and performance in Porthouse Theatre Company."
KBT 72992 ,"THEATRE PRODUCTION INTERNSHIP
",KBT,"Specialapproval of adviser and doctoral standing. 
",None,"(Repeatable for a maximum of 12 credit hours)Intensive advanced training in practical aspects of production.
Periodic seminars, laboratory sessions and performance in Porthouse Theatre Company."
