Course Number,Course Name,Department,Prerequisites,Corequesites,Description
LIS 10010 ,"INFORMATION FLUENCY
",LIS,none.,None,"(Cross-listed with LIB 10010) Teaches information and technology skills critical to college success, enabling
students to become information fluent--able to find and evaluate information in a variety of contexts and
formats, using a variety of technologies, to achieve specific objectives in effective and socially responsible ways."
LIS 30010 ,"INFORMATION FLUENCY IN THE WORKPLACE AND BEYOND
",LIS,none.,None,"(Cross-listed with LIB 30010) Teaches information access, technology, and media literacy skills which enables
student to become, not only information literate, but also information fluent - able to move seamlessly among
multiple information sources and technologies resources to fill their informational needs, whether in the
classroom or the workplace."
LIS 40655 ,"COPYRIGHT: UNDERSTANDING USER RIGHTS AND RESPONSIBILITIES
",LIS,None.,None,"Exploration of advanced copyright topics such as mass digitization, creative arts and other issues in fair use,
library, archive and educational uses including the TEACH Act, digital first sale rights, Digital Millennium
Copyright Act, and an introduction to copyright reform."
LIS 40656 ,"LICENSING OF INFORMATION PRODUCTS AND SERVICES
",LIS,None.,None,"Topics related to licensing of information products and services including online contract formation, software
licenses (End User License Agreements), database and website terms of service, detailed understanding of
common terms and conditions in license agreements and an introduction to music licensing and Creative
Commons licensing."
LIS 40693 ,"VARIABLE TITLE WORKSHOP IN LIBRARY AND INFORMATION SCIENCE
",LIS,"Junior or senior standingand special approval. 
",None,(Repeatable for credit)Intensive examination of special topics of interest.
LIS 41095 ,"SELECTED TOPICS IN LIBRARY SCIENCE
",LIS,Permission.,None,"(Repeatable for credit)Topics will be announced in schedule of classes. Offered irregularly as resources and
opportunities permit."
LIS 50693 ,"VARIABLE TITLE WORKSHOP-LIBRARY AND INFORMATION SCIENCE
",LIS,Graduate standing.,None,"(Repeatable for credit)Maximum workshop credit accepted for MLIS degree is 4 semester hours. Intensive
examination of special topics of interest to practicing librarians."
LIS 60000 ,"TOOLS FOR MASTER OF LIBRARY AND INFORMATION SCIENCE SUCCESS
",LIS,graduate standing.,None,"Provides an overview of the MLIS program and LIS professions. Teaches basic social, communication, and
technology skills to succeed in the MLIS program and beyond."
LIS 60001 ,"ACCESS TO INFORMATION
",LIS,"Graduate standing. This courseis not open to students in non-degree programs. 
",None,"(Slashed with LIS 80001) Examination of information access issues. Topics include discussion of information
needs, use of information sources and information access services."
LIS 60002 ,"ORGANIZATION OF INFORMATION
",LIS,"Graduate standing. This course is not open to students in non-degreeprograms. 
",None,"(Slashed with LIS 80002) Introduction to the theory and practice of organizing information in various
information environments. Familiarity with principles, standards, tools and current systems relating to
organization of information."
