Course Number,Course Name,Department,Prerequisites,Corequesites,Description
MIS 24053 ,"INTRODUCTION TO COMPUTER APPLICATIONS
",MIS,None.,None,"(Equivalent to COMT 11000) Develop competency in the operation of contemporary software and hardware
applications. To develop an appreciation for the contribution of computers, software and the Internet to society."
MIS 24056 ,"FUNDAMENTALS OF BUSINESS STATISTICS
",MIS,"MATH 11010or MATH 11012 or MATH 12002. 
",None,"(Equivalent to BMRT 21004) Introduction to concepts in statistical methods and their applications to real world
problems. Examines both the theoretical and practical side of the different methods."
MIS 24065 ,"WEB PROGRAMMING
",MIS,MIS 24053.,None,"Principles of visual design as applied to Web site interface development. The course exposes students to the
basics of programming and relational database and how to develop a Web-based database driven interactive
information system."
MIS 24093 ,"VARIABLE TITLE WORKSHOP IN MANAGEMENT AND INFORMATION SYSTEMS
",MIS,Permission.,None,"(Repeatable for credit)Special workshop in management and information systems. Credits depend on scope of
project."
MIS 24163 ,"PRINCIPLES OF MANAGEMENT
",MIS,minimum sophomore standing.,None,"(Equivalent to BMRT 11009) Introductory course in management and organizational design. The leading
contributions in the area are reviewed and practical implications are developed. The course covers the principles
that most management professors have come to expect in an introductory course: planning, organizing, leading,
and controlling. In addition, the students need to be aware of critical issues managers must be aware of to
succeed: diversity, globalization, ethics, technology, among them. The course serves as an introduction to many
upper level business courses."
MIS 34032 ,"DATA AND FILE TECHNOLOGY
",MIS,MIS 24060.,None,"An introduction to file architecture and data base management systems. The application of these technologies is
detailed."
MIS 34036 ,"ENTERPRISE SYSTEMS AND BUSINESS PROCESSES
",MIS,"minimumcumulative 2.500 GPA; and MIS 24053 with a minimum C (2.000) grade; and MIS 24065. 
",None,"Introduction to the structure and use of Enterprise Systems and Business Processes. Course topics include Data
Navigation, Client Server Systems, Virtualization, Database, Security, Accounting and Procurement Processes,
ERP simulation games and hands-on experience with a professional ERP system."
MIS 34045 ,"SMALL SYSTEMS TECHNOLOGY
",MIS,MIS 24060.,None,"An examination of the role of small computer systems within an organization's information systems
environment."
MIS 34054 ,"USING INFORMATION SYSTEMS FOR SOLVING BUSINESS PROBLEMS
",MIS,"Cumulative 2.500 GPA; and MIS 24053 or COMT 11000. Course not open tocomputer information systems (CIS) majors. 
",None,"Examine key concepts about information systems that are relevant for business managers. The focus will be on
promoting an understanding of the use of IS in solving business problems. There will also be hands-on
assignments."
MIS 34055 ,"COMPUTER DECISION MODELING
",MIS,"Cumulative 2.500 GPA; and MIS 24053 or COMT 11000; and MIS24056 or MATH 10041 or BMRT 21004. Course not open to computer information systems (CIS) majors. 
",None,"Introduces students to the scientific decision-making tools of operations research and management science, and
also to the use of spreadsheet modeling for problem formulation and solution without the need for mathematics.
The concepts of modeling and better decision making are stressed along with illustrations from the various
functional areas of business."
MIS 34059 ,"SERVICE OPERATIONS MANAGEMENT
",MIS,Cumulative 2.500 GPA and MIS 34060.,None,"Provide students with the concepts and tools necessary to effectively manage service operations and to prepare
students for management opportunities in service firms that represent the fastest-growing sector of the
economy. The service management will be presented from an integrated viewpoint with a focus on customer
satisfaction. The course materials are organized around four modules (1) understanding services (2) designing
the service enterprise, (3) managing service operations and (4) toward world class-service."
MIS 34060 ,"OPERATIONS MANAGEMENT
",MIS,"MIS 24053 or COMT 11000;and MIS 24056 or MATH 10041 or BMRT 21004. 
",None,"A survey course in operations management that covers the managerial concepts and the quantitative tools used
in the design, planning operation and control of operations systems."
MIS 34064 ,"MANUFACTURING RESOURCE PLANNING
",MIS,Cumulative 2.500 GPA; and MIS 34060.,None,"Introduce students to the basic tools operations managers use to inform their decisions on a daily basis. The
course involves hands-on coverage of manufacturing resource planning tools, including forecasting and master
production schedules, bill of materials structuring, order entry and purchasing, capacity requirements planning,
routing, costing, customer service, shipping, invoicing and using an enterprise resource planning (ERP) software."
MIS 34065 ,"QUALITY ASSURANCE
",MIS,Cumulative 2.500 GPA; and MIS 34060.,None,"Introduction to importance of quality assurance and tools used to accomplish better quality in goods and
services. Topics TQM, Six Sigma, quality philosophies, sampling plans and statistical process control, ISO,
quality competition and awards."
