Course Number,Course Name,Department,Prerequisites,Corequesites,Description
SOC 12050 ,"INTRODUCTION TO SOCIOLOGY
",SOC,none.,None,"Scientific approach to understanding social interaction, institutions and organization."
SOC 22100 ,"SOCIOLOGICAL ANALYSIS
",SOC,SOC 12050.,None,"Fundamental study of sociological analysis designed to provide awareness of theoretical and methodological
concepts necessary in developing sociological perspective."
SOC 22570 ,"UNDERSTANDING DIFFERENCES AND INEQUALITY
",SOC,None.,None,"An introduction to the cultural and structural factors creating and sustaining educational, economic and political
inequality by race, ethnicity, gender, class and sexual orientation with an emphasis on issues of poverty and
immigration."
SOC 22778 ,"SOCIAL PROBLEMS
",SOC,None.,None,"Contemporary American and global social problems and issues are analyzed from sociological perspectives.
Several cases are used to illustrate the emergence, development and decline of problems in social context."
SOC 24011 ,"INTERPERSONAL RELATIONSHIPS AND FAMILIES
",SOC,None.,None,"(Equivalent to HDFS 24011) Exploration of the sociological nature of families across the lifespan, focusing on
structure, diversity and life course processes such as dating, mate selection, cohabitation, marriage,
parenthood, divorce, remarriage, singlehood, widowhood, parent-child interactions, sexual orientation, inequality
and difference."
SOC 31092 ,"PRACTICUM IN SOCIOLOGY
",SOC,SOC 32210 and junior standing.,None,(Repeatable for credit)Individual research experience in sociology.
SOC 32096 ,"INDIVIDUAL INVESTIGATION IN SOCIOLOGY
",SOC,"SOC12050, junior standing and special approval of instructor. 
",None,(Repeatable for credit)Readings and/or research supervised by member of sociology faculty.
SOC 32210 ,"RESEARCHING SOCIETY
",SOC,SOC 12050 and junior standing.,None,"Survey of methods and techniques of research; research design and data gathering instruments; qualitative and
quantitative analysis."
SOC 32220 ,"DATA ANALYSIS
",SOC,SOC 12050. ,SOC 32221.,The use of quantitative methods in the analysis of data from social research. Emphasis on descriptive statistics.
SOC 32221 ,"DATA ANALYSIS LABORATORY
",SOC,None,SOC 32220.,Analysis of sociological data utilizing statistical and electronic data processing tools.
SOC 32400 ,"INDIVIDUAL AND SOCIETY
",SOC,SOC 12050.,None,"Foundations of social psychology; process of socialization; development of social and personal identities; small
group and collective behavior; theories of deviance."
SOC 32510 ,"SOCIOLOGY OF WORK
",SOC,SOC 12050.,None,"Consideration of world of work across time and cultures with special emphasis on American society. Impact of
work on individuals and other social institutions."
SOC 32560 ,"SOCIOLOGY OF FAMILIES
",SOC,SOC 12050.,None,"Social history of the American family. Examination of how race, ethnicity, sexual orientation, class, gender and
age contribute to variation in the experience and structure of family life in the U.S."
SOC 32565 ,"SOCIOLOGY OF GAYS/LESBIANS
",SOC,SOC 12050.,None,"Examination of sexual identities, societal attitudes and debates, and differences of gender, race, age and class in
gay/lesbian communities, using both social movements and life span perspectives."
SOC 32569 ,"MINORITIES IN AMERICA
",SOC,SOC 12050.,None,"Study of such major American minorities as blacks, American Indians, Spanish-speaking Americans and
American Jews."
SOC 32570 ,"INEQUALITY IN SOCIETIES
",SOC,SOC 12050.,None,"Sociological analysis of stratification and inequality in societies, and the social structures that produce and
maintain them. Particular emphasis on the intersections of race, class and gender in American society."
SOC 32673 ,"URBAN SOCIOLOGY
",SOC,SOC 12050.,None,"Examination of the history and development of urban areas, urban sociological theories and selected topics such
as poverty, immigration, race relations and urban planning."
SOC 32762 ,"DEVIANT BEHAVIOR
",SOC,SOC 12050.,None,"Overview of classical and contemporary theories and perspectives on the nature, causes and societal
management of deviant behavior. Application of theories and perspectives to modern and historical social
problems, methods of punishment and policy trends in social control."
SOC 42010 ,"DEATH AND DYING
",SOC,SOC 12050 and junior standing.,None,"Theoretical perspectives and research in human death and dying. Emphasis on applied concerns in medical and
helping professions. Topics include social death, death as taboo, medicalization and rationalization of death and
dying and disenfranchised grief."
SOC 42092 ,"INTERNSHIP IN SOCIOLOGY
",SOC,"Junior standing; and sociology (SOC)major and 2.500 grade point average and special approval. 
",None,"(Repeatable for credit)Application of sociological knowledge in the work setting. Assist professionals in sites
including social services hospitals industry and government."
SOC 42093 ,"VARIABLE TITLE WORKSHOP IN SOCIOLOGY
",SOC,Permission.,None,"(Repeatable for credit)Concentrates on professional or disciplinary concerns. Specific content to vary according
to needs of client groups. S u/graded."
SOC 42095 ,"SPECIAL TOPICS IN SOCIOLOGY
",SOC,SOC 12050 and junior standing.,None,"(Repeatable for credit)Offered irregularly when unusual resources and/or opportunities permit. Topic announced
when scheduled. Repeatable for a total of 12 hours for majors."
SOC 42126 ,"SOCIOLOGICAL THEORIES
",SOC,"SOC 12050 andjunior standing. 
",None,"An examination of classical, modern and postmodern approaches to social theory."
SOC 42224 ,"INTERPRETING SOCIAL DATA
",SOC,"SOC 32210 or SOC 32220; andspecial approval. 
",None,"Emphasis on organizing, analyzing and interpreting actual sociological research data making use of basic
descriptive and inferential statistics and computer programs."
SOC 42315 ,"SOCIOLOGY OF CHANGING GENDER ROLES
",SOC,"SOC 12050 and juniorstanding. 
",None,"An examination of the institutions, institutional linkages and social processes that contribute to change and
stability of traditional gender roles and the consequences of changes."
SOC 42359 ,"SOCIAL MOVEMENTS
",SOC,"SOC12050 and junior standing. 
",None,"(Slashed with SOC 52359) Investigation of various movements for social change. Examines the origins,
developmental characteristics and the purposes of classic and contemporary movements."
SOC 42400 ,"SELF AND IDENTITY
",SOC,SOC 12050 and junior standing.,None,"Examines theories and research on the origin and behavioral consequences of identities, self-concept and self-
esteem; also examines the relationships between identities and emotions and between self-concept and mental
health."
SOC 42421 ,"CHILDHOOD IN SOCIETY
",SOC,SOC 12050 and junior standing.,None,"How socio-historical circumstances shape the perception and experience of childhood as a distinct life stage. The
process of childhood socialization in Western societies particularly the U.S. An exploration of the distinct role of
socializing agents-parents and siblings, school, peers and media."
SOC 42478 ,"ADOLESCENCE IN SOCIETY
",SOC,"SOC 12050 and juniorstanding. 
",None,"Consideration of the social, cultural and historical forces that shape the experience of this period of the life cycle.
Includes examination of gender, class, and race differences in adolescence the significance of youth movements
with an emphasis on music as a dominant expression of youth culture."
SOC 42558 ,"WEALTH, POVERTY AND POWER
",SOC,SOC 12050 and junior standing.,None,"Sociological examination of economic stratification; focuses on the translation of class into power via politics,
education and collective struggle."
SOC 42559 ,"CULTURE AND SOCIETY
",SOC,SOC 12050 and sophomore standing.,None,"Overview of the sociological analysis of culture, popular culture and the media. Includes examination of key
theoretical perspectives, the production and consumption of culture, culture and inequality, and other current
issues in the sociological study of culture."
SOC 42560 ,"SOCIOLOGY OF FOOD
",SOC,SOC 12050.,None,"(Cross-listed with SOC 52560) Food is essential, but like every other aspect of our lives the meaning of food and
the experience of its preparation and consumption are socially determined. In this course we’ll explore the social
dimensions of food consumption and production. We will consider the following questions and answer them by
developing an understanding of sociological concepts and theories: What do our meals reveal about us – about
our history, culture, our gender and race and ethnicity, socio-economic status, religious beliefs, and our family
life? How does food consumption differ in different societies? How do the media and corporations influence our
food choices? What does food mean symbolize and in what ways are these meanings manipulated and why? How
is food production carried out in different contexts and what can we learn about the social organization of work
from studying food production? How does what we eat contribute to local and global environmental problems?"
SOC 42561 ,"SOCIOLOGY OF RELIGION
",SOC,SOC 12050 and junior standing.,None,Social context of religious ideologies and structures with special reference to religion in America.
SOC 42562 ,"SOCIOLOGY OF MENTAL ILLNESS
",SOC,SOC 12050 and junior standing.,None,"A sociology of mental health and illness; focuses on how social factors influence and are influenced by mental
health status; topics include definition and measurement, social distribution, social control of mental illness,
societal reaction and media coverage."
SOC 42563 ,"SOCIOLOGY OF HEALTH AND HEALTH CARE
",SOC,"SOC 12050 and juniorstanding. 
",None,"Sociological analysis of health and illness behavior, utilization of health care professions and the organizational
community and societal systems which deal with health and illness."
SOC 42564 ,"BUREAUCRATIC ORGANIZATIONS
",SOC,"SOC 12050and junior standing. 
",None,Analysis of structure and functioning of complex organizations in their cultural context.
SOC 42568 ,"RACE AND ETHNIC STUDIES
",SOC,SOC 12050 and junior standing.,None,"Sociological principles underlying racial and ethnic relations in the United States;emphasis on social factors of
prejudice, discrimination and assimilation affecting all groups."
SOC 42575 ,"FAMILY PATTERNS:A WORLD PERSPECTIVE
",SOC,SOC 12050 and junior standing.,None,"Cultural variability with respect to courtship, family relationships, child rearing and other patterns in primitive
and literate societies."
SOC 42577 ,"SOCIOLOGY OF FAMILY VIOLENCE
",SOC,"SOC 12050 and juniorstanding. 
",None,"Sociological analysis of theories, research and social policy concerning family violence, child abuse and neglect,
spouse abuse, elderly abuse, marital rape, sexual abuse of children."
SOC 42879 ,"AGING IN SOCIETY
",SOC,"SOC 12050 andjunior standing. 
",None,"Analysis of demographic, sociological and socio-psychological dimensions of aging."
