Course Number,Course Name,Department,Prerequisites,Corequesites,Description
SPAD 15000 ,"INTRODUCTION TO SPORT ADMINISTRATION
",SPAD,None.,None,"This course is designed to introduce students to the field of sport administration. Students will be made aware of
the career options available to them in the sport management profession. All course materials, assignments and
class discussions will emphasize both the understanding and application of key concepts across various aspects
of the sport industry. Students will also be introduced to the sport administration major curriculum and
requirements. Recommend first course in the sport administration program sequences."
SPAD 15015 ,"ORIENTATION TO PROFESSIONAL GOLF MANAGEMENT
",SPAD,Special approval.,None,"An overview of opportunities and responsibilities in the golf profession. Emphasis on concepts, techniques and
practices of teaching golf skills; understanding the PGA Constitution, rules of golf, tournament golf operations
and golf car fleet managment."
SPAD 25000 ,"SPORT IN SOCIETY
",SPAD,None.,None,"Analysis of how sport relates to the social relations and cultural values of United States society. The course is
framed by a critical evaluative perspective, examining how social class, ethnicity, race and gender relations
contour sport practices."
SPAD 25092 ,"PRACTICUM I IN SPORT ADMINISTRATION
",SPAD,special approval from instructor.,None,(Repeatable for credit) A 105-hour (per credit) field experience in a sport management setting.
SPAD 25192 ,"PRACTICUM IN PROFESSIONAL GOLF MANAGEMENT I
",SPAD,"SPAD 15015 and SPAD 25015 and specialapproval. 
",None,"(Repeatable for a maximum of 3 credit hours) A cumulative 105-hour (per credit) on-campus seminar and field
experience in a professional golf managment setting."
SPAD 35021 ,"GOVERNANCE IN SPORT
",SPAD,none.,None,Issues of governance in amateur and professional sports.
SPAD 35025 ,"FACILITY MANAGEMENT
",SPAD,Junior or senior standing.,None,"Overview of planning, staffing, marketing and managing sport facilities and complexes. The primary emphasis in
this course is on management, personnel and operations issues."
SPAD 35065 ,"HISTORY AND PHILOSOPHY OF SPORT AND PHYSICAL ACTIVITY
",SPAD,none.,None,"Historical and philosophical foundations of sport and physical education; a study of factors influencing
pedagogical, curricular and evaluation decisions in sport and physical education programs today."
SPAD 35092 ,"PRACTICUM II IN SPORT ADMINISTRATION
",SPAD,SPAD 25092 and special approval from instructor.,None,(Repeatable for credit) A 105-hour (per credit) field experience in a sport management setting.
SPAD 35192 ,"PRACTICUM IN PROFESSIONAL GOLF MANAGEMENT II
",SPAD,"SPAD 15015 and SPAD 25015 and SPAD25192 and special approval. 
",None,"(Repeatable for a maximum of 3 credit hours) A cumulative 105-hour (per credit) on-campus seminar and field
experience in a professional golf managment setting."
SPAD 45015 ,"GOLF MANAGEMENT II
",SPAD,SPAD 15015 and SPAD 25015 and SPAD 35015.,None,"An in-depth study of the business of golf. Topics include maintaining a high performance work environment and
motivating techniques for staff, delegating assignments, managing performance problems, merchandise
assortment plans, vendor relations, inventory management and merchandise display and promotion."
SPAD 45021 ,"ORGANIZATION AND ADMINISTRATION OF ATHLETICS
",SPAD,none.,None,"An understanding of theories necessary to run an efficient athletic department at all levels, including budgeting,
leadership and administrative theory, organizational structure, personnel, legal issues and facilities."
SPAD 45022 ,"EVENT PLANNING AND PRODUCTION
",SPAD,"junior or seniorstanding and MKTG 25010. 
",None,"(Cross-listed with SRM 55022) Students learn the proper planning process that all sports events undergo.
Students then apply these concepts in actual events that they develop and hold."
SPAD 45023 ,"SPORT MARKETING
",SPAD,"MKTG25010. 
",None,"The course, which is designed around market planning, examines how to formulate market ideas, incorporate
market research, select segmentation, targeting and positioning strategies, implement sales and promotion
strategies and assess control procedures within the sport and entertainment industry."
SPAD 45024 ,"SPORT IN GLOBAL PERSPECTIVE
",SPAD,Senior stading.,None,"(Slashed with SRM 55024) Students critically analyze how sport relates to general features of globalization and
the connection between global and local politics (including ethnic, religious, gender, environmental and
sociospacial politics). The underlying assumption is that sport is part of a growing network of global
interdependencies that bind human beings together."
SPAD 45026 ,"SPORT AND THE MEDIA
",SPAD,Junior or senior standing.,None,"(Cross-listed with SRM 55026) An introduction to current scholarship and issues concerning sport and the
media,including critical analysis of media representations with attention to gender, race, sexuality and disability,
an examination of the structure of sports journalism and production; and a general analysis of the role of
mediated sport in our culture. As such, the roles of institutions, producers, texts and audiences and their
relationships to each other are examined."
