Course Number,Course Name,Department,Prerequisites,Corequesites,Description
ARTE 31001 ,"ART EDUCATION: FOUNDATIONS AND CONCEPTS ELEMENTARY
",ARTE,2.750 GPA and sophomore standing in art education.,None,"An introduction to art education concepts. Emphasis on child development and on teaching the expressive and
 responsive dimensions of art in the early grades. Eleven field clinical hours are associated with this course."
ARTE 31004 ,"ART EDUCATION:TEACHING PRACTICUM
",ARTE,2.750 GPA and ARTE 31001.,None,"A teaching experience for applying art education concepts. Analysis of instructional problems emphasized. Fifty-
four field and/or clinical hours are associated with this course."
ARTE 31005 ,"ART EDUCATION-SPECIAL TOPICS
",ARTE,Permission of instructor.,None,(Repeatable for credit) Special topics (experimental course).
ARTE 31096 ,"INDIVIDUAL STUDY-ART EDUCATION
",ARTE,special approval.,None,(Repeatable for credit)Additional study in areas of a student's choice in consultation with adviser.
ARTE 41002 ,"ART EDUCATION: FOUNDATIONS AND CONCEPTS - SECONDARY
",ARTE,2.750 GPA and ARTE 31004.,None,"An examination of relationships between content, materials and strategies for teaching art to students in grades
 7 - 12 and students with special needs. Nine field andor clinical hours are associated with this course."
ARTE 41003 ,"ART EDUCATION:FIELD EXPERIENCES
",ARTE,2.75 GPA and ARTE 41002.,None,"A planning and teaching experience for teaching art in various settings; analysis of classroom situations
 emphasized. Fifty-four field and/or clinical hours are associated with this course. ARTE 41002 may be taken
with this course if given special approval."
ARTE 41004 ,"PRE-KINDERGARTEN-12 DESIGN EDUCATION
",ARTE,none.,None,"(Slashed with ARTE 51004) Develop lessons that address environment design, communication design, product
 design and interactive design, as well as research methods and the use of materials that are appropriate for
 students in elementary and secondary schools. The design process and design thinking, adapted specifically for
 the context of PreK-12 education, will be taught. The assignments are created around design issues that
 integrate with other subject areas, have relevance to young students’ lives and connect to the National and
 Ohio Content Standards."
ARTE 41009 ,"ART EDUCATION MAJOR REVIEW
",ARTE,2.750 GPA; and pre- or ,None,"Examination of student's knowledge, proficiency and ability to apply concepts in art and art education."
ARTE 41092 ,"FIELD EXPERIENCE:TRAVEL STUDY IN ART EDUCATION
",ARTE,"Major in art education or special approvalof instructor.
",None,"(Repeatable for credit) (Cross-listed with ARTE 51092) Travel-based study/field experience in art education to
 and at a site or sites away from Kent State University."
ARTE 41096 ,"INDIVIDUAL STUDY-ART EDUCATION
",ARTE,special approval.,None,(Repeatable for credit)Additional study in areas of students' choice in consultation with adviser.
ARTE 41525 ,"ART EDUCATION:INQUIRY INTO PROFESSIONAL PRACTICE
",ARTE,2.750 GPA and ARTE 41009 and special approval.,ARTE 41557.,"(Cross-listed with ARTE 51525) Concepts and practices related to teaching art. Inquiry into art teaching as a
 professional practice. Emphasis is on teacher as critical disciplined investigator. Twenty-six field and/or clinical
 hours are associated with this course."
ARTE 41557 ,"ART EDUCATION:STUDENT TEACHING AND SEMINAR
",ARTE,2.750 overall and major GPA and ARTE 41009. ,"ARTE 41525; and specialapproval; and Official valid certification of Child Safety Training, approved Basic Life Support and A.L.I.C.E.
 Training must be presented to the campus office of clinical experience or designated faculty/staff at Regional
 campuses as prerequisite for student teaching.
","Provides a 10-week student teaching experience and associated seminar. See student teaching section in
 catalog."
ARTE 51002 ,"ART EDUCATION: FOUNDATIONS AND CONCEPTS SECONDARY
",ARTE,"Graduate standing, 2.750 GPA and ARTE 31004.",None,"An examination of relationships among content, materials and strategies for teaching art to students in grades
 7 - 12 and students with special needs. Nine field andor clinical hours are associated with this course."
