Course Number,Course Name,Department,Prerequisites,Corequesites,Description
EDAD 40093 ,"VARIABLE TITLE WORKSHOP IN EDAD
",EDAD,None.,None,(Repeatable for credit) (Cross-listed with EDAD 50093 and EDAD 70093)
EDAD 50093 ,"VARIABLE TITLE WORKSHOP IN EDUCATIONAL ADMINISTRATION
",EDAD,Graduate standing.,None,"(Repeatable for credit) (Cross-listed with EDAD 40093 and EDAD 70093) Variable title workshop in educational
 administration."
EDAD 60199 ,"THESIS I
",EDAD,Graduate standing.,None,"Thesis students must register for a total of 6 hours, 2 to 6 hours in a single semester distributed over several
 semesters if desired."
EDAD 60299 ,"THESIS II
",EDAD,EDAD 60199. Graduate standing.,None,Thesis students must continue registration each semester until all degree requirements are met.
EDAD 66492 ,"INTERNSHIP IN EDUCATIONAL ADMINISTRATION
",EDAD,Graduate standing.,None,"(Repeatable for a maximum of 6 credit hours) (Cross-listed with EDAD 76492) A field-based internship utilizing
 an inquiry-based learning model, requiring projects as designated by the program area faculty. Specific topics
 are outlined and shared at meetings prior to beginning internship. Students are required to complete Bureau of
 Criminal Investigation and Identification (BCII) and Federal Bureau of Investigation (FBI) background checks
 and submit the results to authorized personnel at their assigned school-agency before the first day of the
 semester in which student teaching internship will take place."
EDAD 66515 ,"FACILITIES PLANNING AND ADMINISTRATION
",EDAD,"Graduatestanding.
",None,"(Cross-listed with EDAD 76515) Overview of facilities planning and administration, including architectural/
 construction management, the educational program, restoration and maintenance."
EDAD 66517 ,"ADMINISTRATION AND SUPERVISION OF SPECIAL EDUCATION
",EDAD,Graduate standing.,None,"(Cross-listed with EDAD 76517) Administration of educational programs for exceptional children: improvement
 of teacher competencies; function of special education supervisors; and special education operations at a local,
 state and national level."
EDAD 66518 ,"LAW AND SPECIAL EDUCATION
",EDAD,"Graduatestanding.
",None,"(Cross-listed with EDAD 76518) Constitutional, statutory and case law involving handicapped infants and
 students; special education teachers and administrators and parents are studied."
EDAD 66520 ,"SCHOOL LAW FOR TEACHERS AND PRINCIPALS
",EDAD,Graduate standing.,None,"(Cross-listed with EDAD 76520) Selected principles of constitutional, statutory case and common law affecting
 the administration of schools generally and Ohio schools specifically."
EDAD 66522 ,"PUBLIC SCHOOL FINANCE AND ECONOMICS
",EDAD,EDAD 66526 and graduate standing.,None,"(Cross-listed with EDAD 76522) Analysis of national, state and local problems of collection custody and
 expenditure of public school funds."
EDAD 66525 ,"THE EDUCATIONAL PRINCIPALSHIP
",EDAD,EDAD 6/76526; 16 hrs of Ed Admin; graduate standing.,None,"(Cross-listed with EDAD 76525) Organizing and administering elementary, middle level and secondary
 schools."
EDAD 66526 ,"FUNDAMENTALS OF EDUCATIONAL ADMINISTRATION
",EDAD,Graduate standing.,None,"(Cross-listed with EDAD 76526) Examines theory and practice essential for administration. Skills and
 understanding are developed in theory goal setting staff development."
EDAD 66527 ,"SCHOOL FINANCE FOR BUILDING ADMINISTRATORS
",EDAD,"Major in Educational Administration - K-12Leadership (EAKL), Higher Education and Student Personnel (EAHE) or Educational Administration-Higher
 Education (EDHE) and graduate standing.
",None,"(Cross-listed with EDAD 76527) Identification of the responsibilities of the school building administrator related
 to all financial operations in the school building; included are the budget process and development, student
 accounts, the purchase order process and fund raising and school groups. This course is a requirement for the
 principal license and an elective course in EDAD."
EDAD 66529 ,"LEADING FOR SOCIAL JUSTICE
",EDAD,graduate standing.,None,"(Cross-listed with EDAD 76529) Centers on investigating a broad research agenda on leading for social justice
 within educational leadership. Provides a context for candidates to establish strong connections between what it
 means to lead and the primary concerns for learning and equity, which are associated with increased
2014 Kent State University Catalog - Spring 2015 Course Descriptions Page 591
performance and effectiveness for American education. Candidates engage in concepts such as equity audits,
 border culture, hegemony, moral transformation and other concepts aligned with leading 21st century schools.
 Such concepts encourage school leaders to reconsider the influence of wider social, political, cultural and
 economic contexts in creating transformative and revolutionary schools."
EDAD 66531 ,"INSTRUCTIONAL LEADERSHIP
",EDAD,graduate standing.,None,"(Cross-listed with EDAD 76531) Focuses on the administrative role pertaining to the leadership, management,
 and evaluation of quality and effective school classroom instruction. Building administrators are responsible for
 providing the resource for effective instruction, which result in student learning. The key to effective instruction
 at any level requires a solid grounding in curriculum theory and design. Designed to provide the tools that
 administrators need to oversee the development, production, monitoring and evaluation of instructional
methods and strategies."
EDAD 66533 ,"CENTRAL OFFICE ADMINISTRATION:CURRICULUM AND PUPIL SERVICES
",EDAD,graduate standing.,None,"(Cross-listed with EDAD 76533) Analyzes roles and responsibilities of central office personnel with an emphasis
 on curriculum, pupil, and support services as impacted by current educational policy, and practice and focused
 on impacting the achievement of all students."
EDAD 66534 ,"THE SUPERINTENDENCY
",EDAD,EDAD 6/76526. Graduate standing.,None,(Cross-listed with EDAD 76534) Focuses on major responsibilities of board of education and superintendent.
EDAD 66536 ,"THE ADMINISTRATOR'S ROLE IN CURRICULUM DEVELOPMENT
",EDAD,"majorin Educational Administration -K-12 Leadership (EAKL), Higher Education and Student Personnel (EAHE) or
 Educational Administration-Higher Education (EDHE) and graduate standing.
",None,"2014 Kent State University Catalog - Spring 2015 Course Descriptions Page 592
(Cross-listed with EDAD 76536) Focusing on the administrative role pertaining to the development,
 management and evaluation of a quality and effective district school classroom curriculum."
EDAD 66538 ,"ADMINISTRATION OF SCHOOL CULTURE, POLITICS AND REFORMS
",EDAD,graduate standing.,None,"Focuses on administrative roles in assessing, leading, developing and reforming school culture. Centers on
 building and district administrators, who are responsible for providing the cultural frameworks and context of
 school culture through politics and reform efforts. The key to effective school reform requires a solid
understanding of micropolitics as well as policy and practice at a state and national level. Designed to provide
 educational leaders with tools to assess school and district-wide cultural practices and norms as well as the skill
 sets to disrupt and change them."
EDAD 66540 ,"WOMEN IN LEADERSHIP
",EDAD,"Graduatestanding.
",None,"(Cross-listed with EDAD 76540) An interactive study of women's development and its effect on their dispositions
 toward leadership. Provides theoretical contract to traditional management theory."
EDAD 66542 ,"PRINCIPLES AND TECHNIQUES OF SUPERVISION
",EDAD,Graduate standing.,None,"(Cross-listed with EDAD 76542) Principles and techniques needed by administrative specialists and supervisors
 and given. Research findings include changing human relations, group processes, communications, observations
 and conferencing skills."
EDAD 66544 ,"COMMUNITY RELATIONS AND COMMUNICATION SKILLS
",EDAD,graduate standing.,None,"2014 Kent State University Catalog - Spring 2015 Course Descriptions Page 593
(Cross-listed with EDAD 76544) Centers on encouraging school leaders to consider the way in which children's
 learning is influenced by behaviors and perspectives of family members, school personnel and members of the
 larger community. Educators and school leaders have much to gain by deepening their understanding of how
 students learn from their family and cultural backgrounds, which fosters more inclusive school practices.
 Candidates investigate the influence of such collaborations and their role in upholding the ethical responsibility
 to promote children's welfare."
EDAD 66591 ,"SEMINAR IN EDUCATIONAL ADMINISTRATION
",EDAD,Graduate standing.,None,(Repeatable for credit)Seminar in educational administration.
EDAD 66595 ,"SPECIAL TOPICS IN EDUCATIONAL ADMINISTRATION
",EDAD,Graduate standing.,None,"(Repeatable for credit) (Cross-listed with EDAD 76595) Specialized offerings in response to emerging or
 selected program needs."
EDAD 66596 ,"INDIVIDUAL INVESTIGATION IN EDUCATIONAL ADMINISTRATION
",EDAD,"Grading standing andspecial approval.
",None,(Repeatable for credit) (Cross-listed with EDAD 76596) Projects as assigned.
EDAD 66598 ,"RESEARCH IN EDUCATIONAL ADMINISTRATION
",EDAD,Graduate standing and special approval.,None,(Repeatable for credit)Projects as assigned.
EDAD 66602 ,"TECHNOLOGY LEADERSHIP IN EDUCATION
",EDAD,graduate standing.,None,"(Cross-listed with EDAD 76602) Prepares educational administrators to be leaders in the advancement of the
 appropriate integration of technology. Current and prospective administrators increase their understanding of
 how technology can be used as a tools for teaching, learning, assessment, management, planning and
 communications. The development and implementations of vision for educational technology is addressed, as
 well as social and ethical issues."
EDAD 66747 ,"PERSONNEL
",EDAD,"Graduatestanding.
",None,"(Cross-listed with EDAD 76747) Administration of education staff at building and central office levels; scope and
 depth of supervisory responsibilities and development of evaluation techniques."
EDAD 66750 ,"COACHING AND MENTORING FOR TEACHER LEADERS
",EDAD,graduate standing.,None,"Focuses on developing the knowledge, skills, and dispositions necessary for teacher leaders to provide high
 levels of effective coaching and mentoring for improving teaching practices and learning for all students. specific
 approaches related to mentoring, coaching and per assistance will be examined and practiced."
EDAD 66751 ,"INSTRUCTIONAL LEADERSHIP FOR TEACHER LEADERS
",EDAD,graduate standing.,None,"This course provides the tools that teacher leaders need to engage in the development, production, monitoring
 and evaluation of instructional methods and strategies."
EDAD 70093 ,"VARIABLE TITLE WORKSHOP IN EDUCATIONAL ADMINISTRATION
",EDAD,Doctoral standing.,None,(Repeatable for credit) (Cross-listed with EDAD 40093 and EDAD 50093) Variable title workshop in EDAD.
