Course Number,Course Name,Department,Prerequisites,Corequesites,Description
GEOG 10160 ,"INTRODUCTION TO GEOGRAPHY
",GEOG,none.,None,"Emphasizes processes that generate diverse global human and environmental patterns. Interaction of
 geographical elements as expressed in spatial organization of cities, land use and cultural and political regions."
GEOG 16001 ,"SOIL AND HORTICULTURAL MANAGEMENT
",GEOG,None.,None,"To provide students with an understanding of the relationship of soil, nutrients and fertilizers, and to
 understand how to properly plant trees, shrubs and flowers. Offered at Salem campus only."
GEOG 17063 ,"WORLD GEOGRAPHY
",GEOG,None.,None,"Examination and comparison of geographic conditions in different regions of the world. Stresses inter-
relationships between people and resources within and between regions and countries."
GEOG 17064 ,"GEOGRAPHY OF THE UNITED STATES AND CANADA
",GEOG,None.,None,"Analysis of the spatial patterns of significant human and physical characteristics and interpretation of the major
 regions within the two nations."
GEOG 20195 ,"SPECIAL TOPICS IN GEOGRAPHY
",GEOG,None.,None,"(Repeatable for credit)Explores emerging topics in geography not covered in other existing courses. Variable
 content course."
GEOG 21062 ,"PHYSICAL GEOGRAPHY
",GEOG,none.,None,"Introduction to the study of the spatial characteristics of the Earth's physical environment, including how
 humans interact with it. Topics include weather and climate, vegetation, soils, ecosystems, landforms and land-
formation processes, human impacts on Earth systems and human societal adaptations to the physical
 environment."
GEOG 21063 ,"PHYSICAL GEOGRAPHY LABORATORY
",GEOG,None,GEOG 21062.,"Practical experience examining physical geographic processes, including the study and manipulation of map
 projections, Earth-sun relationships and experiments relating to the atmosphere, biosphere, lithosphere and
hydrosphere."
GEOG 22040 ,"INTRODUCTION TO GLOBAL TOURISM
",GEOG,None.,None,"(Cross-listed with RPTM 26060) Introduction to travel and tourism around the world, including tourism
 technologies, cultural and natural environments as attractions, benefits of travel, travel ethics, and sustainable
 development."
GEOG 22061 ,"HUMAN GEOGRAPHY
",GEOG,none.,None,"Introduction to the field of human geography. Topics include population migration, folk and popular culture,
 language, religion, ethnicity, political geography, development, agriculture, industry, services, urban patterns
 and resource problems. Emphasis is placed on historic and current spatial patterns and reasons for their
 change."
GEOG 22070 ,"NATURE AND SOCIETY
",GEOG,None.,None,"Provides an introduction to interdisciplinary perspectives in nature-society scholarship, focusing on human
2014 Kent State University Catalog - Spring 2015 Course Descriptions Page 788
dimensions of environmental problem domains such as natural resources, ecosystems, climate, and
 sustainability. It provides a balance of theory and application to illustrative case studies."
GEOG 29160 ,"MAPPING OUR WORLD
",GEOG,None.,None,"Introduction to maps and their uses, stressing their importance as a vehicle for understanding and
 communicating information about our world and its spatial characteristics."
GEOG 31062 ,"FUNDAMENTALS OF METEOROLOGY
",GEOG,None.,None,"Analysis of weather elements emphasizing energy exchanges and controls, and atmospheric circulation.
 Methods of weather prediction and man's modification of weather are highlighted."
GEOG 31064 ,"PRINCIPLES OF CLIMATOLOGY
",GEOG,GEOG 31062.,None,"A study of the physical processes causing the distribution of world climates. Focus on local and urban climates,
 climatic change and societal impacts of climate."
GEOG 31070 ,"POPULATION AND THE ENVIRONMENT
",GEOG,None.,None,"This course examines the interrelations of population growth, resource depletion and the environment from a
 geographic perspective including the principal themes of space and place."
