Course Number,Course Name,Department,Prerequisites,Corequesites,Description
HPM 50196 ,"INDIVIDUAL INVESTIGATION IN HEALTH POLICY AND MANAGEMENT
",HPM,graduate standing and special approval.,None,"(repeatable for maximum 6 credits) Individual graduate investigation or research in areas related to health
 policy and management."
HPM 52015 ,"EMERGING ISSUES IN PUBLIC HEALTH POLICY AND MANAGEMENT
",HPM,graduate standing.,None,"(Cross-listed with HPM 72015) An overview of emerging challenges in public health policy and management.
 Examples include pandemic H1N1 response, bio preparedness, national health care reform, public health
 financing challenges, global tuberculosis drug resistance."
HPM 52016 ,"PUBLIC HEALTH ADMINISTRATION
",HPM,graduate standing.,None,"Public health administration comprises efforts to improve the health of communities. Provides an overview for
 public health administration and practice, including organization, law, legislative relations, financing, workforce
 issues, leadership and surveillance."
HPM 53003 ,"HEALTH CARE SYSTEMS
",HPM,graduate standing.,None,"Provides a systems approach to delivering health care and public health services in the US. Includes an
 overview of public health, outpatient, inpatient, managed care, long term care and health services for special
populations."
HPM 53004 ,"PUBLIC HEALTH POLICY, LAW AND ETHICS
",HPM,graduate standing.,None,"Provides a comprehensive review of health policymaking, public health law and ethical principles as applied to
 public health decision making."
HPM 53005 ,"FINANCIAL MANAGEMENT FOR PUBLIC HEALTH ORGANIZATIONS
",HPM,graduate standing.,None,"Provides an overview of financial management of public health organizations. Topics include planning for public
2014 Kent State University Catalog - Spring 2015 Course Descriptions Page 985
health program budgeting, understanding costs and short and long term financing, accountability and control,
 reporting results and financial statement and financial conditions analysis."
HPM 53006 ,"COST BENEFIT ANALYSIS IN PUBLIC HEALTH PROGRAMS
",HPM,graduate standing.,None,"Provides an overview of cost-benefit analysis as applied to the evaluation of public health programs. Students
 apply principles of cost benefit analysis and related cost utility analysis to case studies in the public health
 sector."
HPM 53007 ,"PUBLIC HEALTH PROGRAMS: PLANNING, IMPLEMENTATION AND EVALUATION
",HPM,graduate standing.,None,"Overview of developing, implementing and evaluating public health programs. Examines how public health
 programs can target different levels within a population, different determinants of health and strategies and
 interventions."
HPM 53008 ,"FOUNDATIONS FOR EFFECTIVE PUBLIC HEALTH LEADERSHIP
",HPM,graduate standing.,None,"Intended to provide students with an initial exploration of the leadership practices of public health leaders with
 an understanding of the basic skill set necessary for successful leadership on a continuing basis."
HPM 53009 ,"WHOLE SYSTEMS APPROACHES TO LEADING ORGANIZATIONAL CHANGE IN PUBLIC
",HPM,graduate standing. Pre or ,None,"HEALTH
Intended to provide students with an initial exploration and overview of whole systems approaches to
 organizational change in public health settings, a more detailed working knowledge of key whole systems
methodologies, and a detailed working knowledge and practical experience with one of the most frequently
 used and favored whole systems approaches."
