Course Number,Course Name,Department,Prerequisites,Corequesites,Description
KBM 40026 ,"ACCOMPANYING PROJECTS
",KBM,Audition.,None,"(Repeatable for a maximum of 8 credit hours) rotating piano assignment among responsibilities in chamber
 music rehearsals,chamber music preparation master classes and instrumental private lessons. Individual
responsibilities change weekly."
KBM 40031 ,"CHAMBER MUSIC
",KBM,"Audition.2014 Kent State University Catalog - Spring 2015 Course DescriptionsPage 1124
",None,"(Repeatable for a maximum of 8 credit hours) rehearsal,coaching and performance of representative chamber
 repertoire from the baroque era through the twentieth century. Woodwinds horn strings and piano. Intensive
 daily rehearsal and coaching."
KBM 40032 ,"ORCHESTRAL REPERTOIRE AND TECHNIQUE
",KBM,Audition.,None,"(Repeatable for a maximum of 2 credit hours) study and performance of standard orchestral repertoire and
 common audition requirements. Technical and interpretive approaches relating specifically to orchestral
 performance. Woodwinds horn and strings."
KBM 40093 ,"VARIABLE TITLE WORKSHOP IN MUSIC
",KBM,Permission.,None,(Repeatable for credit)Offered for specific professional needs. Emphasis on performance and pedagogical skills.
KBM 50026 ,"ACCOMPANYING PROJECTS
",KBM,Graduate standing and audition.,None,"(Repeatable for a maximum of 8 credit hours) Rotating piano assignment among responsibilities in chamber
 music rehearsals, chamber music preparation, master classes and instrumental private lessons. Individual
 responsibilities change weekly."
KBM 50031 ,"CHAMBER MUSIC
",KBM,Graduate standing and audition.,None,"(Repeatable for credit) Rehearsal, coaching and performance of representative chamber repertoire from the
 Baroque Era through the twentieth century. Woodwinds, horn, strings and piano. Intensive daily rehearsal and
 coaching."
KBM 50032 ,"ORCHESTRAL REPERTOIRE AND TECHNIQUE
",KBM,Graduate standing and audition.,None,"(Repeatable for a maximum of 2 credit hours) Study and performance of standard orchestral repertoire and
 common audition requirements. Technical and interpretive approaches relating specifically to orchestral
 performance. Woodwinds, horn and strings."
KBM 50093 ,"VARIABLE TITLE WORKSHOP IN MUSIC
",KBM,Graduate standing and special approval.,None,(Repeatable for credit)Offered for specific professional needs. Emphasis on performance and pedagogical skills.
KBM 70026 ,"ACCOMPANYING PROJECTS
",KBM,Doctoral standing and special approval.,None,"(Repeatable for a maximum of 8 credit hours) Rotating piano assignment among responsibilites in chamber
 music rehearsals, chamber music preparation, master classes and instrumental private lessons. Individual
 responsibilities change weekly."
KBM 70031 ,"CHAMBER MUSIC
",KBM,Doctoral standing and special approval.,None,"(Repeatable for credit) Rehearsal, coaching and performance of representative chamber repertoire from the
 Baroque era through the twentieth century. Woodwinds, brass, strings and piano. Intensive daily rehearsal and
 coaching."
KBM 70032 ,"ORCHESTRAL REPERTOIRE AND TECHNIQUE
",KBM,Doctoral standing and special approval.,None,"(Repeatable for a maximum of 2 credit hours) Study and performance of standard orchestral repertoire and
2014 Kent State University Catalog - Spring 2015 Course DescriptionsPage 1126
common audition requirements. Technical and interpretive approaches relating specifically to orchestral
 performance. Woodwinds, horn and strings."
KBM 70093 ,"VARIABLE TITLE WORKSHOP IN MUSIC
",KBM,Doctoral standing and special approval.,None,(Repeatable for credit)Offered for specific professional needs. Emphasis on performance and pedagogical skills.
