Course Number,Course Name,Department,Prerequisites,Corequesites,Description
MCED 30001 ,"TEACHING MATHEMATICS IN MIDDLE CHILDHOOD I
",MCED,"EPSY 29525; and MATH 14001 and MATH 14002; andadmission to advanced study.
",None,"Examine issues and trends in mathematics and mathematics education. Theories of the teaching and learning of
 mathematics will be addressed within the context of problem solving, communications, reasoning and
connections with other disciplines."
MCED 30002 ,"INTEGRATED SOCIAL STUDIES AND SCIENCE IN MIDDLE CHILDHOOD
",MCED,Admission to advanced study.,None,"Introductory methods course integrating social studies and science. Emphasis on principles of teaching and
 learning as applied to teaching to social issues and problems appropriate for middle childhood students."
MCED 31000 ,"TEACHING AND LEARNING IN MIDDLE CHILDHOOD
",MCED,"Admission to advanced study andmiddle childhood education (MCED) major.
",None,"Theories of learning and classroom management and their application to teaching in grades 4-9 classrooms with
 diverse learners. 15 credit hours of field experience in grades 4-5. Students are required to complete Bureau of
 Criminal Investigation and Identification (BCII) and Federal Bureau of Investigation (FBI) background checks
 and submit the results to authorized personnel at their assigned ¿school/agency¿ before the first day of the
 semester in which student teaching/ internship will take place."
MCED 40001 ,"TEACHING MATHEMATICS IN MIDDLE CHILDHOOD II
",MCED,"MCED 30001 and admission to advancedstudy.
",None,"To develop knowledge of the theories, materials and methods used to teach mathematics in the contemporary
 classroom for grades 4-9 and develop skill in their use."
MCED 40002 ,"TEACHING SCIENCE IN THE MIDDLE CHILDHOOD II
",MCED,MCED 30002 and admission to advanced study.,None,"Individual and group work develop effective techniques of teaching science concepts to 8-14 year olds.
 Attention given to methods equipment safety and planning. This course includes 40 field clinical hours. Students
 are required to complete Bureau of Criminal Investigation and Identification (BCII) and Federal Bureau of
 Investigation (FBI) background checks and submit the results to authorized personnel at their assigned
 ¿school/agency¿ before the first day of the semester in which student teaching/ internship will take place."
MCED 40003 ,"TEACHING SOCIAL STUDIES IN MIDDLE CHILDHOOD II
",MCED,MCED 30002 and admission to advanced study.,None,"Advanced methods course. Examines the purpose of citizenship education and understanding the role of history
 and the social sciences. Applying the principles of powerful teaching. Includes a major field experience at the
 student teaching site. Students are required to complete Bureau of Criminal Investigation and Identification
 (BCII) and Federal Bureau of Investigation (FBI) background checks and submit the results to authorized
 personnel at their assigned ¿school/agency¿ before the first day of the semester in which student teaching/
internship will take place."
MCED 40005 ,"EFFECTIVE USE OF PHONICS IN READING
",MCED,Advanced study.,None,"The influence of theoretical perspectives on word identification instruction, an examination of the role of phonics
 in reading and writing strategies for effective phonics instruction and assessment."
MCED 40006 ,"READING AND WRITING IN MIDDLE CHILDHOOD
",MCED,Advanced study.,None,"Understanding of literacy learning in the middle childhood (ages 8-14) with emphasis on the development of
 reading and writing processes, strategies for text learning, literacy in electronic environments, authentic
 assessment and teaching children who struggle as readers."
MCED 40007 ,"TEACHING READING WITH LITERATURE IN MIDDLE CHILDHOOD
",MCED,"MCED 40006 and admission toadvanced study.
",None,"The study of the teaching of reading with literature with middle childhood students within an integrated
 language arts approach in a comprehensive literature program."
MCED 40045 ,"TEACHING MATHEMATICS IN THE INTERMEDIATE YEARS, GRADES 4-5
",MCED,ECED 40147 with a minimum grade of C.,None,"To develop knowledge of the theories, materials and methods used to teach mathematics in the contemporary
 classroom for grades 4-5 and develop skill in their use."
MCED 41000 ,"CURRICULUM AND ORGANIZATION IN MIDDLE CHILDHOOD
",MCED,"Admission to advanced study and middle childhood education (MCED) major and MCED31000.
",None,"History, philosophy, curricula and organization of schools serving early adolescents in grades 4-9. Emphasis on
 development of programs and curricula and early adolescent development. 15 credit hours of field experience in
 grades 6-9. Students are required to complete Bureau of Criminal Investigation and Identification (BCII) and
 Federal Bureau of Investigation (FBI) background checks and submit the results to authorized personnel at their
 assigned ¿school/agency¿ before the first day of the semester in which student teaching/ internship will take
 place."
MCED 42358 ,"STUDENT TEACHING IN MIDDLE CHILDHOOD
",MCED,"MCED 41000 and MCED 40007 andadmission to advanced study; and Official valid certification of Child Safety Training, approved Basic Life
 Support and A.L.I.C.E. Training must be presented to the campus office of clinical experience or designated
faculty/staff at Regional campuses as prerequisite for student teaching. ",MCED 49525.,"Full-time student teaching for sixteen weeks in two selected concentrations (mathematics, science, language
 arts, social studies) and reading in grades 4-5 or grades 6-7-8. Students are required to complete Bureau of
 Criminal Investigation and Identification (BCII) and Federal Bureau of Investigation (FBI) background checks
 and submit the results to authorized personnel at their assigned school-agency before the first day of the
 semester in which student teaching internship will take place."
MCED 46645 ,"CRITICAL INQUIRY AND INTEGRATION: SCIENCE AND SOCIAL STUDIES, GRADE 4
",MCED,special approval.,None,"Introduces students to fourth grade content using an interdisciplinary, iquiry approach to teaching and learning
 in science and social studies."
MCED 47745 ,"CRITICAL INQUIRY AND INTEGRATION: SCIENCE AND SOCIAL STUDIES, GRADE 5
",MCED,"specialapproval.
",None,"Engages students in the use and development of pedagogical content knowledge for teaching grade 5 using an
 interdisciplinary, inquiry approach to teaching and learning in science and social studies."
MCED 49525 ,"INQUIRY INTO PROFESSIONAL PRACTICE:MIDDLE CHILDHOOD
",MCED,MCED 41000 and MCED 40007. ,MCED 42358.,"A seminar linked to student teaching with an emphasis on action research as professional development;
 completion of professional portfolios; professional ethics; and legal, medical and ethical issues in teaching."
MCED 50002 ,"TEACHING SCIENCE IN MIDDLE CHILDHOOD II
",MCED,MCED 30002 and graduate standing.,None,"Individual and group work develop effective techniques of teaching science concepts to 8-14 year olds.
 Attention given to methods, equipment safety and planning. This course includes 40 field/clinical hours.
 Students are required to complete Bureau of Criminal Investigation and Identification (BCII) and Federal Bureau
 of Investigation (FBI) background checks and submit the results to authorized personnel at their assigned
 ¿school/agency¿ before the first day of the semester in which student teaching/ internship will take place."
MCED 50003 ,"TEACHING SOCIAL STUDIES IN MIDDLE CHILDHOOD II
",MCED,MCED 30002 and graduate standing.,None,"Advanced methods course. Examines the purpose of citizenship education and understanding the role of history
 and the social sciences. Applying the principles of powerful teaching. Includes a major field experience at the
 student teaching site. Students are required to complete Bureau of Criminal Investigation and Identification
 (BCII) and Federal Bureau of Investigation (FBI) background checks and submit the results to authorized
 personnel at their assigned ¿school/agency¿ before the first day of the semester in which student teaching/
internship will take place."
MCED 50005 ,"EFFECTIVE USE OF PHONICS IN READING
",MCED,"Graduatestanding.
",None,"The influence of theoretical perspectives on word identification instruction, an examination of the role of phonics
 in reading and writing, strategies for effective phonics instruction and assessment."
MCED 50006 ,"READING AND WRITING IN MIDDLE CHILDHOOD
",MCED,Graduate standing.,None,"Understanding of literacy learning in the middle childhood (classrooms grades 4-9) with emphasis on the
 development of reading and writing processes, strategies for text learning, literacy in electronic environments,
 authentic assessment and teaching children who struggle as readers."
MCED 50007 ,"TEACHING READING WITH LITERATURE IN MIDDLE CHILDHOOD
",MCED,"MCED 50006 and graduatestanding.
",None,"The study of the teaching of reading with literature with middle childhood students within an integrated
 language arts approach in a comprehensive literature program."
MCED 50045 ,"TEACHING MATHEMATICS IN THE INTERMEDIATE YEARS, GRADES 4-5
",MCED,"ECED 40147 with a minimum grade of C;and graduate standing.
",None,"To develop knowledge of the theories, materials and methods used to teach mathematics in the contemporary
 classroom for grades 4-5 and develop skill in their use."
MCED 52358 ,"STUDENT TEACHING IN MIDDLE CHILDHOOD
",MCED,"graduate standing;and Official valid certification of Child Safety Training, approved Basic Life Support and A.L.I.C.E. Training must
 be presented to the campus office of clinical experience or designated faculty-staff at Regional campuses as
prerequisite for student teaching. ",MCED 59525.,"Full-time student teaching for sixteen weeks on an interdisciplinary team in two selected concentrations
 (mathematics, language arts, social studies, science) and reading in grades 4-9. Students are required to
complete Bureau of Criminal Investigation and Identification (BCII) and Federal Bureau of Investigation (FBI)
 background checks and submit the results to authorized personnel at their assigned school-agency before the
 first day of the semester in which student teaching internship will take place."
MCED 56645 ,"CRITICAL INQUIRY AND INTEGRATION: SCIENCE AND SOCIAL STUDIES, GRADE 4
",MCED,special approval and graduate standing.,None,"Introduces students to fourth grade content using an interdisciplinary, inquiry approach to teaching and
 learning in science and social studies."
MCED 57745 ,"CRITICAL INQUIRY AND INTEGRATION: SCIENCE AND SOCIAL STUDIES, GRADE 5
",MCED,"graduatestanding and special approval.
",None,"Engages students in the use and development of pedagogical content knowledge for teaching grade 5 using an
 interdisciplinary, inquiry approach to teaching and learning in science and social studies."
MCED 59525 ,"INQUIRY INTO PROFESSIONAL PRACTICE MIDDLE CHILDHOOD
",MCED,Minimum grade of C (2.000) in CI 67107 and in MCED 50007 and graduate standing.,None,"A seminar linked to student teaching with an emphasis on action research as professional development,
 completion of professional portfolios, professional ethics and legal, medical and ethical issues in teaching."
