Course Number,Course Name,Department,Prerequisites,Corequesites,Description
NUTR 10011 ,"NUTRITIONAL OUTREACH: A HOW-TO FOR LIFE-LONG HEALTHY EATING
",NUTR,none.,None,"Teaches basic nutrition information for healthy eating including the important nutritional aspects of cooking,
 shopping, dining and disease prevention related to dietary intake."
NUTR 23112 ,"INTRODUCTION TO THE PROFESSION: NUTRITION AND DIETETICS
",NUTR,none.,None,"Discusses academic requirements for successful completion of the Bachelor of Science in Nutrition, the history
 of the profession as well as current credentialing and licensing requirements. Explores the opportunities within
 the field of dietetics. Teaches methods to document academic, personal and professional skills."
NUTR 23511 ,"SCIENCE OF HUMAN NUTRITION
",NUTR,None.,None,"Basic concepts and principles in the science of human nutrition, energy balance and weight control, individual
 nutrient needs, diet selection, nutrition related metabolism and physiological functions, nutritional diseases and
 current human nutrition controversies."
NUTR 33512 ,"NUTRITION
",NUTR,"CHEM 10060 and CHEM 10061 andCHEM 20481; or CHEM 10050 and CHEM 10052; or CHEM 10054.
",None,"Functions, sources and interactions of essential nutrients. Nutritional needs of family members, methods of
 meeting these needs, sources of reliable nutrition information."
NUTR 33522 ,"APPLIED NUTRITION
",NUTR,Nutrition majors and NUTR 23511 and PSYC 11762 and SOC 12050.,None,"Application of nutrition principles including nutrition assessment, charting of medical records, interviewing,
 counseling, nutrition education, food exchange lists, nutrition surveys and dietary standards."
NUTR 41095 ,"SPECIAL TOPICS IN NUTRITION
",NUTR,None.,None,(Repeatable for credit)Discussion of a major topic within a specific field in nutrition and dietetics.
NUTR 41096 ,"INDIVIDUAL INVESTIGATION IN NUTRITION
",NUTR,"Written permission frominstructor.
",None,(Repeatable for credit)Independent study in nutrition and dietetics.
NUTR 43013 ,"EXPERIMENTAL METHODS IN NUTRITION
",NUTR,NUTR 33512.,None,"Students will gain laboratory experience in the biochemical methods of assessing nutrition status and the
 identification of nutrition-related conditions. Principles of experimental design and data analysis and techniques
 of scientific writing will be applied."
NUTR 43016 ,"CULTURAL ASPECTS OF FOOD, NUTRITION AND HEALTH
",NUTR,NUTR 23511.,None,"Cultural overview of racial, ethnic and religious population groups residing in the United States and the impact
 on food habits, nutritional and health status, and counseling concerns."
NUTR 43512 ,"ADVANCED NUTRITION I
",NUTR,NUTR 33512.,None,"2014 Kent State University Catalog - Spring 2015 Course DescriptionsPage 1436
An exploration into the mechanisms through which macronutrients meet the human biological needs.
 Fundamental concepts underlying applied human nutrition. Evaluation and interpretation of research findings."
