Course Number,Course Name,Department,Prerequisites,Corequesites,Description
PHIL 11001 ,"INTRODUCTION TO PHILOSOPHY
",PHIL,None.,None,"An introduction to the diverse methods and subject matters of philosophy. Primary philosophic sources from
 varied philosophical traditions focus on at least three philosophic areas."
PHIL 11009 ,"CRITICAL THINKING
",PHIL,none.,None,"An exploration of the place of argument in reasoning through a consideration of the structure, expression and
 function of arguments. Attention is also given to the evaluation of arguments and the identification of common
 errors in reasoning."
PHIL 21001 ,"INTRODUCTION TO ETHICS
",PHIL,None.,None,"This course considers what constitutes ethics, not just which specific acts or act- kinds are ethical, using at least
 three primary philosophic sources from varied ethical traditions."
PHIL 21002 ,"INTRODUCTION TO FORMAL LOGIC
",PHIL,None.,None,"Techniques of formal logic, traditional and contemporary."
PHIL 30015 ,"MEDICINE AND MORALITY
",PHIL,None.,None,"A philosophical exploration of at least three issues related to current medical practices, which may include
 ethical, religious, legal and clinical aspects."
PHIL 30025 ,"ENVIRONMENTAL ETHICS
",PHIL,None.,None,"A philosophical examination of ethical issues in environmental studies, including topics such as: animal ethics
 and the sources of our food; the value of nature and environmental aesthetics; sustainability and biodiversity;
 ecofeminism, social justice and radical ecology; and the human response to climate change. The course is
 designed to complement fields of study such as geography, environmental studies and biology."
PHIL 31001 ,"ANCIENT GREEK PHILOSOPHY
",PHIL,"at least oneof PHIL 11009 or PHIL 21002 or PHIL 41038; and at least one of PHIL 11001 or PHIL 21001.
",None,Examination of issues of Greek thought from its inception through Plato and Aristotle.
PHIL 31002 ,"MEDIEVAL PHILOSOPHY
",PHIL,"At least one of PHIL 11009 or PHIL 21002 or PHIL 41038; and at least one of PHIL11001 or PHIL 21001.
",None,"Examination of issues in medieval thought; for instance, the existence and nature of God and the problem of
 universals."
PHIL 31003 ,"CONTINENTAL RATIONALISM
",PHIL,"At least one of PHIL11009 or PHIL 21002 or PHIL 41038; and at least one of PHIL 11001or PHIL 21001.
",None,"Selections from Rationalists; for instance Descartes, Spinoza and Leibniz."
PHIL 31004 ,"BRITISH EMPIRICISM
",PHIL,"At least one of PHIL11009 or PHIL 21002 or PHIL 41038; and at least one of PHIL 11001 or PHIL 21001.
",None,"Selections from British Empiricists; for instance, Locke, Berkeley and Hume."
PHIL 31005 ,"GERMAN CRITICAL PHILOSOPHY
",PHIL,"At least one of PHIL 11009 or PHIL 21002 or PHIL 41038;and at least one of PHIL 11001 or PHIL 21001.
",None,Selections from Kant and post-Kantians.
PHIL 31006 ,"NINETEENTH-CENTURY PHILOSOPHY
",PHIL,"At least one of PHIL 11009 or PHIL 21002and at least one of PHIL 11001 or PHIL 21001.
",None,Selections from works of 19th-century philosophers.
PHIL 31010 ,"TWENTIETH-CENTURY PHILOSOPHY
",PHIL,"At least one of PHIL 11009 orPHIL 21002 or PHIL 41038; and at least one of PHIL 11001 or PHIL 21001.
",None,"Selections from the most influential schools of thought within 20th-century philosophy: existentialism,
 pragmatism, logical positivism, analytic philosophy, phenomenology."
PHIL 31020 ,"AMERICAN PHILOSOPHY
",PHIL,"At least one ofPHIL 11009 or PHIL 21002 or PHIL 31020; and at least one of PHIL 11001 or PHIL 21001.
",None,Selections from principal American philosophers from Colonial times to present.
PHIL 31030 ,"EXISTENTIALISM
",PHIL,"one course inphilosophy (PHIL).
",None,"Development and themes of existentialism. Students with junior standing or above, who have not taken a
 Philosophy (PHIL) course, should contact the department for a prerequisite override."
PHIL 31035 ,"PHILOSOPHY AND JUSTICE
",PHIL,"one course in Philosophy(PHIL).
",None,"Consideration of topics and issues in the general sphere of justice from different perspectives by classical and
 contemporary philosophers. Students with junior standing or above, who have not taken a Philosophy (PHIL)
 course, should contact the department for a prerequisite override."
PHIL 31040 ,"WOMEN AND PHILOSOPHY
",PHIL,"one course inphilosophy [PHIL].
",None,"Examines the influences and contributions of women to philosophy and the influences philosophy has had on
 women, either historically or currently. Students with junior standing or above, who have not taken a
Philosophy [PHIL] course should contact the department for a prerequisite override."
