Course Number,Course Name,Department,Prerequisites,Corequesites,Description
SPAN 18201 ,"ELEMENTARY SPANISH I
",SPAN,None.,None,An introduction to the Spanish language in the context of Hispanic cultures.
SPAN 18202 ,"ELEMENTARY SPANISH II
",SPAN,SPAN 18201.,None,A continuation of the introduction to the Spanish language in the context of Hispanic cultures.
SPAN 18301 ,"SPANISH FOR HEALTH CARE I
",SPAN,none.,None,"Introduction to the Spanish language in the context of health care situations, tasks and terminology and
 Hispanic cultures."
SPAN 18302 ,"SPANISH FOR HEALTH CARE II
",SPAN,SPAN 18301.,None,"A continuation of the introduction to the Spanish language in the context of health care situations, tasks and
 terminology and Hispanic cultures."
SPAN 28201 ,"INTERMEDIATE SPANISH I
",SPAN,SPAN 18202.,None,"A continuation of the development of listening, speaking, reading and writing skills using a variety of material
 on the Spanish language in the context of Hispanic cultures."
SPAN 28202 ,"INTERMEDIATE SPANISH II
",SPAN,SPAN 28201.,None,"A continuation of the development of listening, speaking, reading and writing skills using a variety of material
 on the Spanish language in the context of Hispanic cultures and specific areas of study like culture, business,
 justice, etc. Credit may be given for SPAN 28202 or SPAN 28206 but not for both."
SPAN 28206 ,"SPANISH READING FOR COMPREHENSION
",SPAN,SPAN 28201.,None,"Further develops skills and techniques for understanding written Spanish; conducted in English. Credit not
 applicable toward Spanish major or minor. Students may obtain credit in SPAN 28202 or SPAN 28206 but not
 both."
SPAN 38211 ,"SPANISH GRAMMAR AND COMPOSITION
",SPAN,SPAN 28202.,None,"This course provides an intensive grammar study and further written practice to help advanced intermediate
 students express complex ideas in Spanish."
SPAN 38213 ,"SPANISH READING AND CONVERSATION
",SPAN,SPAN 38211.,None,"This course provides reading techniques and develops oral skills to help advanced intermediate students
 express complex ideas in Spanish."
SPAN 38215 ,"SPANISH PHONETICS AND DICTION
",SPAN,SPAN 38211.,None,Study of the modern Spanish sound system with special emphasis on pronunciation and intonation.
SPAN 38231 ,"TRANSLATION PRACTICE:SPANISH
",SPAN,None,TRST 30230.,"Translation practice with Spanish texts using principles and techniques learned in the lecture class. To be taken
 concurrently with TRST 30230."
SPAN 38240 ,"CONVERSATION FOR BUSINESS AND SPECIAL PURPOSES:SPANISH
",SPAN,SPAN 38213.,None,"Introduction to the special vocabulary of business and other special subject areas; introduces the concept of
 language for special purposes and emphasizes the use of special vocabularies in conversations in business and
 other settings."
SPAN 38330 ,"EARLY SPANISH LITERATURE
",SPAN,SPAN 38211.,None,"2014 Kent State University Catalog - Spring 2015 Course DescriptionsPage 1760
Outline of development, reading of representative works to 1700."
SPAN 38331 ,"RECENT SPANISH LITERATURE
",SPAN,SPAN 38211.,None,"Outline of development, reading of representative works 1700 present."
SPAN 38334 ,"EARLY SPANISH-AMERICAN LITERATURE
",SPAN,SPAN 38211.,None,"Outline of development, reading of representative works including indigenous literature, 1492-1882."
SPAN 38335 ,"RECENT SPANISH-AMERICAN LITERATURE
",SPAN,SPAN 38211.,None,"Outline of the development of modern Spanish-American literature (1882 to the present). Reading of
 representative works."
SPAN 38421 ,"CIVILIZATION OF SPAIN
",SPAN,SPAN 38211.,None,General survey of evolution of Spanish civilization from antiquity to present day.
SPAN 38424 ,"CULTURE AND CIVILIZATION OF LATIN AMERICA
",SPAN,SPAN 38211.,None,"A thematic approach to the study of four or five representative Latin American countries focusing on 19th-and
 20th-century Latin American culture and society."
SPAN 48093 ,"VARIABLE TITLE WORKSHOP IN SPANISH
",SPAN,Departmental permission.,None,"(Repeatable for credit)Workshops individually designed to provide instruction and training in specific areas of
 hispanic studies. S u graded."
SPAN 48095 ,"SELECTED TOPICS IN SPANISH
",SPAN,"9 hoursabove 20000-level of Spanish (SPAN) courses.
",None,(Repeatable for a maximum of 9 credit hours)Topic announced in Schedule of Classes.
