Course Number,Course Name,Department,Prerequisites,Corequesites,Description
UD 55705 ,"FORCES THAT SHAPE CITIES
",UD,graduate standing.,None,"Course examines the forces that have shaped urban form through history, how they impact our cities today and
 the challenges they will pose for the future."
UD 60701 ,"URBAN DESIGN STUDIO I
",UD,"graduatestanding.
",None,"Introduction to urban design and its relationship to other design disciplines through the analysis of
 neighborhoods and the definition of comprehensive area improvement programs."
UD 60702 ,"URBAN DESIGN STUDIO II
",UD,UD 60701 and graduate standing.,None,"Urban design explorations of the formal relationships between buildings, open spaces and street sin the
 development of high density, mixed-use projects."
UD 60703 ,"URBAN DESIGN STUDIO III
",UD,UD 55705 and 60702 and 65102 and graduate standing.,None,"2014 Kent State University Catalog - Spring 2015 Course DescriptionsPage 1917
Design of a comprehensive redevelopment strategy and implementation strategies for an urban area of diverse
 existing character."
UD 60705 ,"CAPSTONE PROJECT PREPARATION
",UD,UD 60703 and graduate standing.,None,"Development of a rationale and structure for the independent design project to be completed in the final
 semester of the program."
UD 60798 ,"MASTERS PROJECT IN URBAN DESIGN
",UD,UD 60703 and 60705 and graduate standing.,None,"Independent urban design project, completed under the direction of an individual advisor selected from the
 graduate faculty."
UD 65101 ,"COMMUNITY DEVELOPMENT PROCESS
",UD,"UD 55705 and 60703 and 65102 and graduatestanding.
",None,"Advanced course on comprehensive community development. Case study analysis, qualitative research and
 work with community initiatives are required."
UD 65102 ,"URBAN SYSTEMS
",UD,"graduatestanding.
",None,"Introduction to urban systems in its socio-economic, environmental and engineering aspects: residential fabric,
 commercial sector, open space network, transportation systems, infrastructures."
UD 65632 ,"URBAN ECOLOGICAL SYSTEMS
",UD,UD 65102 and graduate standing.,None,"Study of how ecological systems in highly anthropocentric environments provide necessary ecological services.
 Emphasized is the role that water plays in activating the supporting, provisioning, regulating, and cultural
 ecosystem services required for human well-being."
UD 66995 ,"SPECIAL TOPICS IN URBAN DESIGN
",UD,graduate standing.,None,(Repeatable for credit)Special topics in urban design.
