Course Number,Course Name,Department,Prerequisites,Corequesites,Description
ANTH 18210 ,"INTRODUCTION TO CULTURAL ANTHROPOLOGY
",ANTH,None.,None,Exploration of human diversity through the analysis of world cultures.
ANTH 18420 ,"INTRODUCTION TO ARCHAEOLOGY
",ANTH,None.,None,"Archaeology is the study of the human past using material remains. The themes of time change and human
 diversity will be emphasized as students
learn about ancient societies and how they teach us about ourselves."
ANTH 18630 ,"HUMAN EVOLUTION
",ANTH,None.,None,"Introduction to basic evolutionary theory with a focus on the emergence and progressive development of the
 human species during the last five million years. Includes related topics such as primate behavior and human
 variation."
ANTH 18631 ,"ISSUES IN HUMAN EVOLUTION
",ANTH,None,None,"Laboratory study of primate and human anatomy; human paleontology; Mandelian, molecular and human
 genetics; and primate behavior, ecology and conservation. Pre/corequisite: ANTH 18630."
ANTH 38096 ,"INDIVIDUAL INVESTIGATION IN ANTHROPOLOGY
",ANTH,Permission.,None,(Repeatable for credit)Readings and/or research supervised by a member of the anthropology staff.
ANTH 38240 ,"CULTURE AND PERSONALITY
",ANTH,ANTH 18210 or SOC 12050.,None,"Comparative cross-cultural socialization and personality development; group and national character;
 relationship of personality to politics, social and occupational roles."
ANTH 38250 ,"RELIGION:A SEARCH FOR MEANING
",ANTH,ANTH 18210.,None,"How human beings search for meanings in religious experience; the universality and cultural conditioning of this
 phenomenon."
ANTH 38292 ,"FIELD WORK IN CULTURAL ANTHROPOLOGY
",ANTH,ANTH 18210 or SOC 12050.,None,"(Repeatable for credit)Practical experience carrying out field research in cultural anthropology under the
 supervision of members of the anthropology faculty."
ANTH 38480 ,"ARCHAEOLOGICAL ANALYSIS
",ANTH,ANTH 18420.,None,"Methods necessary for the description and laboratory analysis of prehistoric remains. Course will include
 laboratory exercises as well as
class lectures."
ANTH 38490 ,"QUANTITATIVE ANTHROPOLOGY
",ANTH,ANTH 18420 or 18630 or 38630.,None,"Introduces the quantitative description of numerical data, provides an understanding of the basis of probability
 theory and statistical inference and acquaints the student with the role of computers in anthropology."
ANTH 38680 ,"PRIMATE SOCIETIES
",ANTH,ANTH 18630 or 38630.,None,"This course will be a survey of the behavior of living primates. Topics covered include reproductive and foraging
 strategies, social structure and primate conservation. Antecedent human behavior will also be considered."
