Course Number,Course Name,Department,Prerequisites,Corequesites,Description
AS 10095 ,"SPECIAL TOPICS
",AS,None.,None,"(Repeatable for credit)This program,administered by the dean is intended
to encourage interdisciplinary study
 to cover areas not treated adequately in traditional coursework and to make available promptly the new and
 significant experience of the faculty."
AS 20095 ,"SPECIAL TOPICS
",AS,None.,None,"(Repeatable for credit)This program, administered by the dean, is intended to encourage interdisciplinary study,
 to cover areas not treated adequately in traditional coursework and to make available promptly the new and
 significant experience of the faculty."
AS 22001 ,"INTRODUCTION TO JEWISH STUDIES
",AS,None.,None,"Introductory examination of issues of Jewish life, culture, religion and
society from antiquity to the present."
AS 22069 ,"INTRODUCTION TO LESBIAN, GAY, BISEXUAL AND TRANSGENDERED STUDIES
",AS,None.,None,"An introductory examination of lesbian, gay, bisexual and transgender issues from an interdisciplinary
2015 Kent State University Catalog - Spring 2016 Course Descriptions
perspective."
AS 30092 ,"INTERNSHIP
",AS,special approval.,None,"(Repeatable for a maximum of 12 credit hours) Students participate in internships under the direction of a
 faculty member."
AS 30095 ,"SPECIAL TOPICS
",AS,None.,None,"(Repeatable for credit)This program,administered by the dean is intended
to encourage interdisciplinary study
 to cover areas not treated adequately in traditional coursework and to make available promptly the new and
 significant experience of the faculty."
AS 30196 ,"INDIVIDUAL INVESTIGATION
",AS,special approval.,None,(Repeatable for credit) Registration requires prior approval from the college of arts and sciences office.
AS 40095 ,"SPECIAL TOPICS
",AS,None.,None,"(Repeatable for credit) (Cross-listed with AS 50095 and AS 70095) This program, administered by the dean, is
 intended to encourage interdisciplinary study, to cover areas not treated adequately in traditional coursework
 and to make available promptly the new and significant experience of the faculty."
AS 43001 ,"LEGAL INFORMATION SOURCES AND SERVICES
",AS,senior standing.,None,"(Cross-listed with AS 53001 and AS 73001 and LIS 60619 and LIS 80619) Fundamentals of legal research
 methods and major sources of American legal literature in print and electronic formats as used in other
disciplines. Students learn how to formulate a research plan based on legal analysis of issues using relevant,
 authoritative legal resources."
AS 50095 ,"SPECIAL TOPICS
",AS,"Graduate standing andspecial approval.
",None,"(Repeatable for credit) (Cross-listed with AS 40095 and AS 70095) Topic to be announced in the schedule of
 classes booklet. Repeated registration permitted when content varies."
AS 50096 ,"INDIVIDUAL INVESTIGATION
",AS,Graduate standing.,None,"(Repeatable for credit)Pursuit of a subject matter beyond normal course coverage, supervised by a graduate
 faculty member."
AS 53001 ,"LEGAL INFORMATION SOURCES AND SERVICES
",AS,graduate standing.,None,"(Cross-listed with AS 43001 and AS 73001 and LIS 60619 and LIS 80619)Fundamentals of legal research
 methods and major sources of American legal literature in print and electronic formats as used in other
 disciplines. Students learn how to formulate a research plan based
on legal analysis of issues using relevant,
 authoritative legal resources."
AS 61000 ,"INTRODUCTION TO LIBERAL STUDIES
",AS,graduate standing.,None,"Introduction to graduate-level interdisciplinary studies. The specific subjects covered are chosen by the
 instructor, and so may vary."
AS 61001 ,"LIBERAL STUDIES RESEARCH PAPER
",AS,graduate standing and special approval.,None,Learning to write a graduate-level research paper.
AS 61095 ,"LIBERAL STUDIES SEMINAR
",AS,None.,None,"(Repeatable for credit)An interdisciplinary seminar designed for candidates in the liberal studies program.
 Topics will vary."
AS 61098 ,"LIBERAL STUDIES ESSAY
",AS,"Graduate standing and specialapproval.
",None,"(Repeatable for credit)The preparation of an essay of approximately 50 pages on a topic related to the student's
 program of study for the Master of Liberal Studies degree."
AS 70095 ,"SPECIAL TOPICS
",AS,Doctoral standing; special approval.,None,"(Repeatable for credit) (Cross-listed with AS 40095 and AS 50095) Topic to be announced in the schedule of
 classes booklet."
AS 70096 ,"INDIVIDUAL INVESTIGATION
",AS,Doctoral standing.,None,"(Repeatable for credit)Pursuit of a subject matter beyond normal course coverage, supervised by a graduate
 faculty member."
AS 73001 ,"LEGAL INFORMATION SOURCES AND SERVICES
",AS,doctoral standing.,None,"(Cross-listed with AS 43001 and AS 53001 and LIS 60619 and LIS 80619)Fundamentals of legal research
 methods and major sources of American legal literature in print and electronic formats as used in other
 disciplines. Students learn how to formulate a research plan based
on legal analysis of issues using relevant,
 authoritative legal resources."
