Course Number,Course Name,Department,Prerequisites,Corequesites,Description
CHEM 00020 ,"INTRODUCTION TO CHEMISTRY
",CHEM,"Math ACT score of 18; or ALEKS math assessment score of 45; orminimum C (2.000) grade in MATH 00023 or higher.
",None,"Problem-based introduction to the fundamentals of chemistry including significant figures, unit conversions,
 measurement, structure of matter,
energy, composition of matter, atomic structure, the periodic table,
introduction to bonding, and the formulas and names of both ionic and covalent compounds. Course does not
 count toward graduation."
CHEM 10030 ,"CHEMISTRY IN OUR WORLD
",CHEM,none.,None,"A course for non-science majors that utilizes environmental and consumer
topics to introduce chemical
 principles and develop critical-thinking skills."
CHEM 10031 ,"CHEMISTRY IN OUR WORLD LABORATORY
",CHEM,None,None,"Discovery-based experiments to introduce chemical principles and develop
critical-thinking skills. A course for
 non-science majors; includes chemistry that is related to environmental and consumer issues. Pre/corequisite:
 CHEM 10030."
CHEM 10050 ,"FUNDAMENTALS OF CHEMISTRY
",CHEM,"ACT math score of 16; or MATH 00007 or MATH 00023 or MATH 00024or MATH 11009 or MATH 11010 or MATH 11012 or MATH 12002 or MATH 12011 or MATH 12021.
",None,"Basic concepts of chemistry (including atomic structure, chemical bonding and reactions) necessary for courses
 in elementary organic chemistry and physiological chemistry. Students may only receive credit toward
 graduation for one of the following courses: CHEM 10050; or CHEM 10054; or CHEM 10060 and 10061; or
 CHEM 10960 and 10961."
CHEM 10052 ,"INTRODUCTION TO ORGANIC CHEMISTRY
",CHEM,CHEM 10050 or 10060.,None,"Chemistry of organic and biological molecules necessary for the study of
physiological chemistry. Students may
 only receive credit toward graduation for one of the following courses: CHEM 10052; or CHEM 10054; or CHEM
 20481 and 20482; or CHEM 30481 and 30482."
CHEM 10053 ,"INORGANIC AND ORGANIC LABORATORY
",CHEM,CHEM 10050 or 10054. ,CHEM 10052.,"Laboratory with experiments covering material from CHEM 10050, 10052 and
10054. Students may only
 receive credit toward graduation for one of the following courses: CHEM 10053; or CHEM 10062 and 10063; or
 CHEM 10960 and 10961."
CHEM 10054 ,"GENERAL AND ELEMENTARY ORGANIC CHEMISTRY
",CHEM,"ACT math score of 16; or MATH 00007 orMATH 00023 or MATH 00024 or MATH 11009 or MATH 11010 or MATH 11012 or MATH 12002 or MATH 12011 or
 MATH 12021.
",None,"A course covering the basic concepts of general, inorganic and organic chemistry necessary for the study of
 physiological chemistry. Students may only receive credit toward graduation for one of the following courses:
 CHEM 10050; or CHEM 10052; or CHEM 10054; or CHEM 10060 and 10061; or CHEM 10960 and 10961; or
 CHEM 20481 and 20482; or CHEM 30481 and 30482."
CHEM 10055 ,"MOLECULES OF LIFE
",CHEM,None.,None,An integrated introduction to molecular systems and their participation in the processes of life.
CHEM 10060 ,"GENERAL CHEMISTRY I
",CHEM,"ALEKS math assessmentscore of 55 or higher; or MATH ACT of 22; or a minimum C (2.000) grade in MATH 00024 or minimum C
 (2.000) grade in MATH 11009 or higher.
",None,"Chemistry for science majors, emphasizing stoichiometry, introduction to
chemical reactions, thermochemistry,
 atomic structure, periodicity, molecular structure and chemical bonding. Students who register for this
course
 must successfully complete the placement assessment and basic chemistry modules prior to the start of the
 term. Those who do not will be deregistered. Students will be informed of the requirement by the Department
 of Chemistry and Biochemistry. Students may only receive credit toward graduation for one of the following
2015 Kent State University Catalog - Spring 2016 Course Descriptions
courses: CHEM 10050 or
CHEM 10054 or CHEM 10060 or CHEM 10960."
CHEM 10061 ,"GENERAL CHEMISTRY II
",CHEM,CHEM 10060.,None,"Continuation of CHEM 10060, emphasizing intermolecular forces, properties of mixtures, main group chemistry,
 kinetics, equilibrium, acid-base chemistry, thermodynamics and electrochemistry. Students may only receive
 credit toward graduation for one of the following courses: CHEM 10050 or CHEM 10054 or CHEM 10061 or
 CHEM 10961."
