Course Number,Course Name,Department,Prerequisites,Corequesites,Description
CLI 80101 ,"INTRODUCTION TO PATIENT CARE I
",CLI,"studentmust be enrolled in the Podiatric Medicine program.
",None,"This clinical rotation provides the first year student an opportunity to
directly observe patient care at the
 Cleveland Foot and Ankle Institute. During the course of patient care students will assist in the
development of
 differential diagnoses and observe patient management under the supervision of residents and faculty
 members. Students interact with other students, staff, residents and clinicians. It is important during the course
 of patient care that the student understands
the patient’s concerns, complaints, psychosocial status, past
medical history and medications. Students also develop good patient communication skills. The student should
 use this opportunity as a guide
to become professional and ethical podiatric physicians."
CLI 80200 ,"STANDARDIZED PATIENTS ROTATION
",CLI,"student must be enrolled2015 Kent State University Catalog - Spring 2016 Course Descriptions
in the Podiatric Medicine program.
",None,"Offers second year students the opportunity to interview standardized patients and receive feedback on their
 patient interviewing and history recording ski8lls which prepares them to function competently in a
doctor/patient encounter. Some students find that interviewing patients comes naturally, while for others it is
 more a learned skill. The standardized patients are actors who have been coached to simulate actual patients so
 accurately that the simulation could possibly fool even a skilled clinician."
CLI 80201 ,"INTRODUCTION TO PATIENT CARE II
",CLI,student must be enrolled in the Podiatric Medicine program.,None,"This clinical rotation provides the second year student to directly observe patient care at the Cleveland Foot and
 Ankle Clinic and assist in the performance of history-taking and physical examinations. During the course of
 patient care at the Cleveland Foot and Ankle Clinic, student elicit and perform a history and physical, develop
 differential diagnoses, and follow through with a regime for patient management under
the supervision of a
 resident and faculty members. Students interact with other students, staff, residents and clinicians. It is
 important during the course of patient care that the student understands the patient’s concerns, complaints,
 psychosocial status, past medical history and medications. The student should also understand differential
 diagnoses, diagnosis, treatment and future plans for the patient. Students develop good patient communication
 skills. The student should use this opportunity as a guide to become a professional and ethical podiatric
 physician."
CLI 80310 ,"PODIATRIC SURGERY ROTATION
",CLI,"student must be enrolled in the PodiatricMedicine program.
",None,"Stresses complete pre-operative and post-operative management of the surgical patient. Many foot deformities
 can be corrected with surgery. Work up for the purposes of establishing proper diagnosis, selection of
appropriate surgical procedure and designing a proper follow-up plan are
necessary components of successful
 surgical outcome. Proper post-operative patient care as well as early recognition of potential surgical
 complications are stressed. These are essential to a successful
surgical practice. While the scope of surgery
 varies greatly with differences in postgraduate training, there exists a basic core of knowledge and various
 techniques that are consistent with successful surgical outcome. In order to be a successful surgeon, it is
 imperative that the student master those basic skills that will be utilized through
his or her career. This rotation
 is the foundation upon which surgical careers are built."
CLI 80315 ,"SURGICAL SKILLS WORKSHOP
",CLI,Student must be enrolled in the Podiatric Medicine program.,None,"Provides students with the knowledge and hands-on training pertaining to
the physical skills that are necessary
 to perform surgery of the foot and ankle. An effort is made to correlate didactic information learned in the
 classroom with the rationale behind why many surgical procedures are performed. Adequate demonstration of
 surgical skills are provided along with practice time and constructive performance feedback."
CLI 80320 ,"RADIOLOGY ROTATION
",CLI,"student mustbe enrolled in the Podiatric Medicine program.
",None,"Clinical rotations function by adapting and applying classroom information to real life, “hands-on” situations. A
 majority of foot complaints necessitate the taking and the reading of radiographs. As specialists of the foot and
 ankle, podiatrists are in a unique situation in being able to take and interpret radiographs in their own offices.
 Radiographic analysis is therefore and integral component of podiatric medical education. The Radiology/Medical
 Imaging rotation focuses on those skills commonly performed by the podiatrist. This includes positioning and
 developing radiographs along with recognizing the most common pedal pathologies."
CLI 80340 ,"CARDIOPULMONARY RESUSCITATION/ADVANCED CARDIOPULMONARY RESUSCITATION
",CLI,"student must be enrolled in thePodiatric Medicine program.
",None,"CPR/ACLS is taught to third-year students at the beginning of the year. It is basic cardiopulmonary and
 advanced cardiopulmonary resuscitation. Students practice and take a written exam to demonstrate proficiency
 in these areas as required by the American Heart Association."
CLI 80351 ,"PODIATRIC MEDICINE/BIOMECHANICS (EUCLID)
",CLI,student must be enrolled in the Podiatric Medicine program.,None,"Gives students the opportunity to perform primary foot and ankle care under the supervision of the clinical
 faculty. Students learn basic podiatric palliative care techniques on patients, as well as how to record the
 findings in the medical record. Students are evaluated on their ability to present the case history, treat the
 patient and properly record their findings. Students receive clinical conferences on
a variety of podiatric medical
 topics with practical exams in many areas. Two months are spent at the Cleveland Foot and Ankle Institute.
One month is spent at the Cleveland VA Hospital. This rotation also provides the student with the opportunity
 for observation and practice of examination skills required in performing a musculoskeletal and biomechanical
 evaluation. This involves the development of skill in obtaining a biomechanical/musculoskeletal history,
 arthrometric evaluation, visual gait analysis and musculoskeletal examination to include muscle strength
 testing, flexibility and range of motion. The student is also taught, and provided opportunities for practice,
 various
methods of obtaining and evaluating proper biomechanical cast impressions of the feet for the purpose
 of fabricating orthotic devices,
Emphasis in this rotation is on the practice and refinement of clinical
evaluation
 and manual skills."
CLI 80352 ,"PODIATRIC MEDICINE/BIOMECHANICS (INDEPENDENCE)
",CLI,"student mustbe enrolled in the Podiatric Medicine program.
",None,"Gives students the opportunity to perform primary foot and ankle care under the supervision of the clinical
 faculty. Students learn basic podiatric palliative care techniques on patients, as well as how to record their
 findings in the medical record. Students are evaluated on their ability to present the case history, treat the
 patient and properly record their findings. Students receive clinical conferences on a variety of podiatric medical
 topics, with practical exams in many areas. Two months are spent at the Cleveland Foot and Ankle Institute.
One month is spent at the Cleveland VA Hospital. Also provides the student with the opportunity for observation
 and practice of examination
skills required in performing a musculoskeletal and biomechanical evaluation. This
 involves the development of skill in obtaining a biomechanical/musculoskeletal history, arthrometic evaluation,
 visual gait analysis and musculoskeletal examination to include muscle strength
testing, flexibility and range of
 motion. The student is also taught, and provided opportunities for practice, various methods of obtaining and
 evaluating proper biomechanical cast impressions of the feet for the
purpose of fabricating orthotic devices.
 Emphasis is on the practice and refinement of clinical evaluation and manual skills."
CLI 80365 ,"PRIMARY CARE/VETERANS ADMINISTRATION
",CLI,"student must be enrolled in the PodiatricMedicine program.
",None,"This is a one-month rotation at a veteran’s health care facility, which emphasizes the skills necessary to
 function effectively in government health care facilities."
