Course Number,Course Name,Department,Prerequisites,Corequesites,Description
COMT 11000 ,"INTRODUCTION TO COMPUTER SYSTEMS
",COMT,none.,None,"2015 Kent State University Catalog - Spring 2016 Course Descriptions
(Equivalent to MIS 24053) Covers the basic concepts and use of computer systems, including hardware,
 personal productivity software, Internet usage and file management."
COMT 11002 ,"VISUAL BASIC PROGRAMMING
",COMT,none.,None,"Visual Basic.NET language introducing concepts of object-oriented, event-driven program design and
 implementation."
COMT 11004 ,"SURVEY OF INFORMATION TECHNOLOGY
",COMT,None.,None,"This overview course will provide an introduction to information technologies, career paths and professional
 certifications available."
COMT 11005 ,"INTRODUCTION TO OPERATING SYSTEMS AND NETWORKING TECHNOLOGY
",COMT,none.,None,"Survey of desktop and network OS essentials, including file and disk management, system tools utilization,
 resource sharing and introductory network concepts."
COMT 11006 ,"INTRODUCTION TO WEB SITE TECHNOLOGY
",COMT,none.,None,"Focuses on web site technologies including HTML. Students learn the history of the Internet and effective search
 techniques."
COMT 11009 ,"COMPUTER ASSEMBLY AND CONFIGURATION
",COMT,"COMT 11005 orCS 33211 or DSCI 26010 or TECH 10001.
",None,"Covers disk operating system functions and features; hardware/software installation procedures; file and
 directories management; system configuration/optimization; backup procedures."
COMT 12000 ,"PERSONAL PRODUCTIVITY SOFTWARE
",COMT,none.,None,"Covers intermediate concepts and integration of computer applications. Emphasis on software suites,
 specifically word processing, electronic spreadsheets, database and presentation applications."
COMT 20001 ,"C++ PROGRAMMING
",COMT,none.,None,"Course using C++ introducing concepts of software development, object-oriented event-driven programming,
 testing and debugging, simple and complex data types language syntax and semantics."
COMT 20011 ,"JAVA PROGRAMMING
",COMT,none.,None,"Course using Java introducing concepts of software development, object-oriented event-driven programming,
 testing and debugging, simple and complex data types, language syntax and semantics."
COMT 21002 ,"NETWORK SETUP AND CONFIGURATION
",COMT,None,None,"2015 Kent State University Catalog - Spring 2016 Course Descriptions
Introduces networking in LAN and WAN environments. Topics include network protocol, configuration,
 operation, setup, installation, administration, management and security. Pre/corequisite: COMT 11009."
COMT 21005 ,"VISUAL BASIC DATABASE PROGRAMMING
",COMT,"COMT11002 or CS 13001 or DSCI 15310 or MIS 24065.
",None,Advanced course in the visual basic language focusing on database systems development.
COMT 21007 ,"INTERNET ETHICS AND POLICIES
",COMT,None.,None,"Covers the ethics, issues and policies regarding the Internet. It includes discussion/research on intellectual
 property/freedom, hacking, pornography, privacy, etc."
COMT 21008 ,"COMPUTER METHODS IN SCIENCE AND ENGINEERING
",COMT,MATH 19001.,None,"Use of computers in problems related to science and engineering. Course will include introduction to elements
 of a high level scientific language."
COMT 21009 ,"SEMINAR IN COMPUTER TECHNOLOGY
",COMT,COMT 11002 and 11005 and 11006 and 11009 and 21002 and 21010.,None,"Capstone course for COMT students encompassing critical reading, writing
and discussion applying the current
 theories of computer technologies to on-the-job experiences. Students will develop a portfolio to confirm their
 level of knowledge."
COMT 21010 ,"WORKGROUP PRODUCTIVITY SOFTWARE
",COMT,"COMT 12000;or ITAP 16639 and 26611.
",None,"Research project-oriented course emphasizing workgroup methodologies for
group project management,
 problem definition, data retrieval and analysis, conclusions and recommendations."
COMT 21011 ,"TECHNIQUES OF MULTIMEDIA WEB DESIGN
",COMT,COMT 11006 or COMT faculty special approval.,None,Focuses on developing and managing effective web sites using multimedia elements including sound and video.
COMT 21036 ,"WEB SCRIPTING I
",COMT,"COMT 11002 and COMT 11006; orCS 13001 and CS 27101; or TECH 2631; or MIS 24065.
",None,"This course will focus on client-side scripting needed to create interactive and dynamic Web sites. The use of
 scripting in context with various technologies will be explored."
COMT 21092 ,"COMPUTER PRACTICUM
",COMT,sophomore standing.,None,"(Repeatable for credit) Supervised work experience in information technology environment; 45 hours
 supervised work experience per credit hour."
COMT 21095 ,"SPECIAL TOPICS IN COMPUTER TECHNOLOGY
",COMT,Permission.,None,"2015 Kent State University Catalog - Spring 2016 Course Descriptions
(Repeatable for credit)Topics announced when scheduled."
COMT 21096 ,"INDIVIDUAL INVESTIGATION IN COMPUTER TECHNOLOGY
",COMT,Permission.,None,(Repeatable for credit)Individual study in computer field. Open to computer technology majors.
COMT 21100 ,"LOCAL AREA NETWORK TROUBLESHOOTING
",COMT,"COMT21002 or CS 33211 or DSCI 26010; or TECH 23010 and TECH 26301.
",None,"Covers local area network troubleshooting techniques. Topics include identifying the scope of the problem,
 systematic troubleshooting approaches, problem resolution and ongoing maintenance."
COMT 21110 ,"INTERNETWORKING
",COMT,"COMT 21002 or CS 33211 or DSCI 26010; orTECH 23010 and 26301.
",None,"Introduces internetworking concepts. Topics include networking standards, cabling, TCPIP, router configuration,
 LAN and WAN segments and other related topics."
COMT 21200 ,"ETHICAL HACKING
",COMT,COMT 21002 or CS 33211 or DSCI 26010; or TECH 23010 and TECH 26301.,None,"Tools and techniques ethical hackers and security testers use to discover vulnerabilities and solutions to protect
 computer networks."
COMT 36095 ,"SPECIAL TOPICS IN COMPUTER TECHNOLOGY
",COMT,none.,None,"(Repeatable for credit)Various special courses will be announced in the schedule of classes under this course
 number with different section numbers."
COMT 36301 ,"ADVANCED C++ PROGRAMMING
",COMT,"COMT20001.
",None,"Course using C++: classes and data abstraction, stream IO, inheritance, standard template library, Microsoft
 Foundation Classes, system programming concepts using Unified Modeling Language.."
COMT 36302 ,"C SHARP PROGRAMMING
",COMT,"COMT 20001 orCOMT 20011.
",None,"Introduces concepts of software development, object-oriented event-driven programming, testing and
 debugging, simple and complex data
types, language syntax and semantics."
COMT 36303 ,"DIGITAL IMAGE MANIPULATION
",COMT,"COMT11006.
",None,Course covers various concepts involved in the creation and manipulation of digital images.
COMT 36308 ,"ERGONOMICS IN COMPUTER SYSTEMS
",COMT,"junior standing.2015 Kent State University Catalog - Spring 2016 Course Descriptions
",None,"Introduction to ergonomics, usability design, and assessment methods for
the development of computer
 hardware, software, and systems."
COMT 36309 ,"PROGRAMMING MOBILE APPLICATIONS
",COMT,COMT 11002 or CS 13001 or DSCI 15310 or MIS 24065.,None,"Introduces the unique program design considerations required by mobile device platforms such as PDAs and
 Smartphones. Practical programming examples will utilize Visual Basic and the .NET Compact Framework."
COMT 36310 ,"MULTIMEDIA DEVELOPMENT TOOLS
",COMT,COMT 21011.,None,"Course focuses on advanced technologies for Web development, including DHTML, plug-ins, etc. Students will
 learn to create more interactive and
dynamic web sites."
