Course Number,Course Name,Department,Prerequisites,Corequesites,Description
FDM 10010 ,"FASHION FUNDAMENTALS
",FDM,"fashiondesign (FD), fashion merchandising (FM) or pre-fashion design and merchandising (PFDM) major.
",None,"Introduction to the global fashion industry. Analysis of the business of
fashion how it is conceived marketed and
 sold. Overview of important resources, companies and personnel who impact the industry."
FDM 10020 ,"FASHION VISUALS
",FDM,"fashion design (FD) or fashionmerchandising (FM) major.
",None,"The study of fashion information, research sources, color theory, two-and three-dimensional design and visual
 presentation formats as they
apply to the fashion industry."
FDM 10023 ,"FASHION VISUALS
",FDM,fashion design (FD) or fashionmerchandising (FM) major. ,FDM 10024.,"The study of fashion information, research sources, color theory, two-and three-dimensional design and visual
 presentation formats as they
apply to the fashion industry."
FDM 10024 ,"FASHION VISUALS LABORATORY
",FDM,fashiondesign (FD) or fashion merchandising (FM) major. ,FDM 10023.,"Laboratory applications in the study of fashion information, research sources, color theory, two-and three-
dimensional design and visual presentation formats as they apply to the fashion industry."
FDM 10030 ,"FASHION FABRICS I
",FDM,"fashion design orfashion
 merchandising major.
",None,"Study of fabrics, focusing on differentiating between fibers, fabric construction and fabric names. The student
 will study fabric properties and how they relate to fabric end usage."
FDM 10033 ,"FASHION FABRICS
",FDM,fashion design (FD) or fashionmerchandising (FM) major. ,FDM 10034.,"Study of fabrics, focusing on differentiating between fibers, fabric construction, and fabric names. The student
 will study fabric properties
and how they relate to fabric end usage."
FDM 10034 ,"FASHION FABRICS LABORATORY
",FDM,fashion design (FD) or fashion merchandising (FM) major. ,FDM 10033.,"Laboratory applications in the study of fabrics, focusing on differentiating between fibers, fabric construction,
 and fabric names. The student will study fabric properties and how they relate to fabric end usage."
FDM 10050 ,"INTRODUCTION TO FASHION TECHNOLOGY
",FDM,"fashion design (FD) orfashion merchandising (FM) major.
",None,"Introduces students to the fundamental concepts, procedures and techniques used in digital imaging software
 and information database software. A survey of current and emerging technologies used in fashion design,
 merchandising and production contexts is presented, discussed and applied."
FDM 10053 ,"INTRODUCTION TO FASHION TECHNOLOGY
",FDM,fashion design (FD) or fashion merchandising(FM) major. ,uisite: FDM 10054,"Introduces students to the fundamental concepts, procedures, and techniques used in digital imaging software
 and information database software. A survey of current and emerging technologies used in fashion design,
 merchandising and production contexts is presented."
FDM 10054 ,"INTRODUCTION TO FASHION TECHNOLOGY LABORATORY
",FDM,fashion design (FD) or fashionmerchandising (FM) major. ,FDM 10053.,"Laboratory applications of fundamental concepts, procedures, and techniques used in digital imaging software
 and information database software. A survey of current and emerging technologies used in fashion design,
 merchandising, and production contexts is presented and applied."
