Course Number,Course Name,Department,Prerequisites,Corequesites,Description
GEOL 11040 ,"HOW THE EARTH WORKS
",GEOL,None.,None,"Explores processes that shape Earth's landscapes (volcanism, flooding, landslides, sea-level rise, mountain
 building) and that are of vital interest to humans (earthquakes, groundwater, energy and mineral resources,
 climate change)."
GEOL 11041 ,"HOW THE EARTH WORKS LABORATORY
",GEOL,None,None,"Lab experience with earth materials (mineral crystals, common and unusual rock specimens), Google Earth
 images, and experiments demonstrating processes at earth's surface such as groundwater pollution, flooding,
 and on-line earthquake simulations. Pre/corequisite: GEOL 11040."
GEOL 11042 ,"EARTH AND LIFE THROUGH TIME
",GEOL,none.,None,"Explores major events in the history of Earth including mass extinctions, Snowball Earth, birth and death of
 oceans, growth of continents, explosion of life, dinosaurs, and the surprising inter-relatedness of earth and life
 processes."
GEOL 11043 ,"EARTH AND LIFE THROUGH TIME LABORATORY
",GEOL,None,None,"Lab experience with interesting fossils, rocks, and sedimentary features, a river process simulator, and the
 concept of deep time. Pre/corequisite: GEOL 11042."
GEOL 21062 ,"ENVIRONMENTAL EARTH SCIENCE
",GEOL,None.,None,"Application of Earth Science to environmental problems, including natural resource extraction, water supply,
 pollution, waste disposal, landslides, floods and land use planning. Local field trip."
GEOL 21080 ,"ALL ABOUT THE OCEANS
",GEOL,none.,None,"Explores the many fascinating (and some still little known) features and
processes of the Earth's Oceans
 including mid-ocean ridges, hydrothermal vents, tsunamis, tides, rogue waves, marine life, and the role of the
 Ocean in climate change."
GEOL 22000 ,"INTRODUCTORY GEOLOGY SEMINAR
",GEOL,none.,None,"Provides new Geology and Earth Science majors with an overview of career paths and opportunities within
 these majors. Components of the course include a journal club, informational presentations by geoscientists in
 industry, government, and academia, and skills training needed for the major. Required overnight field trip."
GEOL 23063 ,"EARTH MATERIALS I
",GEOL,GEOL 11040 and GEOL 11041; and pre- or ,None,"Occurrence, associations, characteristics, crystallography and crystal chemistry of common minerals. Laboratory
 identification emphasizing physical properties. Lecture three hours, lab two hours weekly. Required
field trip."
GEOL 31070 ,"EARTH MATERIALS II
",GEOL,GEOL 23063.,None,"Occurrence and origin of igneous, sedimentary and metamorphic rocks. Laboratory identification, description
 and classification of hand specimens. Lecture three hours, lab two hours weekly. Required field trip."
GEOL 31080 ,"STRUCTURAL GEOLOGY
",GEOL,none.,None,"Mechanical principles of rock deformation. Structures in sedimentary igneous and metamorphic rocks. Lecture
 three hours lab two hours weekly.
Required field trip."
