Course Number,Course Name,Department,Prerequisites,Corequesites,Description
ID 14011 ,"INTRODUCTION TO INTERIOR DESIGN
",ID,none.,None,"Introduction to a broad range of interior design issues including environmental, ecological, aesthetic, social,
 global, spatial, ethical and technical, and addresses the needs of the human being related to interior design
 practice. Students acquire knowledge and understanding of significant aspects in interior design and diverse
 options within the
profession, which helps them to identify their career paths in interior
design."
ID 14012 ,"DESIGN AND HUMAN BEHAVIOR
",ID,"minimum grade ofC (2.000) in ID 14011.
",None,"Introduces the concepts of human factors, the way in which humans relate
to the physical environment within
 cultural milieus, and investigates applications of these factors in the design of interiors with consideration of
 specialized populations."
ID 14501 ,"STUDIO PROBLEMS IN INTERIOR DESIGN I
",ID,TECH 11083.,None,"Studio problems in interior design is a course for the beginning student
whose interest is in interior space
 design."
ID 14512 ,"INTERIOR DESIGN GRAPHICS I
",ID,Interior Design (ID) major.,None,"Studio based course introducing concepts of architectural drawing and sketching techniques including plan,
 elevation, section and perspective."
ID 24001 ,"INTERIOR DESIGN STUDIO I-SPACE PLANNING AND HUMAN FACTORS
",ID,minimum grade of C (2.000) in ID 14012.,None,"Focuses on space planning and the application of human factors to interior design solutions. Based on
 knowledge received in ID 14012 Design and Human Behavior, the following areas are incorporated into the
 studio projects: Americans with Disabilities Act; data gathering; space
analysis and synthesis."
ID 24002 ,"INTERIOR DESIGN STUDIO II-DETAILING AND FABRICATION
",ID,minimum grade of C (2.000) in ID 24001.,None,"2015 Kent State University Catalog - Spring 2016 Course Descriptions
Focus is the understanding of detailing and fabrication in interior design that leads students to have a balanced
 ability between the creative and the technical abilities in design projects. Studies of architectural and interior
 design detailing, custom cabinetry, casework,
joinery, millwork, fabrication, and FF&E are blended into each of
the projects to instill a proficiency in construction execution. Usage of a 3D printer and laser cutter is introduced
 along with design projects."
ID 24011 ,"METHODS AND MATERIALS I: BUILDING SYSTEMS
",ID,minimum grade ofC (2.000) in ID 14012. ,ID 24001.,"Introduction to the principles of building construction and systems. Covers topics related to structural systems
 in buildings which include: floor, wall and roof systems; environmental comfort and sustainability; safety and
 security; HVAC; electrical; building control; and conveying systems, that influence and interact with interior
 design. Designed to advance the student to a higher level of understanding and competence in
building
 technology for interior design."
ID 24012 ,"CODES AND STANDARDS FOR INTERIOR DESIGN
",ID,minimum grade of C (2.000) in ID24001. ,ID 24002.,"Presents codes, standards and regulations that pertain to the materials and finishes of building interiors, their
 proper methods of application,
installation and maintenance."
ID 24013 ,"HISTORY OF INTERIORS I-ANCIENT TO 15TH CENTURY
",ID,minimum grade of C (2.000) in ID 24001. ,ID 24002.,"Provides a thorough background of the major design periods and traditions of global civilizations from ancient
 times to the 15th century including the design of furnishings, architecture, interiors, textiles, and the decorative
 and fine arts. The influences of culture, geography, technology, religion and politics on design are investigated."
ID 24021 ,"INTEGRATED DIGITAL APPLICATIONS I
",ID,minimum grade ofC in AED 10102. ,ID 24001.,"2015 Kent State University Catalog - Spring 2016 Course Descriptions
Prepares students for an ongoing exploration and integration of architectural software to assist with design
 problems within the interior design practice. Course work covers basic fundamentals of popular architectural
 programs and enables students to continuously build upon acquired knowledge and skills."
