Course Number,Course Name,Department,Prerequisites,Corequesites,Description
ITEC 19525 ,"EDUCATIONAL TECHNOLOGY
",ITEC,CULT 29535.,None,"Develops skills associated with identifying, designing, utilizing, and evaluating educational technologies as
 instructional resources in the classroom, to enhance both teaching and learning."
ITEC 40093 ,"VARIABLE TITLE WORKSHOP IN EDUCATIONAL MEDIA
",ITEC,Permission.,None,"(Repeatable for credit)Variable topic workshop designed to respond to curriculum trends and issues and
 specialized needs. S u graded."
ITEC 47411 ,"DESIGNING VISUALS FOR INSTRUCTION
",ITEC,None.,None,"Investigation of historical, cultural, aesthetic dimensions of instructional visual design. Focus on design of
 instructional visuals across media including print, video, computer-based technology. Presentations lab
 activities."
ITEC 47413 ,"DIGITAL VIDEO IN EDUCATION
",ITEC,None.,None,"(Cross-listed with ITEC 57413 and ITEC 77413) Students learn how to produce their own video programs,
 beginning with the planning and scripting process, developing camerawork and audio recording skills, and
 editing the final production. They also learn how to obtain footage in the field and work with other participants.
 In addition, the use of video for instruction is explored, with an emphasis upon how it can be effectively
 integrated into curricula and used to enhance lessons in dynamic ways."
ITEC 47427 ,"TECHNOLOGY AND LEARNING
",ITEC,none.,None,"Overview of technology used in education. Focuses on implementing and facilitating learner- centered
 curriculum with computer technology. Students develop web-based instructional materials."
ITEC 47430 ,"COMPUTER APPLICATIONS IN EDUCATION
",ITEC,none.,None,"Preparation for use of computers effectively in variety of educational settings. Students should have some
 expertise with computers. Focus on advanced applications in education. Macintosh and Windows."
ITEC 47495 ,"SPECIAL TOPICS:EDUCATIONAL MEDIA
",ITEC,none.,None,"(Repeatable for credit)Specialized offering in response to emerging or selected program needs in educational
 media and instructional design."
ITEC 47496 ,"INDIVIDUAL INVESTIGATION IN EDUCATIONAL MEDIA
",ITEC,none.,None,"(Repeatable for credit) Directed independent reading and/or research of special interest or need in student's
 program. Planned with and directed
by a faculty member."
ITEC 50093 ,"VARIABLE TITLE WORKSHOP IN EDUCATIONAL MEDIA
",ITEC,Grading standing and special approval.,None,(Repeatable for credit)
ITEC 57400 ,"SELECTION AND UTILIZATION OF EDUCATIONAL MEDIA
",ITEC,Graduate standing.,None,Discusses principles and techniques in the selection and utilization of media for instructional purposes.
ITEC 57402 ,"ORGANIZATION AND ADMINISTRATION OF EDUCATIONAL MEDIA PROGRAMS AND
",ITEC,Graduate standing.,None,"CENTERS
Examines the planning, organizing, administering and evaluating of educational media programs and centers."
ITEC 57411 ,"DESIGNING VISUALS FOR INSTRUCTION
",ITEC,Graduate standing.,None,"Investigation of historical, cultural, aesthetic dimensions of instructional visual design. Focus on design of
 instructional visuals across media, including print, video, computer-based technology. Presentations, lab
 activities."
ITEC 57413 ,"DIGITAL VIDEO IN EDUCATION
",ITEC,Graduate standing.,None,"(Cross-listed with ITEC 47413 and ITEC 77413) Students learn how to produce their own video programs,
 beginning with the planning and scripting process, developing camerawork and audio recording skills, and
 editing the final production. They also learn how to obtain footage in the field and work with other participants.
 In addition, the use of video for instruction is explored, with an emphasis upon how it can be effectively
 integrated into curricula and used to enhance lessons in dynamic ways."
ITEC 57427 ,"TECHNOLOGY AND LEARNING
",ITEC,Graduate standing.,None,"Overview of technology used in education. Focuses on implementing and facilitating learner- centered
 curriculum with computer technology. Students develop web-based instructional materials."
ITEC 57430 ,"COMPUTER APPLICATIONS IN EDUCATION
",ITEC,Graduate standing.,None,"Preparation for use of computers effectively in variety of educational settings. Students should have some
 expertise with computers. Focus on advanced applications in education. Macintosh and Windows."
ITEC 60199 ,"THESIS I
",ITEC,Grading standing and special approval.,None,"(Repeatable for credit)Master of arts students must register for at least one semester of Thesis I under the
 supervision of an adviser."
ITEC 60299 ,"THESIS II
",ITEC,"ITEC 60199 and graduatestanding.
",None,"(Repeatable for credit)If 6 credits of Thesis I have been completed, M.A. students must continue to register
 each semester under Thesis II until all degree requirements are met."
ITEC 67403 ,"INSTRUCTIONAL DESIGN
",ITEC,graduate standing.,None,"2015 Kent State University Catalog - Spring 2016 Course Descriptions
Enables students to design and develop instructional systems and materials using a systematic and research-
 and theory-based instructional design model."
ITEC 67410 ,"SIMULATION-GAMES IN EDUCATION
",ITEC,"Graduate standingand special approval.
",None,"Provides students with opportunities to explore simulation and games as a
strategy for learning. Experiences in
 both group role-playing simulations and computer simulations will be included."
ITEC 67420 ,"RESEARCHING CURRENT ISSUES IN INSTRUCTIONAL TECHNOLOGY
",ITEC,Graduate standing.,None,"Exploration of significant current issues in the field of instructional technology ,including latest research
 findings, use of newest technologies, instructional design issues, present state of the field and future directions."
ITEC 67425 ,"MANAGING TECHNOLOGICAL CHANGE
",ITEC,Graduate standing.,None,"Analysis and evaluation of change process are explored, particularly as they relate to use of instructional
 technology. Management role for facilitating planned change as studied through communication and
management models."
ITEC 67426 ,"NETWORKING BASIC FOR EDUCATORS
",ITEC,graduate standing.,None,"Provides an overview of networking, including client hardware and software typically found in school settings.
 Topics include networking design, protocols, software and hardware, wireless networking, security and
 acceptable use, management strategies, desktop client and server configurations, and professional issues for
 network administers. Intended for those seeking licensure as K-12 computer/technology coordinators."
ITEC 67432 ,"DESIGNING MULTIMEDIA FOR INSTRUCTION
",ITEC,Graduate standing.,None,"Focuses on the design, production and evaluation of computer-assisted instructional materials. Instructional
 design and research are applied to the development of software."
ITEC 67434 ,"EMERGING TECHNOLOGIES
",ITEC,Graduate standing.,None,"Focus on theoretical foundations, design and development of instructional delivery systems employing leading-
edge or emergent technologies. Specific technologies include multimedia, interactive Web-based instruction.
 Presentations, lab."
ITEC 67435 ,"VIRTUAL REALITY
",ITEC,Graduate standing.,None,"Virtual reality provides promise as a tool for educators. Students will learn to create and evaluate instructional
 applications. Activities will
include actual production of virtual worlds as well as virtual experiences on the
 Internet."
ITEC 67436 ,"DISTANCE EDUCATION
",ITEC,Graduate standing.,None,"This course explores various approaches to delivering instruction to distant sites and examines a variety of
 critical issues, such as planning, choice of technology, cost, teaching strategies, evaluation, etc."
ITEC 67437 ,"WEB DEVELOPMENT FOR EDUCATORS
",ITEC,Graduate standing.,None,"Provides an overview of basic website development and management in educational settings. Topics include
 HTML, cascading style sheets, dynamic webpages and database integration."
