Course Number,Course Name,Department,Prerequisites,Corequesites,Description
PHY 11030 ,"SEVEN IDEAS THAT SHOOK THE UNIVERSE
",PHY,None.,None,"Description of major revolutionary physical concepts and their implications for understanding the physical
 universe. Not counted toward
requirements for physics major."
PHY 12000 ,"INTRODUCTORY PHYSICS SEMINAR
",PHY,None.,None,"To provide a nurturing course for new physics majors, ideally to be taken in their first semester as majors. The
 course includes a journal club component, informational talks by industrial physicists and training in a select
 group of essential skills and tools for future work
in the physics program."
PHY 12111 ,"PHYSICS FOR HEALTH TECHNOLOGIES
",PHY,none.,None,"Basic physics applied to health technologies: measurement techniques, force and motion of solids and fluids,
 energy, heat wave phenomena, electricity. Students taking this course should be in a health technologies
 major."
PHY 12201 ,"TECHNICAL PHYSICS I
",PHY,MATH 11010; and pre- or ,None,Introduction to principles of physics: mechanics. Two-hour lecture/recitation and two- hours laboratory weekly.
PHY 12202 ,"TECHNICAL PHYSICS II
",PHY,PHY 12201.,None,"Introduction to principles of physics: fluids, thermodynamics, electricity and magnetism. Three-hour
 lecture/recitation and two-hour laboratory weekly."
PHY 13001 ,"GENERAL COLLEGE PHYSICS I
",PHY,None,PHY 13021.,"Principles of mechanics, heat and sound. Three-hour lecture, one-hour recitation. Pre/corequisite: MATH 11022
 or MATH 12001 or MATH 12002 or MATH 12021."
PHY 13002 ,"GENERAL COLLEGE PHYSICS II
",PHY,PHY 13001 or PHY 23101. ,PHY 13022.,"Principles of electricity and magnetism, optics and modern physics. Three hours lecture and one hour recitation
 weekly."
PHY 13011 ,"COLLEGE PHYSICS I
",PHY,None,PHY 13021.,"Principles of classical physics, primarily mechanics. Three-hour lecture
and one-hour recitation weekly. This is a
 flexibly scheduled course that meets concurrently with PHY 13001 for the first half of the regular
term.
 Pre/corequisite: MATH 11022 or 12001 or 12002 or 12012 or 12021."
PHY 13012 ,"COLLEGE PHYSICS II
",PHY,PHY 13001 or PHY 13011 or PHY 23101.,None,"Principles of classical physics, primarily electricity and magnetism. Three-hour lecture and one-hour recitation
2015 Kent State University Catalog - Spring 2016 Course Descriptions
weekly. This is a flexibly scheduled course that meets concurrently with PHY 13002 for the first half of a regular
 term."
PHY 13021 ,"GENERAL COLLEGE PHYSICS LABORATORY I
",PHY,None,PHY 13001 or PHY 13011.,Introductory lab to accompany PHY 13001 or PHY 13011.
PHY 13022 ,"GENERAL COLLEGE PHYSICS LABORATORY II
",PHY,None,PHY 13002 or PHY 13012.,Introductory lab to accompany PHY 13002 or PHY 13012.
