Course Number,Course Name,Department,Prerequisites,Corequesites,Description
PSYC 11762 ,"GENERAL PSYCHOLOGY
",PSYC,none.,None,"Introduction to the scientific approach to understanding human behavior and mental processes such as
 emotions, perceptions and cognitions. Topics may include personality, social and environmental factors,
biological aspects of behavior and the experience of emotion and psychological disorders."
PSYC 20651 ,"CHILD PSYCHOLOGY
",PSYC,PSYC 11762.,None,"A review of the data, concepts and theories of psychology that contribute to the understanding of child
 development from conception to age 14."
PSYC 21211 ,"PSYCHOLOGY OF ADJUSTMENT
",PSYC,"PSYC11762.
",None,"A review of theories, concepts and data that contribute to the understanding of human adjustment. Topics may
 include the following: personality, stress and coping, transitions from adolescence to adulthood, psychological
 disorders and psychotherapy."
PSYC 21621 ,"QUANTITATIVE METHODS IN PSYCHOLOGY I
",PSYC,PSYC 11762.,None,"Application of quantitative, statistical methods in psychological research. Descriptive and inferential methods
 (includes ANOVA, t-test and correlation)."
PSYC 22221 ,"MULTICULTURAL PSYCHOLOGY
",PSYC,PSYC 11762.,None,"Examination of areas of psychology upon which diversity issues have a bearing and focused study of
 psychological issues relevant to African-American, Asian- American, Hispanic/Latino American and American
 Indian groups."
PSYC 30111 ,"FORENSIC PSYCHOLOGY
",PSYC,PSYC 11762.,None,"Surveys major areas of forensic psychology, which focuses on the application of the science and profession of
 psychology to legal settings. Topics include roles and responsibilities of forensic psychologists, forensic
 assessment, psychological theories of criminal behavior, law enforcement psychology and eyewitness
 testimony."
PSYC 30651 ,"ADOLESCENT PSYCHOLOGY
",PSYC,"PSYC11762.
",None,"A review of the theories, concepts and data that contribute to our understanding of the physical, intellectual,
 educational, personality and social development of adolescents in contemporary society."
PSYC 30652 ,"SOCIAL AND PERSONALITY DEVELOPMENT
",PSYC,PSYC 11762; and PSYC 20651 or HDFS 24012.,None,"Processes and findings in social and personality development, with a focus on childhood and adolescence. Will
 include the examination of individual differences as well as developmental changes in social function and
 personality."
PSYC 30655 ,"CHILDREN'S THINKING
",PSYC,PSYC 11762; and PSYC 20651 or HDFS 24012.,None,"Focuses on how children’s cognitive processes and mental representations change from infancy to early
 adulthood. Theoretical claims, empirical findings, and methodological issues are critically evaluated. Topics
 include children’s visual and auditory perception, language and literacy, learning and memory, mathematical
 and
spatial thinking, logical and scientific reasoning, problem solving, theory of mind and social cognition."
PSYC 30656 ,"PSYCHOLOGY OF AGING
",PSYC,PSYC 11762.,None,"(Cross-listed with GERO 30656) Exploration of basic research and theory on the psychological consequences of
 aging and psychological factors that affect the behavior of older persons."
PSYC 30821 ,"PSYCHOLOGY OF MOTIVATION
",PSYC,PSYC 11762.,None,"Factors that provide the energy and direction for behaviors, emotions and cognitive processes. Seeks to answer
 the question ""why"" concerning the things people do, feel and think. A survey approach is used to include both
 the traditional and newly emerging concepts in motivation."
PSYC 31141 ,"PERCEPTION
",PSYC,PSYC 11762.,None,"Investigates how humans detect, organize and interpret information from the environment. Considers how both
 biological and psychological process
create and influence our perception of the world."
PSYC 31282 ,"PERSONALITY
",PSYC,PSYC 11762.,None,"A review of the data, concepts and theories of psychology that contribute to the understanding of personality."
PSYC 31498 ,"UNDERGRADUATE RESEARCH
",PSYC,"PSYC 11762and special approval.
",None,"(Repeatable for a maximum 16 credit hours)Individual research open to qualified students. See Arts and
 Sciences and psychology major/minor requirements for applicability repeatable limits."
PSYC 31532 ,"SOCIAL PSYCHOLOGY
",PSYC,PSYC 11762.,None,"Study of environmental/situational influences on our own and others' thoughts,behaviors and feelings-focus on
 topics such as aggression, attitudes and behaviors, conformity, helping, personal relationships and
social
 cognition."
PSYC 31574 ,"RESEARCH METHODS IN PSYCHOLOGY
",PSYC,PSYC 11762 and PSYC 21621.,None,"The rationale, logic and procedures of scientific research in psychology
with an emphasis on measurement,
 causal inference and research design."
PSYC 31634 ,"ANIMAL COGNITION
",PSYC,PSYC 11762.,None,"Focuses on the nature of cognition and intelligence in nonhuman animals. Topics include animal studies of
 perception and attention, associative learning, memory, spatial cognition, concept formation, reasoning and
language in nonhuman animals."
