Course Number,Course Name,Department,Prerequisites,Corequesites,Description
SPED 23000 ,"INTRODUCTION TO EXCEPTIONALITIES
",SPED,None.,None,"Introduction to student exceptionalities, service delivery/placement options and multidisciplinary team process.
 Focus on identification of characteristics definition and identification procedures of students with
 exceptionalities. 15 clinical hours."
SPED 40093 ,"WORKSHOP IN SPECIAL EDUCATION
",SPED,None.,None,"(Repeatable for credit)Topics of special interest to students desiring to intensify their knowledge in particular
 areas. Presenters include Kent State University faculty and other institutions. Offered irregularly."
SPED 43010 ,"FAMILY AND PROFESSIONAL COLLABORATION
",SPED,"SPED 23000 and admissionto advanced study.
",None,"This course provides knowledge and strategies for working with family members of exceptional individuals and
 members of related professions which provide services to them. Use of collaborative, interdisciplinary and
 interagency models in special education. 20 clinical and 10 field hours."
SPED 43020 ,"ASSESSMENT IN SPECIAL EDUCATION
",SPED,Prerequisite: CI 47501 and 47504. ,"SPED 43992 or 43392 or44092 or 44192.
","Use/interpretation normed, criterion-referenced and informal curriculum-based assessments for students with
 mild/moderate disabilities. Standards-based alternative assessments for student with intensive needs. 10 field
 and 20 clinical hours."
SPED 43021 ,"ASSESSMENT FOR INDIVIDUALS WITH MODERATE TO INTENSIVE NEEDS
",SPED,SPED 23000.,None,"(Cross-listed with SPED 53021) Investigates issues and methods for assessing the academic, behavioral,
 physiological, mental health, and life skills of individuals with moderate to intensive disabilities. Interpretation
 of norm- and criterion formal assessments, creation of alternative assessments, modification of informal
 assessments, ecological and community-based assessments specific to individuals with low incidence and
 multiple disabilities."
SPED 43030 ,"APPLIED BEHAVIOR ANALYSIS I: THEORY AND TECHNIQUES
",SPED,SPED 23000 and admission to advanced study.,None,"Theory and techniques associated with applied behavior analysis. Approaches for establishing, implementing,
2015 Kent State University Catalog - Spring 2016 Course Descriptions
maintaining and monitoring skill development are emphasized. Procedures for assessing and modifying
 classroom environments/instructional techniques to enhance learning/behavior of individuals with disabilities,
 with specific emphasis on preventing, increasing positive and decreasing inappropriate
behavior are introduced.
 25 field hours."
SPED 43031 ,"APPLIED BEHAVIOR ANALYSIS II: APPLICATION
",SPED,"SPED43030 and admission to advanced study.
",None,"Equips students with the skills necessary to integrate the technology of
applied behavior analysis (as learned in
 SPED 43030, Applied Behavior Analysis I) with the analytical skills necessary to prevent, teach, manage and
 assess behavior. Specific behavioral interventions are presented. Includes 40 field hours."
SPED 43040 ,"LANGUAGE AND READING IN SPECIAL EDUCATION
",SPED,"Admission to advanced study and ECED 40105 and 40126; and CI47504.
",None,"Instructional approaches to teaching reading/language arts to students with disabilities. Emphasis on adapting
 instructional techniques, materials, assessments to meet the needs of learners with disabilities. Contains 15
 clinical and 15 field hours."
SPED 43050 ,"CHARACTERISTICS OF STUDENTS WITH MILD/MODERATE INTERVENTION NEEDS
",SPED,SPED 23000.,None,"Definitions, causes and characteristics and social and educational implications of learning developmental and
 emotional/behavioral disorders of students identified with mild/moderate disabilities. Methods of assessment
 and interventions current issues. 10 clinical and 10 field hours."
SPED 43051 ,"CHARACTERISTICS OF STUDENTS WITH MODERATE/INTENSIVE INTERVENTION NEEDS
",SPED,SPED 23000.,None,"2015 Kent State University Catalog - Spring 2016 Course Descriptions
Overview of specific facets and causes of severe disabilities, physical/psychological aspects, family societal
 responses political trends etiology and medical implications educational and vocational programming
 assessment and treatment planning assistive technology. 10 clinical 10 field hours."
