Course Number,Course Name,Department,Prerequisites,Corequesites,Description
VTEC 10001 ,"INTRODUCTION TO VETERINARY TECHNOLOGY
",VTEC,None.,None,"Introduction to veterinary technician's career: medical terminology, career choices, occupational safety, human-
animal bond, pet loss, euthanasia, animal husbandry and basic nutrition, breed identification, basic animal
 behavior."
VTEC 10002 ,"VETERINARY NURSING I
",VTEC,"Veterinary technology (VTEC) major; and admissionto technical study.
",None,"Introduction to animal nursing: record keeping, kennel sanitation, animal restraint, syringe and needle
 identification/handling, injection techniques, physical exams, grooming and administration of medications.
Lecture two hours, laboratory 3 hours weekly."
VTEC 10204 ,"CLINICAL LABORATORY I
",VTEC,Veterinary technology (VTEC) major.,None,"Introduction to clinical laboratory: equipment and equipment maintenance; internal and external parasites;
 urinalysis. Lecture 2 hours, laboratory 3 hours weekly.."
VTEC 10205 ,"VETERINARY NURSING II
",VTEC,"Minimum grade of C (2.000) inall prerequisites; BSCI 10100 and CHEM 10050 and HED 14020 and VTEC 10002 and VTEC 10204; and pre- or
 ",None,"Clinical application off-site. Emphasis on skills from VTEC 10002; physical exam, medications, blood vessels
 catheterization, venipuncture;
fluid therapy, wound care, patient rehabilitation and physical therapy,
first aid,
 bandaging and CPR. Lecture 2 hours, laboratory 3 hours weekly."
VTEC 10206 ,"PHARMACOLOGY
",VTEC,BSCI 10100 and BSCI 10110 and CHEM 10052 and CHEM 10053 and HED 14020and VTEC 10001 and VTEC 10002 and VTEC 10204; pre- or ,None,"Regulations controlling the use of drugs and biologicals, classifications and mechanisms of action of
 pharmaceuticals, dosage calculations, labeling, packaging and dispensing of veterinary products.
Lecture 2
 hours weekly."
VTEC 20008 ,"CLINICAL LABORATORY II
",VTEC,minimum grade of C (2.000) inall prerequisites; BSCI 10100 and CHEM 10050 and VTEC 10002 and VTEC 10204; pre- or ,None,"Continuation and application of laboratory skills from Clinical Laboratory I; hematology, serology, cytology and
 other laboratory skills. Lecture 2 hours, laboratory 3 hours weekly."
VTEC 20009 ,"VETERINARY NURSING III
",VTEC,BSCI 10110 and CHEM 10052 and CHEM 10053 and VTEC 10001 andVTEC 10002 and VTEC 10204 and VTEC 10205 and VTEC 20008; and pre- or ,None,"Continuing nursing skills/techniques emphasizing large animal species: restraint, venipuncture, behavior,
 breeds, feedstuffs, food safety, meds, preventive care, surgical procedures, lameness. Lecture 2 hours,
2015 Kent State University Catalog - Spring 2016 Course Descriptions
laboratory 3 hours weekly."
VTEC 20010 ,"IMAGING TECHNIQUES
",VTEC,"BSCI 10100 and BSCI10110 and CHEM 10052 and CHEM 10053 and VTEC 10001 and VTEC 10002 and VTEC 10204 and VTEC 10205
 and VTEC 20008; and pre- or
",None,"Principles and application of the production of X-rays, processing, radiation safety, storage, patient positioning
 and other imaging techniques. Lecture 2 hours, laboratory 3 hours weekly."
VTEC 20212 ,"SURGERY AND ANESTHESIA
",VTEC,"minimum grade of C (2.000) in allprerequisites; BSCI 10100 and BSCI 10110 and CHEM 10052 and CHEM 10053 and VTEC 10001 and VTEC
 10002 and VTEC 10204 and VTEC 10205 and VTEC 20008; and pre- or ",None,"Principles and application of the use of anesthetics, patient monitoring, dental prophylaxis, presurgery
 preparation, post-surgical patient care, sterilization, surgical preparation and assisting and equipment
 maintenance. Lecture 2 hours, laboratory 3 hours weekly."
VTEC 20213 ,"NUTRITION AND DISEASE
",VTEC,"BSCI20021 and VTEC 20009 and VTEC 20010 and VTEC 20212.
",None,"Principles of the disease process, disease control and prevention of common diseases of domestic animals.
 Nutrition principles especially for
clinical diseases will be covered. Lecture 2 hours weekly."
VTEC 20214 ,"VETERINARY NURSING AND HOSPITAL PROCEDURES
",VTEC,BSCI 20021 and VTEC 20009 and VTEC 20010 and VTEC 20212.,None,"2015 Kent State University Catalog - Spring 2016 Course Descriptions
Nursing procedures for laboratory and animal exotic procedures; procedures by a veterinary technician in a
 hospital environment including office and computer application. Lecture 1 hour, laboratory 6 hours weekly
 including computer applications."
VTEC 20392 ,"PRACTICUM IN VETERINARY HOSPITAL
",VTEC,BSCI 20021 and VTEC 20009 and VTEC 20010and VTEC 20212. ,VTEC 20213 and VTEC 20214.,"(Repeatable for credit)Students gain practical experience in veterinary clinic or approved clinical site to focus on
 mastery of all clinical skills needed for this career."
