32142,PRINCIPLES OF TEACHING ADOLESCENTS ,ADED,ITEC 19525 and EDPF 29525.,,Orientation to adolescence and the teaching-learning process. This course includes 30 field/clinical hours in an urban setting. Students are required to complete Bureau of Criminal Investigation and Identification (BCII) and Federal Bureau of Investigation (FBI) background checks and submit the results to authorized personnel at their assigned „school/agency‟ before the first day of the semester in which student teaching/ internship will take place.,2011
32268,THE SECONDARY SCHOOL MATHEMATICS CURRICULUM ,ADED,ADED 32142 and MATH 22005.,,The secondary school mathematics curriculum will be examined. Students textbooks and recommendations will be investigated. This course includes 30 field clinical hours. Students are required to complete Bureau of Criminal Investigation and Identification (BCII) and Federal Bureau of Investigation (FBI) background checks and submit the results to authorized personnel at their assigned „school/agency‟ before the first day of the semester in which student teaching/ internship will take place.,2011
32275,SOCIAL STUDIES EDUCATION AND THE SOCIAL SCIENCES ,ADED,ADED 32142 and admission to advanced study.,,"First of two special methods courses on teaching social studies at the secondary level. Focuses on achieving the purpose of social studies through attention to instruction, planning, curriculum and assessment.",2011
32277,TEACHING SCIENCE IN SECONDARY SCHOOLS ,ADED,ADED 32142.,,"Goals, methodology and resources for effective teaching of science to adolescents and young adults.",2011
42196,INDIVIDUAL PROJECT IN ADOLESCENT EDUCATION 2.000 TO 4.000 ,ADED,,,,2011
42268,TEACHING OF MATHEMATICS IN SECONDARY SCHOOLS ,ADED,ADED 32268.,,Methodology and materials for effective teaching of secondary school mathematics will be discussed and implemented in field experiences. Course includes 46 field/clinical hours. Mathematics courses through MATH 22005.,2011
42275,TEACHING SOCIAL STUDIES IN SECONDARY SCHOOLS ,ADED,ADED 32275 and admission to advanced study.,,An advanced special methods course designed to prepare future social studies teachers for student teaching and their entry year into the profession. Addresses a range of topics and issues in an in-depth manner through project-oriented learning activities.,2011
42277,TOPICS IN SECONDARY SCHOOL SCIENCE TEACHING ,ADED,ADED 32277 and admission to advanced study.,,Analysis of trends in science teaching and materials and methods for introducing topics from the history of science and from health education.,2011
42278,ASSESSMENT IN LANGUAGE ARTS ,ADED,ADED 32147 and admission to advanced study.,,"Models, principles and strategies for assessing student learning in integrated English language arts. Practice with multiple assessment measures including portfolios for literature language and composition studies.",2011
42292,FIELD WORK PRACTICUM ,ADED,Minimum grade of C (2.0) in ADED 32268 or 32275 or 32277 or SEED 32147 and admission to advanced study.,ADED 42268 or 42275 or 42277 or 42278.,"A minimum 96-hour field experience in a middle or high Department. Observations, interviews, designing and teaching of lessons and debriefing. Students are required to complete Bureau of Criminal Investigation and Identification (BCII) and Federal Bureau of Investigation (FBI) background checks and submit the results to authorized personnel at their assigned „school/agency‟ before the first day of the semester in which student teaching/ internship will take place.",2011
42295,SPECIAL TOPICS IN ADOLESCENT/ADULT EDUCATION 1.000 TO 3.000 ,ADED,,,,2011
42357,SECONDARY STUDENT TEACHING ,ADED,Admission to advanced study.,,"Provides a 12-week student-teaching experience. See ""student teaching"" section of the undergraduate catalog. Students are required to complete Bureau of Criminal Investigation and Identification (BCII) and Federal Bureau of Investigation (FBI) background checks and submit the results to authorized personnel at their assigned „school/agency‟ before the first day of the semester in which student teaching/ internship will take place.",2011
42358,SECONDARY STUDENT TEACHING ,ADED,ADED 42292 and admission to advanced study.,,Provides a 10-week student teaching experience. See student teaching section of the undergraduate catalog. Students are required to complete Bureau of Criminal Investigation and Identification (BCII) and Federal Bureau of Investigation (FBI) background checks and submit the results to authorized personnel at their assigned Department/agency before the first day of the semester in which student teaching/ internship will take place.,2011
49525,INQUIRY INTO PROFESSIONAL PRACTICE ,ADED,admission to advanced study.,ADED 42358.,Reflection on teaching for the purpose of instructional improvement. Emphases are placed on preparing implementing and assessing a curricular unit collaborative problem solving conducting an action research project and creating a portfolio.,2011
52267,IMPROVING MATHEMATICS INSTRUCTION FOR ADED ,ADED,Graduate standing.,,Methodology and materials for effective teaching of secondary school mathematics.,2011
