10001,UNDERSTANDING ARCHITECTURE ,ARCH,,,"The nature of the built environment, its forms and functions are explored within the cultural contexts of ecology, technology, human behavior, symbolism, art and history.",2011
10011,SURVEY OF ARCHITECTURAL HISTORY I ,ARCH,Not open to architecture majors.,,History of architecture from Neolithic times through the 14th century.,2011
10012,SURVEY OF ARCHITECTURAL HISTORY II ,ARCH,ARCH 10011; not open to architecture majors.,,History of Western architecture from the Renaissance to the early 20th century.,2011
10093,WORKSHOP:VARIABLE TITLE,ARCH,Permission.,,(repeated registration permitted.) Variable topics.,2011
10101,FIRST YEAR DESIGN STUDIO I ,ARCH,architecture (ARCH) or interior design (ID) majors.,,"Introduction to the fundamental principles of visual organization, structural organization, graphic communications, historical precedence and current directions in architecture. Graphic techniques include free hand drawing, and technical orthographics, axonometrics and perspectives.",2011
10102,FIRST YEAR DESIGN STUDIO II ,ARCH,ARCH 10101.,,"Investigations into strategies of form making through the introduction of client, type, context, site and form/space theories 2D,and 3D representation techniques and analysis of related reference architects.",2011
10111,HISTORY OF ARCHITECTURE I ,ARCH,,,History of architecture from pre-history through the Gothic period.,2011
10121,REPRESENTATION OF DESIGN I ,ARCH,,,"A survey of the techniques and assumptions of basic architectural design concepts and representation of the built environment through analytical and synthetic exercises that introduce fundamental design skills. In order to integrate students into the college and the field, the exercises are supplemented by readings in contemporary visual culture.",2011
10122,REPRESENTATION OF DESIGN II ,ARCH,ARCH 10121 or 10101.,,"Continuation of ARCH 10121 with an emphasis on 3-D thinking and representation, critical skills and the role of images in architectural culture and society. The course also introduces the wider application of design principles in graphic design, digital media and the visualization of information.",2011
20101,SECOND YEAR DESIGN STUDIO I ,ARCH,ARCH 10102.,,The introduction of a building design process that emphasizes the integration of program requirements with specific form topologies using line and plane as the primary elements to provide shape and space.,2011
20102,SECOND YEAR DESIGN STUDIO II ,ARCH,ARCH 20101.,,The introduction of a building design process that emphasizes the integration of program requirements with form typologies that are both influenced and informed by specific site context. Line and plane and primary configural shapes are again incorporated to develop building form solutions.,2011
20112,HISTORY OF ARCHITECTURE II ,ARCH,architecture (ARCH) or architectural studies (ARCS) major or architectural studies (ARCS) minor.,,History of architecture from the Medieval era through the 19th century.,2011
20113,HISTORY OF ARCHITECTURE III ,ARCH,ARCH 20112 and architecture (ARCH) or architectural studies (ARCS) major or architectural studies (ARCS) minor.,,A history of 20th century architecture.,2011
20121,STUDIO FOR ARCHITECTURAL STUDIES I ,ARCH,ARCH 10122 or 10102.,,"An introduction to basic issues in architectural design and composition. Through sketch projects and design exercises in a variety of media, students gain a familiarity with basic architectural problems and the kinds of thinking architects use to address those problems.",2011
20122,STUDIO FOR ARCHITECTURAL STUDIES II ,ARCH,ARCH 20121 or 20101.,,Studio allows students to further develop their design skills in relation to a theme or shared research topic that crosses the disciplinary boundaries of architecture and challenges conventional ideas of the role design can play in developing knowledge.,2011
20201,BEYOND WESTERN ARCHITECTURE ,ARCH,ARCH 10111 and 20112; and architecture (ARCH) or architectural studies (ARCS) major.,,Course introduces students to the broad realm of contributions to world architecture made by cultures and civilizations that were not in the traditional sphere of Western/European influence.,2011
20301,INTRODUCTION TO BUILDING STRUCTURES ,ARCH,"Architecture majors only and MATH 12011 and 12012, or MATH 12002; PHY 13001 or 13011.",,"An introduction to building structures, statics, strength of materials, analysis for shear-moment-displacement, loads including dead-live-wind-earthquake and building code requirements for structural safety.",2011
20601,COMPUTER APPLICATIONS IN ARCHITECTURE I ,ARCH,architecture (ARCH) or architectural studies (ARCS) or interior design (ID) major.,,"Course provides a basic understanding of two-dimensional CAD operations, parametric building design and building information modeling (BIM).",2011
20602,COMPUTER APPLICATIONS IN ARCHITECTURE II ,ARCH,ARCH 20601 and architecture (ARCH) or architectural studies (ARCS) or interior design (ID) major.,,"Principles and practices of 3D digital modeling and rendering, including: production of geometric surfaces and forms using polygon construction, texturing, lighting and rendering.",2011
20693,WORKSHOP:COMPUTER APPLICATIONS ,ARCH,Architecture and interior design majors only.,,"Computer workshops are intended to provide an exposure to various fundamental computer topics and their application to architectural studies. Topics include file management, network applications, spreadsheets, raster image manipulations, two- and three- dimensional CAD and computer aided visualization.",2011
30001,SITE DESIGN ,ARCH,architecture (ARCH) major and approved admission to advanced study (third year).,ARCH 30101.,"Research component addressing technical, cultural and contextual concerns, influences and directions in site design.",2011
30002,URBAN DESIGN ,ARCH,"ARCH 30101, ARCH 30001.",ARCH 30102.,"Lecture/seminar/research component conducted concurrently with ARCH 30102 addressing design of form and space in cities through study of precedents, traditions and current directions in urban form making.",2011
30012,"URBAN DESIGN, FLORENCE, ITALY ",ARCH,ARCH 30101.,ARCH 30112.,"Lecture/seminar/research component addressing design of form and space in cities through study of precedents, traditions and current directions in urban form making.",2011
30022,URBAN DESIGN DISCOURSE ,ARCH,ARCH 20113.,,"Starting in the 1960s, a series of theorist attempted to understand the city as a form of writing, producing some of the most influential design books of the last generation. Course investigates this literature, using a range of writing exercises in which students interpret both urban space and the writing it inspires.",2011
30101,THIRD YEAR DESIGN STUDIO I ,ARCH,Architecture (ARCH) majors with approved admission to advanced study (third year).,ARCH 30001.,"Studio investigation of the simultaneous concerns of program, site, context and materials of construction. Specific emphasis on the understanding of the goals, objectives, intentions and parameters of site/context in design, including cultural influences.",2011
30102,THIRD YEAR DESIGN STUDIO II ,ARCH,ARCH 30101.,ARCH 30002.,"Studio investigation with specific emphasis on the understanding of the goals, objectives, intentions and parameters of urban design.",2011
30112,"THIRD YEAR DESIGN STUDIO II-FLORENCE, ITALY ",ARCH,pecial approval.,ARCH 30012.,"Studio investigation with specific emphasis on understanding of the goals, objectives, intentions and parameters of urban design.",2011
30301,STRUCTURAL SYSTEMS I ,ARCH,ARCH 20301 and architecture (ARCH) major with approved admission to advanced study (third year).,,"A continuation of building structures, statics strength of materials and systems analysis. Emphasis is on elastic materials allowable stresses and design for wood and steel structural members and systems.",2011
30321,STRUCTURAL TYPOLOGY ,ARCH,ARCH 10121.,,"Course provides a non-computational introduction to structural principles, materials and building technologies. Historical and contemporary examples are used as case studies. The goal of the course is to give students an understanding of the role structural engineering and materials science play in design thinking and how they can drive design innovation.",2011
30401,METHODS AND MATERIALS I ,ARCH,architecture (ARCH) majors with approved admission to advanced study (third year).,,"Introduction to the origins, extraction, properties and processing of the basic materials of construction. Primary focus on wood and masonry-appropriate use and scale including code requirements, methods of construction and design consequences.",2011
30421,THE ENVIRONMENTAL IMPERATIVE ,ARCH,ARCH 10121.,,Course begins with a historical introduction to the transformative role played by environmental technologies in modern architecture. This discussion is then brought into the present through an introduction to a wide range of contemporary thinking about sustainability in architecture and urbanism.,2011
30501,ENVIRONMENTAL TECHNOLOGY I ,ARCH,PHY 13012 and architecture (ARCH) major with approved admission to advanced study (third year).,,"Basic principles of ecological design and architecture environmental systems including lighting, sonic and thermal systems. Interior design (ID) majors by special approval.",2011
40001,SUSTAINABLE DESIGN ,ARCH,ARCH 30102 or ARCH 30112.,ARCH 40101.,"Research component addressing precedents, traditions, current directions in conservation of natural environment. Principles and methods of ecological design in architecture and urban design.",2011
40002,SYSTEMS DESIGN ,ARCH,ARCH 40101.,ARCH 40102.,"Lecture and research component addressing comprehensive integration of mechanical, electrical communications structural life safety systems and sustainable design concerns.",2011
40101,FOURTH YEAR DESIGN STUDIO I ,ARCH,ARCH 30102 or ARCH 30112.,ARCH 40001.,Studio investigation of complex formal and spatial constructs addressing the comprehensive concerns of architecture. Special emphasis on understanding the conservation of the natural environment. CAD is required.,2011
40102,FOURTH YEAR DESIGN STUDIO II ,ARCH,ARCH 40101.,ARCH 40002.,Studio investigation of the comprehensive concerns and understanding of building systems integration. CAD is required.,2011
40302,STRUCTURAL SYSTEMS II ,ARCH,ARCH 30301.,,"A continuation of building structures, statics, strength of materials and systems analysis. Emphasis is on inelastic materials, allowable stress and design for masonry and concrete structural members and systems.",2011
40402,METHODS AND MATERIALS II ,ARCH,ARCH 30401.,,"Continued investigation of the origins, extraction, properties and processing of the basic materials of construction. Primary focus on concrete and steel-appropriate use and scale, including allied systems and building materials, including glazing and interiors. Introduction to construction contract documents.",2011
40502,ENVIRONMENTAL TECHNOLOGY II ,ARCH,ARCH 30501.,,"Ecological design of large buildings. The investigation and analysis of lighting, thermal, water, electrical and waste systems in urban settings.",2011
44611,PORTFOLIO ,ARCH,ARCH 40101.,,Architectural drawings and other allied work of the student reproduced and assembled in a professional portfolio suitable for job and graduate application.,2011
45001,PROFESSIONAL PRACTICE:REAL ESTATE AND DEVELOPMENT ,ARCH,Admission to Bachelor of Architecture professional program.,,"Introduction to the economic, social, ethical, legal impact on/of development in both the public and private sectors. Computer applications and case study analysis is required.",2011
45002,PROFESSIONAL PRACTICE: CONTRACT AND PLANNING LAW ,ARCH,Admission to Bachelor of Architecture professional program.,,"The course surveys laws relating to the practice of architecture and dispute resolution with emphasis on contract laws contrasted with laws of negligence and the standard of care in the profession. Planning law surveys land use control mechanisms as seen through zoning, variances and practical applications.",2011
45003,PROFESSIONAL PRACTICE: LEADERSHIP AND ETHICS ,ARCH,Admission to Bachelor of Architecture professional program.,,"This course discusses leadership on several professional scales including architectural and urban, with emphasis on problem identification and problem solving within an ethical framework.",2011
45004,PROFESSIONAL PRACTICE: OFFICE AND FINANCIAL MANAGEMENT ,ARCH,Admission to the Bachelor of Architecture professional program.,,"The course examines various architectural office structures and management approaches, laws pertaining to professional registration and practice, the use of consulting engineers and financial management of the architect's office in the context of the profession as a business.",2011
45093,WORKSHOP: PROFESSIONAL PRACTICE,ARCH,Admission to bachelor of architecture professional program.,,(repeatable for a total of 3 credit hours) variable topic workshop related to architectural professional practice. S u graded.,2011
45101,FIFTH YEAR DESIGN STUDIO I ,ARCH,Admission to the Bachelor of Architecture professional program.,,The studio intends to investigate a new scale of environmental issues which integrate both architectural and urban planning. Included are site visits data collection design of a master plan and an architectural form response to a segment of the total conceptual plan.,2011
45102,FIFTH YEAR DESIGN STUDIO II,ARCH,Faculty permission required.,,(repeatable for a total of 6 credit hours) advanced design studio emphasizing comprehensive and independent investigation -exploring and manifesting ideas through architecture using competitions and hypothetical or real projects as vehicles of expression.,2011
45204,BEYOND WESTERN TRADITIONS ,ARCH,ARCH 20113.,,"An introduction to the architectural traditions of Asia, Africa, Pre-Colonial America and Islam.",2011
