25300,TEXTILE ARTS:PATTERN ,ARTC,ARTF 14000 and 14022.,,"An introduction to the concepts and processes of constructed pattern including plaiting, netting and weaving. Off-loom and floor loom explorations will emphasize the relationship of form and structure in textile art. An emphasis is placed on the use of non-traditional or experimental materials. Required for craft majors.",2011
25400,CERAMICS I ,ARTC,ARTF 14000 and 14022.,,"This course is an introduction to ceramics as an artistic medium with focus on the hand building of clay objects using the pinch, coil and slab methods of construction.",2011
25500,ENAMELING I ,ARTC,ARTF 14000 and 14022.,,Testing and exploration of vitreous enamel as creative medium.,2011
25600,INTRODUCTION TO GLASS WORKING ,ARTC,ARTF 14000 and 14022.,,Introduction to studio glass through technique and brief history. Both basic glass blowing and glass casting techniques and problems will be covered.,2011
25700,INTRODUCTION TO JEWELRY METALS ,ARTC,ARTF 14000 and 14022.,,"Introduction to basic jewelry and metalsmithing techniques including fabrication, forming and finishing. Emphasis on advancing design skills and critical analysis. Exposure to historical and contemporary works.",2011
25701,INTRODUCTION TO JEWELRY/METALS FOR NON-ART MAJORS ,ARTC,Non-Art majors.,,"Introduction to basic jewelry and metalsmithing techniques including fabrication, forming and finishing. Emphasis on advancing design skills and critical analysis. Exposure to historical and contemporary works.",2011
35095,CRAFTS:SELECTED TOPICS ,ARTC,"ARTC 25300, 25400 or 25500 or 25600 or 25700.",,Specialized courses in crafts that focus on specific techniques and media.,2011
35300,TEXTILE ARTS: DIMENSIONAL ,ARTC,ARTF 14022.,,An introduction to the development of unique sculptural objects in textile media. Students will explore three-dimensional textile processes using the floor loom and the construction method of wrapping and coiling.,2011
35301,FIBER ARTS: SCREEN AND BLOCK PRINTING ,ARTC,ARTF 14060 and 24040.,,Exploration and development of fabric printing and dyeing including monoprinting and screen printing with emphasis on design and developing studio competency in medium as art form.,2011
35302,TEXTILE ARTS: FELTMAKING ,ARTC,ARTF 14002 and 14060.,,An opportunity for the in-depth exploration of technical and aesthetic possibilities of this unique process. Layers and textures in two dimensions and processes for three-dimensional feltmaking are introduced and considered as an expressive vocabulary. Dyeing of wool fleece plays a major role in the course.,2011
35303,TEXTILE ARTS: TAPESTRY ,ARTC,ARTF 14022 and 14060.,,An introduction to a variety of traditional pictorial tapestry/weft face techniques to be executed on the frame loom and/or floor loom. Both tapestry and carpet history are presented to reveal traditional processes patterns and images for inspiration in the creation of individual works. Dyeing will play a major role in the exploration.,2011
35304,TEXTILE ARTS: PICTORIAL WEAVING ,ARTC,ARTF 14022 and 14060.,,"An introduction to floor loom weaving processes that facilitate the development of non-repetitive patterns and images. Techniques such as warp painting, supplementary weft and pick-up double weave will be explored as means of creating pictorial art cloth. Textile history will be presented as an important resource for the development of woven studies and individually conceived projects.",2011
35350,TEXTILE ARTS: DESIGN AND PRODUCTION ,ARTC,ARTF 14022 and 14060.,,"A basic introduction to the mechanics of designing and constructing patterned and dyed cloth on the floor loom. Learning to use the computer for the designing of woven pattern is an expectation of the course. (This is an excellent course for designers of fashion and interiors, as well as anyone interested in the design and craft of weaving.)",2011
35400,CERAMICS II ,ARTC,ARTC 25400.,,"Continuation of ARTC 25400 emphasizing design, use of potter's wheel and chemistry of glazes.",2011
35600,GLASS BLOWING ,ARTC,ARTC 25600.,,"Further exploration of glass blowing techniques. Design, form, color and execution will be emphasized.",2011
35601,SCULPTURAL AND KILN-FORMED GLASS ,ARTC,ARTF 14055 and ARTC 25600.,,"An overview and exploration of sculptural and kiln-formed glass techniques. Casting, using, slumping and cold construction will be covered. Design, form, content and technical execution and understanding operations of equipment will be emphasized.",2011
35700,JEWELRY CONCEPTS AND TECHIQUES ,ARTC,ARTC 25700.,,"An in-depth exploration of jewelry making techniques such as casting, stone setting, mechanisms and fabrication. Conceptual development and design skills are emphasized. To gain a deeper understanding of the subject, historical and contemporary works will be viewed and discussed.",2011
35701,METALSMITHING CONCEPTS AND TECHNIQUES ,ARTC,ARTC 25700.,,"Course offers an in-depth exploration of hammer working techniques such as raising, forging and shell forming. Conceptual development and design skills are emphasized. To gain a deeper understanding of the subject, historical and contemporary works will be viewed and discussed.",2011
35702,ENAMELING CONCEPTS AND TECHNIQUES ,ARTC,ARTC 25700 and 35700.,,"An in-depth exploration of vitreous enameling techniques on two dimensional surfaces. Porcelain enamel on steel will be introduced. Conceptual development and design skills are emphasized. To gain a deeper understanding of the subject, historical and contemporary works will be viewed and discussed.",2011
35703,TEXTILE TECHNIQUES IN METAL ,ARTC,ARTC 25700.,,"Course applies textile techniques such as weaving, crocheting, knitting and basketry to create jewelry and objects in metal. Emphasis is on innovative approach to traditional processes.",2011
45092,FIELD EXPERIENCE: TRAVEL STUDIES IN CRAFTS ,ARTC,Major in crafts (ARTC).,,Travel-based study/field experience in crafts disciplines to and at a site or sites away from Kent State University.,2011
45095,CRAFTS:SELECTED TOPICS ,ARTC,Junior standing.,,Specialized courses in crafts that focus on specific techniques and media.,2011
45096,INDIVIDUAL STUDY: CRAFTS,ARTC,pecial approval.,,"(repeatable for a total of 12 hours) additional study and/or special topics in ceramics, enameling glass jewelry metals or fiber arts.",2011
45099,SENIOR PROJECT: CRAFTS ,ARTC,Senior standing in crafts.,,Independently conceived project in crafts sub major. Includes completion of undergraduate thesis review presentation documentation (slide form) exhibition and faculty review.,2011
45301,TEXTILE ARTS: ADVANCED STUDIO ,ARTC,Senior standing in crafts.,,Structured time for individual investigations in textiles. Emphasis on self designed study. Bi-weekly presentations of contemporary work in textiles and weekly discussions or critiques with open studio.,2011
45400,ADVANCED CERAMICS ,ARTC,ARTC 35400.,,Individual problems in ceramics.,2011
45500,ADVANCED ENAMELING,ARTC,pecial approval.,,(repeatable for a total of 30 hours) advanced study in enameling allows students to work in depth with media.,2011
45600,ADVANCED GLASS WORKING,ARTC,ARTC 35600 and ARTC 35601.,,"(Repeatable for a total of 40 credit hours) Individual exploration of sculptural and hot glass techniques. Design, form, content and execution strongly emphasized. Introduction to studio facility design, construction and maintenance.",2011
45700,DESIGN AND PRODUCTION ,ARTC,ARTC 35700 and 35701.,,"Course prepares students to enter the marketplace by examining production processes for creating multiples, industrial applications and marketing. Traditional rendering techniques are taught as a method for communicating with clientele in the custom design market. Design skills are emphasized.",2011
45701,TABLEWARE ,ARTC,ARTC 35700 and 35701.,,"Course explores forms made for the table such as flatware, serving sets and containers. Traditional and experimental approaches will be examined.",2011
45702,ADVANCED ENAMELING ,ARTC,ARTC 35702.,,"Course offers advanced vitreous enameling techniques on two-and three-dimensional surfaces. Conceptual development and design skills are emphasized. To gain a deeper understanding of the subject, historical and contemporary works will be viewed and discussed.",2011
45703,LARGE SCALE ENAMELING ,ARTC,ARTC 35702.,,"Course is an in-depth exploration of enameling on larger two-dimensional surfaces. Techniques include spraying, painting, screening and drawing with porcelain enamel on steel. Provides experience using unique large-scale flat bed-furnace.",2011
45704,ADVANCED STUDIO JEWELRY METALS ENAMELING ,ARTC,ARTC 35700 and 35701 and senior standing.,,"Course offers structured time for individual investigations in jewelry, metalsmithing and enameling. Emphasis on self-directed study with frequent critiques and technical demos as needed. Regular viewing and discussion of historical and contemporary works. Repeatable for a total of 9 credit hours.",2011
55092,FIELD EXPERIENCE: TRAVEL STUDIES IN CRAFTS ,ARTC,Graduate standing in crafts or special approval of instructor.,,Travel-based study/field experience in crafts disciplines to and at a site or sites away from Kent State University.,2011
55095,CRAFTS:SELECTED TOPICS ,ARTC,Special approval and graduate standing.,,Specialized courses in crafts that focus on specific techniques and media.,2011
65095,CRAFTS: SELECTED TOPICS ,ARTC,Special approval and graduate standing.,,Specialized courses in crafts that focus on specific techniques and media.,2011
65991,SEMINAR IN CRAFTS ,ARTC,Graduate standing.,,"Contemporary issues and professional concerns in the crafts explored through presentations, lectures and discussion. Graduate faculty and guest speakers.",2011
65996,INDIVIDUAL STUDY: CRAFTS ,ARTC,Graduate standing.,,"Independent study in ceramics, glass, enamels, jewelry metals or fiber arts.",2011
