12001,ART AS A WORLD PHENOMENON ,ARTH,,,An introduction to the history of art emphasizing analysis and interpretation of visual art forms. The course will also focus on the functions and meaning of Western and non-Western art traditions. No credit for art majors.,2011
22006,ART HISTORY I: ANCIENT AND MEDIEVAL ART ,ARTH,,,Examination and interpretation of the major monuments of Western art and architecture from Paleolithic art to late Gothic art. The impact of non-Western traditions will be included as appropriate.,2011
22007,ART HISTORY II: RENAISSANCE TO MODERN ART ,ARTH,,,"Major movements and artists in painting, sculpture and allied arts of Europe and America from early Renaissance in Italy until the present day. The impact of non- Western traditions will be included as appropriate.",2011
22020,"ART OF AFRICA, OCEANIA AND THE AMERICAS ",ARTH,,,"Stylistic and historical investigation of the art and architecture of the traditional societies of Africa, Oceania and the Americas within an art historical and cross- cultural perspective.",2011
32066,LATE MODERN ART ,ARTH,ARTH 22007.,,"Painting, sculpture and allied arts in the United States and Europe from 1940 to the present.",2011
42000,RESEARCH AND WRITING IN ART HISTORY ,ARTH,Junior standing or above.,Upper-division art history course.,Introduction to the basic techniques and resources for art history research. Provides assistance in the preparation of research papers and critical essays required by upper-division art history courses.,2011
42021,ARTS OF INDIA AND SOUTHEAST ASIA ,ARTH,"Sophomore, junior or senior standing.",,Examination of sources and styles of Indian and Southeast Asian art from prehistoric to modern.,2011
42022,THE ARTS OF CHINA ,ARTH,Junior or senior standing.,,Examination of sources and styles of Chinese art from prehistoric to recent times.,2011
42023,THE ARTS OF JAPAN ,ARTH,junior or senior standing.,,"Examination of sources and styles of Japanese art, from prehistoric to recent times.",2011
42025,ART OF WEST AFRICA ,ARTH,Junior or senior standing.,,"Arts, crafts and architecture of the western Sudanic and Guinea Coast areas of West Africa from prehistoric times to the present.",2011
42026,ART OF NIGERIA ,ARTH,Junior or senior standing.,,"Study of the arts, crafts and architecture of Nigeria from prehistoric times to the present.",2011
42027,ART OF CENTRAL AFRICA ,ARTH,Junior or senior standing.,,"Comparative study of the arts, crafts and architecture of Central Africa from prehistoric times to the present.",2011
42031,GREEK ART AND ARCHAEOLOGY ,ARTH,Junior or senior standing.,,Greek art and architecture from earliest times through Hellenistic period with special attention given to recent archaeological discoveries.,2011
42032,ROMAN ART AND ARCHAEOLOGY ,ARTH,Junior or senior standing.,,"Introduction to archaeology of Roman world. Emphasis on discoveries and impact on study of Italic, Etruscan and Roman art, architecture and sculpture through Imperial period.",2011
42036,MEDIEVAL ART ,ARTH,Junior or senior standing.,,"Emphasis on major period of Medieval art (Byzantine, Carolingian, Ottoman, Romanesque and Gothic) treating iconographic themes and styles in a variety of media.",2011
42039,"GOTHIC ART, 12TH TO 15TH CENTURIES ",ARTH,Art History (ARTH 22006 and 22007).,,An examination of the development of European Gothic art from the 12th century to the 15th century. Emphasis on the ties to contemporary philosophical and literary developments.,2011
42041,ITALIAN RENAISSANCE ART ,ARTH,Junior or senior standing.,,Study of development of major themes in Italian art from 1400 until c. 1550 emphasizing achievements of the masters and analyzing major ideas and theories of the period.,2011
42042,NORTHERN RENAISSANCE ART ,ARTH,Junior or senior standing.,,"Study of stylistic and iconographic questions and technique in Northern panel painting, as well as other arts in Northern Europe.",2011
42043,THE HIGH RENAISSANCE AND MANNERISM IN ITALY ,ARTH,Junior or senior standing.,,"Covers late 15th century and 16th century painting, sculpture and architecture in Italy. Following discussion of the High Renaissance masters, students examine the works collectively known as the Mannerists. Course gives students a firm grounding in the manifold artistic activity of the 16th century.",2011
42044,VENETIAN RENAISSANCE ART ,ARTH,Junior or senior standing.,,"Course provides a survey of Venetian painting, sculpture and architecture from the late 1300's to the late 1500's. Upon completion students have a comprehension of the interrelationship of Venetian art with its unique environment and society.",2011
42046,BAROQUE ART OF THE 17TH CENTURY ,ARTH,Junior or senior standing.,,"Study of the origins of Baroque art in Italy and its spread throughout Flanders, the Netherlands, France and Spain.",2011
42047,ROCOCO ART IN THE 18TH CENTURY ,ARTH,Junior or senior standing.,,Study of 18th-century art in France and subsequent spread and development throughout continental Europe.,2011
42051,EUROPEAN ART AND IDEAS: 1750-1900 ,ARTH,Junior or senior standing.,,"Selected studies in late 18th-century and 19th-century British, French, German and Spanish art and architecture within the broader context of Western culture and ideas.",2011
42056,AMERICAN ART: 1607-1860 ,ARTH,Junior or senior standing.,,"Intensive survey of the major forms of art, styles personalities patrons institutions and aesthetic theories in the United States from its beginning to the Civil War.",2011
42057,AMERICAN ART AND ARCHITECTURE: 1860-1940 ,ARTH,Junior or senior standing.,,"In-depth study of American painting, sculpture, graphic art, architecture and allied arts from the Civil War to 1940.",2011
42058,"AMERICAN FILM, PHOTOGRAPHY, ART AND IDEAS ",ARTH,,,Investigation of photography from the 19th century to present day.,2011
42061,EARLY 20TH-CENTURY ART ,ARTH,ARTH 22007.,,"Study of painting, sculpture, architecture and allied arts in Europe from 1880 to 1940.",2011
42062,PICASSO ,ARTH,Junior or senior standing.,,"Course provides a survey of the art of Picasso, starting with his childhood works. Students gain a better understanding of Picasso's pivotal importance to 20th century art and various influences that cultivated his incredible creativity.",2011
42063,AMERICAN ART: EUROPEAN ROOTS ,ARTH,Junior or senior standing.,,Examines the role of European roots in the formation of American art. The complex issues and identities artists faced as a result of the expatriate experience are addressed.,2011
42067,ART OF THE 1960S ,ARTH,Junior or senior standing.,,"A survey of the major movement of the sixties decade, with primary emphasis on the United States.",2011
42068,GENDER AND SEXUALITY IN THE ARTS ,ARTH,Junior or senior standing.,,"Examines how gender and sexuality correspond to a wide range of cultural meanings and experiences, and how artistic representations of gender and sexuality contribute to the production of subjectivity.",2011
42070,HISTORY OF GRAPHIC DESIGN ,ARTH,Junior standing.,,Traces the arts of visual communication from their origins to current trends and practices with an emphasis on theory and aesthetics.,2011
42071,HISTORY OF PRINTS ,ARTH,Junior or senior standing.,,"Chronological survey of printmaking (engraving, etching, lithography, etc.) From 1400 to the present emphasizing its technical and stylistic evolution.",2011
42072,INTRODUCTION TO MUSEOLOGY ,ARTH,ARTH 12001 for non-art majors; ARTH 22006 and 22007 for art majors.,,"Art history course providing insights into the history of collecting, growth of museums and the scope of the museum field and specialized professional areas involved.",2011
42075,FILM AND PHOTOGRAPHY IN WESTERN ART AND IDEAS ,ARTH,Junior or senior standing.,,"Selected studies on film and photography within the broader context of Western realism and ideas. ARTH 12001, 22007 or 42051 recommended.",2011
42078,HISTORY OF THE DECORATIVE AND APPLIED ARTS ,ARTH,"ARTH 22006, 22007.",,Historical and critical examination of decorative and applied arts and their relationship to the Western societies which produced them.,2011
42091,ART HISTORY SEMINAR ,ARTH,Junior standing and special approval of instructor.,,Open format course with topics announced in advance. Designed to allow detailed examination of selected topics.,2011
42092,ART MUSEUM INTERNSHIP ,ARTH,Junior or senior standing and ARTH 42072.,,A supervised internship in a regional art museum emphasizing the practical application of musicological principles and practices.,2011
